Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0,OWS,DWS,WS,WS/48,0,OBPM,DBPM,BPM,VORP
1,Shareef Abdur-Rahim,PF,31,SAC,6,51,5.5,.317,.000,.286,14.2,9.1,11.6,11.1,1.0,0.0,6.0,14.7,0,0.0,0.0,0.0,-0.005,0,-3.6,-2.1,-5.7,0.0
2,Arron Afflalo,SG,22,DET,75,970,10.2,.494,.199,.361,4.4,12.5,8.4,8.1,1.8,0.7,10.9,15.2,0,0.5,1.4,1.9,.092,0,-2.3,0.6,-1.6,0.1
3,Maurice Ager,SG,23,TOT,26,165,1.8,.363,.292,.185,2.8,6.3,4.6,8.0,0.0,0.4,7.9,21.3,0,-0.4,0.0,-0.4,-0.114,0,-6.8,-4.5,-11.3,-0.4
4,Blake Ahearn,PG,23,MIA,12,177,9.0,.495,.596,.544,0.7,12.4,6.4,17.2,1.8,0.0,18.5,23.2,0,-0.1,0.1,0.0,-0.006,0,-2.8,-2.8,-5.6,-0.2
5,LaMarcus Aldridge,PF,22,POR,76,2649,18.5,.523,.006,.257,9.8,15.8,12.8,8.8,1.1,2.8,8.9,25.3,0,3.5,2.8,6.2,.113,0,0.1,0.7,0.8,1.8
6,Malik Allen,PF,29,TOT,73,1096,9.8,.500,.006,.076,7.0,13.6,10.4,6.8,0.9,2.2,11.7,16.1,0,0.1,0.9,1.0,.045,0,-3.6,-0.3,-3.9,-0.5
7,Ray Allen,SG,32,BOS,73,2624,16.4,.584,.458,.240,3.6,8.3,6.1,14.6,1.3,0.5,10.4,21.6,0,5.6,4.1,9.7,.177,0,3.2,-0.1,3.1,3.4
8,Tony Allen,SG,26,BOS,75,1373,10.7,.527,.147,.465,3.1,11.0,7.3,13.1,2.4,1.3,18.9,19.6,0,-0.1,2.8,2.7,.093,0,-3.2,1.8,-1.4,0.2
9,Lance Allred,C,26,CLE,3,10,-1.0,.307,.000,.500,0.0,11.8,5.7,0.0,0.0,0.0,0.0,22.1,0,0.0,0.0,0.0,-0.125,0,-12.6,-7.1,-19.7,0.0
10,Morris Almond,SG,22,UTA,9,39,2.0,.368,.267,.400,0.0,6.2,3.1,10.5,1.3,0.0,10.2,22.5,0,-0.1,0.0,-0.1,-0.081,0,-6.9,-4.0,-11.0,-0.1
11,Rafer Alston,PG,31,HOU,74,2526,13.2,.492,.440,.148,1.3,10.2,5.8,25.2,2.1,0.5,14.0,20.7,0,1.0,4.0,5.0,.095,0,0.2,0.7,1.0,1.9
12,Louis Amundson,PF,25,PHI,16,64,7.4,.472,.000,.438,12.9,9.4,11.1,0.0,0.8,1.2,9.5,14.9,0,0.0,0.0,0.1,.043,0,-4.5,-4.3,-8.8,-0.1
13,Chris Andersen,C,29,NOH,5,34,6.1,.342,.000,.571,6.7,24.6,15.5,0.0,0.0,9.2,10.2,13.3,0,-0.1,0.1,0.0,.012,0,-10.4,0.8,-9.6,-0.1
14,Derek Anderson,SG,33,CHA,28,396,10.0,.497,.416,.304,2.6,12.6,7.5,17.8,1.6,0.2,15.0,19.3,0,0.0,0.3,0.3,.032,0,-1.9,-1.8,-3.7,-0.2
15,Carmelo Anthony,SF,23,DEN,77,2806,21.1,.568,.111,.398,7.0,14.9,11.0,16.1,1.7,1.0,12.7,30.2,0,5.2,3.0,8.2,.140,0,2.2,-0.6,1.6,2.6
16,Joel Anthony,PF,25,MIA,24,498,8.8,.521,.000,.817,9.0,13.4,11.2,0.9,1.0,5.0,17.2,9.4,0,0.1,0.4,0.6,.054,0,-4.8,1.4,-3.4,-0.2
17,Gilbert Arenas,PG,26,WAS,13,425,18.2,.529,.398,.490,1.6,12.8,7.0,27.4,2.9,0.2,17.1,31.1,0,0.2,0.4,0.6,.070,0,2.3,-1.6,0.7,0.3
18,Trevor Ariza,SF,22,TOT,35,546,16.1,.568,.132,.551,6.4,15.4,11.1,11.8,2.9,1.5,12.0,15.6,0,0.9,0.9,1.8,.157,0,0.0,1.8,1.8,0.5
19,Darrell Armstrong,PG,39,NJN,50,549,8.7,.499,.627,.273,3.6,10.6,7.1,20.5,2.7,0.3,25.0,13.7,0,-0.2,0.5,0.3,.024,0,-2.6,-0.4,-3.0,-0.1
20,Hilton Armstrong,C,23,NOH,65,732,7.7,.498,.000,.473,10.1,16.0,13.0,4.4,1.1,3.6,24.8,15.1,0,-0.5,1.0,0.5,.032,0,-5.1,1.8,-3.3,-0.2
21,Carlos Arroyo,PG,28,ORL,62,1269,12.8,.547,.241,.293,0.9,9.0,5.1,26.6,1.1,0.1,16.4,17.0,0,1.7,1.1,2.8,.107,0,-0.8,-1.4,-2.2,-0.1
22,Chucky Atkins,SG,33,DEN,24,352,8.9,.449,.648,.074,0.9,8.4,4.8,18.7,1.2,0.2,7.4,16.4,0,0.1,0.2,0.3,.040,0,-1.1,-2.9,-4.0,-0.2
23,James Augustine,PF,23,ORL,25,149,10.8,.533,.000,.235,12.9,10.4,11.6,2.1,1.7,1.0,13.8,13.4,0,0.1,0.2,0.3,.098,0,-2.2,-0.3,-2.6,0.0
24,Kelenna Azubuike,SG,24,GSW,81,1732,13.5,.534,.332,.235,6.4,14.0,10.0,6.1,1.3,1.4,8.2,17.2,0,2.3,1.1,3.4,.094,0,-0.3,-1.2,-1.5,0.2
25,Renaldo Balkman,SF,23,NYK,65,952,11.5,.492,.065,.511,9.6,16.4,12.9,6.5,2.4,2.4,14.0,12.5,0,0.4,0.9,1.3,.065,0,-2.4,1.8,-0.6,0.3
26,Marcus Banks,PG,26,TOT,36,569,12.6,.579,.534,.183,0.9,8.3,4.6,17.7,1.3,1.6,15.2,19.7,0,0.5,0.3,0.8,.068,0,0.1,-2.2,-2.1,0.0
27,Leandro Barbosa,SG,25,PHO,82,2421,15.8,.575,.413,.209,2.0,8.2,5.4,13.5,1.5,0.5,9.5,22.8,0,3.9,1.6,5.5,.109,0,2.4,-1.8,0.6,1.6
28,Jose Barea,PG,23,DAL,44,460,11.7,.515,.318,.206,1.0,10.5,5.9,20.6,1.6,0.2,15.9,22.3,0,0.0,0.5,0.5,.052,0,-1.5,-1.8,-3.2,-0.1
29,Andrea Bargnani,PF,22,TOR,78,1861,10.6,.495,.360,.233,3.2,15.2,9.2,7.4,0.7,1.6,9.9,22.5,0,-0.3,1.6,1.4,.036,0,-1.9,-1.2,-3.0,-0.5
30,Matt Barnes,PF,27,GSW,73,1414,12.9,.510,.410,.179,6.8,18.1,12.3,13.5,1.6,1.9,15.1,16.7,0,1.0,1.3,2.3,.077,0,-0.7,0.5,-0.2,0.6
