Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0,OWS,DWS,WS,WS/48,0,OBPM,DBPM,BPM,VORP
1,Alex Acker,SG,26,TOT,25,199,10.4,.448,.263,.132,4.5,9.6,7.0,10.2,1.3,1.5,8.0,20.1,0,-0.1,0.1,0.0,-0.011,0,-3.6,-2.4,-6.0,-0.2
2,Hassan Adams,SG,24,TOR,12,52,0.4,.352,.000,.462,2.3,13.4,7.9,2.8,1.0,1.5,20.4,17.4,0,-0.2,0.0,-0.2,-0.144,0,-10.6,-1.3,-12.0,-0.1
3,Arron Afflalo,SG,23,DET,74,1234,8.9,.548,.357,.237,2.8,10.1,6.4,5.5,1.3,0.8,11.5,14.5,0,0.8,1.0,1.8,.069,0,-1.7,-0.7,-2.4,-0.1
4,Maurice Ager,SG,24,NJN,20,97,2.2,.365,.140,.186,3.6,8.7,6.1,5.3,0.6,1.7,7.9,24.4,0,-0.3,0.0,-0.3,-0.133,0,-8.5,-4.3,-12.8,-0.3
5,Blake Ahearn,PG,24,SAS,3,19,12.9,.581,.667,.333,0.0,6.2,3.1,16.0,2.9,0.0,12.7,20.1,0,0.0,0.0,0.1,.149,0,0.6,-1.8,-1.1,0.0
6,Alexis Ajinca,PF,20,CHA,31,182,7.0,.430,.029,.406,6.2,14.2,10.2,2.8,2.1,2.7,12.9,24.2,0,-0.3,0.3,-0.1,-0.018,0,-8.1,-1.2,-9.3,-0.3
7,LaMarcus Aldridge,PF,23,POR,81,3004,19.1,.529,.023,.269,9.5,15.6,12.5,9.3,1.4,2.0,8.0,23.7,0,6.1,3.3,9.5,.151,0,1.2,0.7,1.9,3.0
8,Joe Alexander,SF,22,MIL,59,716,10.1,.494,.188,.339,6.9,12.3,9.5,9.5,1.1,3.4,15.6,20.9,0,-0.3,0.7,0.4,.030,0,-3.4,0.2,-3.3,-0.2
9,Malik Allen,PF,30,MIL,49,579,7.3,.435,.006,.124,6.8,14.5,10.5,9.5,0.6,1.7,10.0,15.4,0,-0.2,0.5,0.3,.024,0,-4.5,-0.1,-4.6,-0.4
10,Ray Allen,SG,33,BOS,79,2876,17.3,.624,.467,.239,2.9,8.6,5.9,12.6,1.3,0.4,10.4,20.8,0,7.4,3.7,11.1,.186,0,4.3,-0.3,3.9,4.3
11,Tony Allen,SG,27,BOS,46,887,12.9,.541,.095,.384,3.2,10.7,7.1,12.0,3.2,2.1,18.8,21.5,0,-0.2,1.8,1.6,.085,0,-2.7,2.5,-0.3,0.4
