Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0,OWS,DWS,WS,WS/48,0,OBPM,DBPM,BPM,VORP
1,Quincy Acy,PF,22,TOR,29,342,15.9,.632,.027,.507,10.3,16.6,13.4,5.2,2.0,3.5,15.6,14.7,0,0.7,0.4,1.1,.157,0,-0.6,1.3,0.7,0.2
2,Jeff Adrien,PF,26,CHA,52,713,13.4,.493,.012,.595,10.6,21.2,15.7,8.3,1.3,3.1,13.1,15.6,0,0.5,0.4,1.0,.064,0,-3.0,-0.2,-3.3,-0.2
3,Arron Afflalo,SF,27,ORL,64,2307,13.0,.527,.265,.246,1.4,10.3,5.8,14.6,0.9,0.4,12.1,22.5,0,1.5,0.5,2.0,.042,0,-0.3,-2.0,-2.3,-0.2
4,Josh Akognon,PG,26,DAL,3,9,15.3,.625,.500,.000,0.0,12.1,6.2,19.4,0.0,0.0,0.0,20.3,0,0.0,0.0,0.0,.196,0,4.7,-4.9,-0.2,0.0
5,Cole Aldrich,C,24,TOT,45,388,11.1,.563,.000,.250,8.7,26.7,17.7,3.4,0.7,4.6,20.6,12.7,0,0.1,0.4,0.6,.070,0,-4.8,0.7,-4.0,-0.2
6,LaMarcus Aldridge,PF,27,POR,74,2790,20.4,.530,.011,.264,7.2,20.9,14.0,13.0,1.2,2.5,8.9,26.5,0,4.8,2.3,7.2,.124,0,0.3,0.5,0.8,2.0
7,Lavoy Allen,C,23,PHI,79,1669,11.5,.474,.002,.132,10.5,16.5,13.4,6.7,0.8,2.6,10.3,14.8,0,0.9,1.6,2.5,.072,0,-3.2,0.6,-2.6,-0.3
8,Ray Allen,SG,37,MIA,79,2035,14.7,.599,.510,.243,2.6,10.1,6.6,10.2,1.7,0.6,12.5,19.3,0,3.4,1.9,5.4,.126,0,1.7,-1.5,0.2,1.1
9,Tony Allen,SG,31,MEM,79,2109,13.2,.489,.038,.293,6.6,13.8,10.2,7.6,3.1,1.7,11.5,17.8,0,1.0,4.1,5.1,.115,0,-1.6,2.9,1.3,1.8
10,Al-Farouq Aminu,SF,22,NOH,76,2066,13.7,.519,.040,.289,7.9,26.2,16.9,7.8,2.4,2.1,17.8,14.6,0,0.7,2.4,3.1,.073,0,-2.0,2.4,0.4,1.3
11,Louis Amundson,PF,30,TOT,39,372,9.3,.392,.000,.444,14.7,18.7,16.7,4.5,2.3,2.6,16.4,14.2,0,-0.3,0.4,0.1,.019,0,-4.4,1.0,-3.3,-0.1
12,Chris Andersen,C,34,MIA,42,624,17.4,.631,.024,.756,11.9,21.5,17.0,4.0,1.4,5.8,12.8,14.4,0,1.6,1.1,2.7,.207,0,-0.6,1.8,1.2,0.5
13,Alan Anderson,SF,30,TOR,65,1495,12.6,.509,.463,.239,2.7,9.2,5.9,11.7,1.7,0.4,10.5,23.6,0,0.8,0.8,1.6,.052,0,0.4,-2.4,-2.0,0.0
