Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0,OWS,DWS,WS,WS/48,0,OBPM,DBPM,BPM,VORP
1,Kareem Abdul-Jabbar*,C,38,LAL,79,2629,22.7,.603,.001,.328,6.0,14.2,10.3,15.7,1.2,2.7,11.7,26.6,0,7.6,3.2,10.8,.197,0,3.7,0.8,4.5,4.3
2,Alvan Adams,C,31,PHO,78,2005,15.3,.547,.003,.299,8.9,18.1,13.7,22.5,2.4,1.3,21.1,19.4,0,1.2,2.7,3.9,.094,0,0.1,2.3,2.4,2.2
3,Michael Adams,PG,23,SAC,18,139,8.0,.406,.068,.273,1.6,3.2,2.4,20.3,3.0,0.4,18.2,17.5,0,-0.2,0.1,-0.1,-0.028,0,-5.2,-1.9,-7.1,-0.2
4,Mark Aguirre,SF,26,DAL,74,2501,19.2,.547,.042,.340,7.9,11.6,9.8,20.9,1.2,0.3,14.2,29.0,0,3.7,0.9,4.7,.090,0,3.0,-1.5,1.5,2.2
5,Danny Ainge,SG,26,BOS,80,2407,13.6,.562,.104,.194,2.3,8.1,5.4,21.3,1.9,0.2,14.5,15.2,0,3.6,3.2,6.8,.136,0,0.9,0.3,1.2,1.9
6,Ron Anderson,SF,27,TOT,77,1676,14.0,.517,.014,.202,8.5,9.3,8.9,12.5,1.6,0.2,10.7,18.7,0,1.6,1.5,3.1,.090,0,0.2,-0.3,-0.1,0.8
7,John Bagley,PG,25,CLE,78,2472,15.2,.475,.043,.249,3.4,8.9,6.1,40.7,2.3,0.2,19.9,19.8,0,1.0,2.0,3.0,.059,0,0.2,-0.4,-0.2,1.1
8,James Bailey,PF,28,NYK,48,1245,12.6,.516,.009,.377,8.8,22.1,15.2,6.1,1.3,2.0,16.1,20.7,0,0.0,2.0,1.9,.075,0,-3.0,1.0,-2.0,0.0
9,Thurl Bailey,PF,24,UTA,82,2358,15.0,.499,.006,.257,6.9,15.7,11.4,9.7,0.8,2.7,10.7,23.0,0,1.0,3.0,4.0,.081,0,-1.9,0.4,-1.4,0.3
10,Greg Ballard,SF,31,GSW,75,1792,13.4,.529,.061,.221,7.7,17.9,12.6,6.0,1.7,0.2,7.9,14.9,0,2.6,1.0,3.6,.097,0,-0.1,-0.5,-0.6,0.6
11,Gene Banks,SF,26,CHI,82,2139,15.5,.559,.028,.371,9.1,10.0,9.5,16.6,1.8,0.3,14.8,17.9,0,3.7,0.6,4.3,.097,0,2.4,-0.7,1.8,2.0
12,Ken Bannister,PF,25,NYK,70,1405,10.4,.511,.002,.520,6.8,19.7,13.0,4.6,1.5,1.1,18.0,21.4,0,-1.3,2.0,0.7,.025,0,-4.5,-0.1,-4.6,-0.9
13,Charles Barkley*,PF,22,PHI,80,2952,22.4,.619,.072,.555,13.4,25.4,19.4,16.0,2.8,2.4,21.3,22.4,0,5.4,5.5,10.8,.176,0,4.0,3.9,7.9,7.3
14,John Battle,SG,23,ATL,64,639,11.7,.518,.032,.464,2.1,8.6,5.3,16.3,1.7,0.3,15.0,20.1,0,0.4,0.6,1.0,.074,0,-1.8,-1.0,-2.8,-0.1
15,Benoit Benjamin,C,21,LAC,79,2088,16.1,.551,.005,.464,8.4,23.6,15.9,5.4,1.4,5.3,15.4,18.1,0,1.7,2.3,4.0,.093,0,-2.0,1.7,-0.3,0.9
16,Kent Benson,C,31,DET,72,1344,13.8,.519,.005,.200,9.1,20.9,14.8,7.4,2.0,2.1,11.4,14.8,0,1.4,1.9,3.2,.116,0,-1.0,1.9,0.9,1.0
17,Larry Bird*,SF,29,BOS,82,3113,25.6,.580,.121,.306,7.2,20.4,14.2,26.3,2.5,0.9,12.7,27.6,0,9.6,6.2,15.8,.244,0,6.4,2.8,9.1,8.7
18,Otis Birdsong,SG,30,NJN,77,2395,13.4,.529,.021,.199,4.1,5.4,4.7,16.3,1.6,0.4,13.5,22.1,0,1.4,1.8,3.2,.064,0,0.1,-1.2,-1.1,0.5
19,Uwe Blab,C,23,DAL,48,409,7.6,.502,.000,.713,6.9,17.4,12.2,5.1,0.3,1.6,18.5,15.1,0,-0.1,0.2,0.1,.010,0,-4.3,-1.4,-5.7,-0.4
20,Rolando Blackman,SG,26,DAL,82,2787,19.0,.576,.022,.366,3.5,7.9,5.7,14.4,1.3,0.5,11.0,25.2,0,6.2,0.8,7.0,.121,0,2.4,-2.1,0.3,1.6
21,Manute Bol,C,23,WSB,80,2090,11.2,.472,.004,.309,6.4,18.3,12.4,1.4,0.6,10.6,17.1,7.6,0,-0.4,4.2,3.9,.089,0,-5.2,6.4,1.2,1.7
22,Sam Bowie,C,24,POR,38,1132,15.2,.539,.000,.467,9.3,23.5,16.4,11.5,0.9,4.8,17.5,17.6,0,0.9,1.5,2.4,.100,0,-1.3,2.9,1.6,1.0
23,Dudley Bradley,SG,28,WSB,70,842,10.2,.417,.325,.268,3.1,9.1,6.1,17.0,4.9,0.2,15.8,13.8,0,-0.5,1.5,1.0,.057,0,-2.2,2.4,0.2,0.5
24,Mike Bratz,PG,30,SAC,33,269,6.9,.449,.200,.257,0.8,8.8,4.8,18.2,2.3,0.0,17.9,14.3,0,-0.1,0.2,0.1,.016,0,-3.9,-1.1,-5.1,-0.2
25,Randy Breuer,C,25,MIL,82,1792,14.1,.521,.002,.347,10.0,18.4,14.3,8.4,1.3,3.8,15.7,17.5,0,1.2,3.3,4.5,.120,0,-1.2,2.6,1.4,1.6
26,Ron Brewer,SG,30,TOT,44,570,8.8,.438,.076,.170,2.7,7.5,5.1,9.6,1.4,0.6,8.7,18.9,0,-0.2,0.3,0.1,.008,0,-3.4,-1.4,-4.8,-0.4
27,Frank Brickowski,C,26,SEA,40,311,7.1,.558,.000,.466,5.9,14.8,10.3,9.1,1.7,1.4,24.8,12.5,0,0.0,0.4,0.4,.058,0,-3.8,1.4,-2.4,0.0
28,Junior Bridgeman,SF,32,LAC,58,1161,12.0,.507,.040,.264,2.7,9.1,5.9,13.6,1.2,0.4,11.9,19.7,0,0.7,0.1,0.8,.033,0,-1.8,-2.4,-4.2,-0.7
29,Mike Brittain,C,22,SAS,32,219,4.4,.526,.000,.442,5.4,19.8,12.8,2.8,0.6,3.1,28.0,13.1,0,-0.3,0.2,0.0,-0.010,0,-6.7,0.1,-6.6,-0.3
