Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0,OWS,DWS,WS,WS/48,0,OBPM,DBPM,BPM,VORP
29,Earl Barron,C,25,MIA,28,203,6.6,.357,.012,.217,11.3,12.5,11.9,4.0,1.6,1.6,10.8,23.8,0,-0.5,0.2,-0.3,-0.062,0,-8.1,-2.3,-10.4,-0.4
30,Brent Barry,SG,35,SAS,75,1631,16.6,.666,.675,.275,1.3,10.2,5.9,13.3,1.8,0.5,11.3,15.6,0,4.2,2.6,6.8,.201,0,3.5,0.4,3.9,2.4
31,Brandon Bass,PF,21,NOK,21,162,7.2,.411,.023,.364,9.1,21.9,15.3,2.8,0.7,1.5,16.4,17.2,0,-0.2,0.2,0.0,-0.011,0,-7.2,-1.5,-8.7,-0.3
32,Maceo Baston,PF,31,IND,47,405,13.7,.714,.092,.618,5.9,15.4,10.6,6.5,1.5,3.4,24.9,14.2,0,0.5,0.5,1.1,.127,0,-1.9,1.4,-0.6,0.1
33,Esteban Batista,PF,23,ATL,13,81,12.5,.524,.000,.438,10.3,34.6,22.3,8.1,2.0,0.0,17.3,13.1,0,0.0,0.1,0.2,.101,0,-3.8,-0.1,-4.0,0.0
34,Tony Battie,PF,30,ORL,66,1575,9.8,.513,.003,.214,7.4,19.3,13.5,3.6,1.0,1.5,13.4,13.4,0,0.6,2.1,2.7,.081,0,-2.9,0.6,-2.3,-0.1
35,Shane Battier,SF,28,HOU,82,2988,12.0,.589,.570,.173,2.6,10.4,6.5,9.2,1.4,1.5,9.3,12.1,0,4.4,4.6,9.0,.144,0,0.8,2.5,3.3,4.0
36,Charlie Bell,SG,27,MIL,82,2848,13.1,.530,.371,.172,2.3,7.6,4.9,13.6,1.8,0.1,9.0,18.3,0,3.6,0.4,4.0,.068,0,1.2,-1.9,-0.7,1.0
37,Raja Bell,SG,30,PHO,78,2917,12.0,.562,.522,.160,2.0,7.7,5.0,9.5,0.9,0.5,7.5,17.0,0,4.2,1.6,5.8,.095,0,2.3,-0.5,1.8,2.8
38,Mike Bibby,PG,28,SAC,82,2784,16.0,.532,.413,.298,1.6,9.6,5.5,24.3,1.6,0.2,13.0,24.5,0,2.9,1.5,4.4,.076,0,2.1,-2.0,0.1,1.4
39,Andris Biedrins,C,20,GSW,82,2382,16.2,.598,.000,.287,11.3,24.0,17.5,5.4,1.4,4.3,15.4,13.8,0,3.5,3.3,6.7,.136,0,-1.1,2.5,1.4,2.1
40,Chauncey Billups,PG,30,DET,70,2533,21.3,.591,.388,.536,1.1,10.0,5.6,32.9,1.8,0.5,12.2,21.5,0,8.7,2.7,11.4,.216,0,5.4,-0.9,4.4,4.1
41,Steve Blake,PG,26,TOT,82,2225,9.9,.491,.409,.126,1.1,7.5,4.3,26.1,1.4,0.3,19.4,13.0,0,1.0,1.1,2.1,.045,0,-1.4,-1.7,-3.1,-0.6
42,Will Blalock,PG,23,DET,14,166,4.5,.383,.167,.200,4.3,6.4,5.4,14.9,1.7,0.0,26.9,12.8,0,-0.3,0.1,-0.1,-0.032,0,-5.4,-0.2,-5.7,-0.2
43,Andray Blatche,PF,20,WAS,56,682,12.1,.471,.137,.249,12.6,19.8,16.1,8.8,1.3,3.6,18.3,17.2,0,-0.1,0.5,0.5,.033,0,-2.8,0.4,-2.4,-0.1
