Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0,OWS,DWS,WS,WS/48,0,OBPM,DBPM,BPM,VORP
1,Quincy Acy,SF,23,TOT,63,847,10.1,.520,.106,.376,9.5,19.5,14.4,4.9,1.4,2.5,15.4,10.1,0,0.6,0.9,1.5,.086,0,-2.5,1.4,-1.1,0.2
2,Steven Adams,C,20,OKC,81,1197,11.2,.541,.000,.735,14.1,17.1,15.6,4.9,1.7,3.9,22.5,11.7,0,0.9,1.9,2.9,.114,0,-2.1,2.4,0.3,0.7
3,Jeff Adrien,PF,27,TOT,53,961,17.4,.553,.000,.433,11.8,24.8,18.2,6.8,1.3,3.0,10.6,17.3,0,1.6,1.1,2.7,.134,0,-1.4,0.3,-1.1,0.2
4,Arron Afflalo,SG,28,ORL,73,2552,16.0,.574,.297,.332,1.4,10.2,5.8,16.9,0.7,0.1,11.2,23.3,0,4.3,1.0,5.3,.099,0,1.7,-2.3,-0.6,0.9
5,Alexis Ajinca,C,25,NOP,56,951,14.6,.589,.004,.269,11.3,22.7,16.9,6.6,1.3,4.1,18.4,16.3,0,1.2,0.9,2.1,.104,0,-1.5,0.8,-0.7,0.3
6,Cole Aldrich,C,25,NYK,46,330,19.1,.620,.000,.492,12.8,33.8,23.0,6.4,1.3,8.1,19.5,13.0,0,0.6,0.6,1.2,.178,0,-2.6,3.8,1.2,0.3
7,LaMarcus Aldridge,PF,28,POR,69,2498,21.8,.507,.011,.253,7.2,25.5,16.5,13.0,1.3,1.9,7.2,29.8,0,4.0,3.5,7.5,.144,0,-0.4,0.7,0.3,1.5
8,Lavoy Allen,PF,24,TOT,65,1072,12.5,.470,.043,.167,11.7,20.0,15.7,10.1,1.1,2.4,12.0,14.6,0,0.6,0.9,1.5,.066,0,-3.1,0.3,-2.8,-0.2
9,Ray Allen,SG,38,MIA,73,1936,12.8,.590,.569,.214,1.6,11.4,6.7,11.1,1.5,0.4,12.4,16.8,0,2.5,1.5,4.1,.101,0,1.3,-1.2,0.1,1.0
10,Tony Allen,SG,32,MEM,55,1278,15.6,.531,.114,.293,7.3,12.0,9.6,11.7,3.8,1.2,16.2,20.1,0,0.5,2.1,2.7,.100,0,-0.1,2.4,2.3,1.4
