Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0,OWS,DWS,WS,WS/48,0,OBPM,DBPM,BPM,VORP
1,Jeff Adrien,PF,24,GSW,23,196,11.3,.457,.000,.352,13.0,20.7,16.8,7.3,1.0,1.9,12.6,16.1,0,0.1,0.1,0.2,.051,0,-3.9,-1.2,-5.1,-0.2
2,Arron Afflalo,SG,25,DEN,69,2324,13.6,.620,.396,.260,2.3,9.9,6.2,10.9,0.7,1.0,9.2,14.8,0,4.8,1.4,6.2,.128,0,2.4,-0.2,2.1,2.4
3,Maurice Ager,SG,26,MIN,4,29,10.1,.682,.364,.000,0.0,7.9,3.8,6.0,1.7,0.0,26.7,22.0,0,0.0,0.0,0.0,-0.015,0,-2.7,-3.6,-6.3,0.0
4,Alexis Ajinca,C,22,TOT,34,340,12.2,.507,.256,.135,5.9,21.5,13.6,4.8,1.7,4.2,11.3,21.1,0,0.0,0.4,0.4,.052,0,-3.1,-0.3,-3.4,-0.1
5,Solomon Alabi,C,22,TOR,12,59,2.0,.189,.000,.133,13.7,14.4,14.1,4.6,1.8,2.6,15.9,14.3,0,-0.2,0.0,-0.2,-0.142,0,-8.2,0.0,-8.2,-0.1
6,Cole Aldrich,C,22,OKC,18,142,7.0,.537,.000,.267,11.1,17.5,14.4,4.0,1.8,3.6,32.3,7.9,0,0.0,0.2,0.2,.066,0,-3.4,2.6,-0.8,0.0
7,LaMarcus Aldridge,PF,25,POR,81,3211,21.5,.549,.016,.314,10.1,17.2,13.5,10.1,1.4,2.4,8.7,25.7,0,7.6,3.5,11.1,.166,0,1.9,0.5,2.4,3.5
8,Malik Allen,PF,32,ORL,18,178,3.3,.361,.000,.065,8.1,12.8,10.5,3.3,0.3,1.7,8.6,9.1,0,-0.1,0.2,0.2,.046,0,-5.3,1.4,-3.9,-0.1
9,Ray Allen,SG,35,BOS,80,2890,16.4,.615,.387,.224,2.3,9.0,5.8,12.7,1.4,0.4,9.8,19.8,0,5.8,4.2,10.0,.166,0,3.2,0.4,3.6,4.1
10,Tony Allen,SG,29,MEM,72,1494,18.3,.562,.047,.370,5.5,9.9,7.7,10.9,4.5,2.4,13.1,19.9,0,2.0,2.7,4.7,.152,0,0.7,2.9,3.6,2.1
11,Al-Farouq Aminu,SF,20,LAC,81,1452,9.6,.499,.352,.293,6.1,15.4,10.8,6.4,2.1,1.3,18.3,17.3,0,-0.8,1.4,0.7,.022,0,-3.1,0.1,-3.0,-0.4
12,Louis Amundson,PF,28,GSW,46,691,11.5,.452,.000,.475,13.0,17.4,15.2,3.5,1.0,3.6,9.8,15.7,0,0.2,0.5,0.6,.044,0,-4.0,-0.9,-4.9,-0.5
13,Chris Andersen,C,32,DEN,45,732,19.0,.636,.007,.985,12.2,22.1,17.3,4.0,1.6,6.0,11.3,13.5,0,1.9,1.2,3.2,.207,0,0.2,3.1,3.3,1.0
14,David Andersen,PF,30,TOT,40,373,10.9,.513,.190,.182,6.4,21.0,13.6,5.6,0.7,2.0,14.4,19.1,0,-0.1,0.3,0.3,.032,0,-4.0,-1.3,-5.3,-0.3
15,James Anderson,SF,21,SAS,26,286,8.5,.529,.568,.222,0.8,8.3,4.7,9.2,0.5,1.5,12.8,16.4,0,0.1,0.2,0.3,.051,0,-1.9,-1.5,-3.4,-0.1
16,Ryan Anderson,PF,22,ORL,64,1424,19.0,.591,.650,.223,10.8,18.1,14.5,6.2,1.1,2.1,7.8,20.4,0,4.0,2.5,6.4,.216,0,4.1,0.2,4.4,2.3
17,Carmelo Anthony,SF,26,TOT,77,2751,21.7,.557,.167,.403,5.0,18.3,11.8,14.7,1.2,1.3,10.4,32.0,0,5.4,2.5,7.9,.138,0,1.8,-1.3,0.5,1.8
