Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0,OWS,DWS,WS,WS/48,0,OBPM,DBPM,BPM,VORP
29,David Benoit,SF,32,UTA,49,446,11.1,.542,.088,.265,5.7,16.6,11.3,8.4,0.7,1.1,14.6,19.8,0,0.4,0.4,0.7,.080,0,-2.0,-1.7,-3.7,-0.2
30,Travis Best,PG,28,IND,77,2457,16.7,.517,.123,.287,1.8,8.2,5.1,34.0,2.4,0.3,12.5,19.3,0,4.8,2.3,7.2,.140,0,1.6,-1.0,0.6,1.6
31,Mike Bibby,PG,22,VAN,82,3190,16.8,.525,.246,.162,1.7,9.2,5.5,38.3,1.8,0.3,16.7,21.3,0,4.0,1.4,5.3,.081,0,2.3,-1.6,0.7,2.2
32,Chauncey Billups,SG,24,MIN,77,1790,14.1,.538,.330,.291,2.0,8.1,5.0,22.2,1.5,0.4,14.4,19.5,0,2.7,0.9,3.7,.098,0,1.0,-2.4,-1.4,0.3
33,Mookie Blaylock,PG,33,GSW,69,2352,15.8,.455,.281,.095,3.0,9.9,6.1,32.3,3.5,0.6,13.3,17.3,0,1.9,1.6,3.5,.071,0,1.1,-0.3,0.8,1.7
34,Corie Blount,PF,32,TOT,68,1305,11.8,.473,.027,.282,13.9,19.4,16.5,7.1,1.6,1.2,18.1,13.2,0,0.5,1.2,1.8,.065,0,-2.3,0.7,-1.7,0.1
35,Mark Blount,C,25,BOS,64,1098,11.1,.541,.000,.330,9.9,14.9,12.3,4.8,1.8,5.3,21.3,12.0,0,0.5,1.4,1.9,.084,0,-3.4,2.6,-0.8,0.3
36,Muggsy Bogues,PG,36,TOR,3,34,-0.5,.000,.500,.000,0.0,10.2,5.0,19.3,3.1,0.0,66.7,7.9,0,-0.1,0.0,-0.1,-0.128,0,-9.7,1.5,-8.3,-0.1
37,Etdrick Bohannon,PF,27,CLE,6,19,22.4,.694,.000,1.000,18.3,24.3,21.3,0.0,0.0,7.7,14.8,16.1,0,0.1,0.0,0.1,.276,0,-1.2,-3.5,-4.7,0.0
38,Calvin Booth,C,24,TOT,55,933,16.1,.512,.000,.310,9.5,21.1,15.2,7.4,1.6,8.5,15.6,16.3,0,0.6,1.4,2.1,.106,0,-2.6,4.1,1.5,0.8
39,Cal Bowdler,SF,23,ATL,44,375,15.8,.532,.044,.351,8.9,14.1,11.4,1.8,1.4,4.0,7.7,17.0,0,0.7,0.4,1.0,.134,0,-2.0,-0.8,-2.8,-0.1
40,Bruce Bowen,SF,29,MIA,82,2685,8.1,.478,.528,.277,2.0,8.8,5.4,8.2,1.7,1.5,10.2,13.1,0,0.5,3.7,4.2,.075,0,-1.4,1.8,0.4,1.6
41,Ryan Bowen,SF,25,DEN,57,696,13.3,.585,.076,.306,9.6,8.1,8.8,6.8,2.8,1.2,12.8,12.0,0,1.2,0.4,1.7,.114,0,0.2,0.7,0.9,0.5
42,Ira Bowman,PG,27,ATL,3,19,9.2,.000,.000,.000,5.8,5.9,5.9,50.5,0.0,0.0,33.3,7.1,0,0.0,0.0,0.0,-0.024,0,-6.9,-5.8,-12.7,-0.1
43,Earl Boykins,PG,24,LAC,10,149,17.2,.461,.127,.270,3.2,5.2,4.2,38.7,1.8,0.0,11.3,24.7,0,0.2,0.1,0.3,.089,0,1.2,-3.9,-2.7,0.0
44,Shawn Bradley,C,28,DAL,82,2001,16.2,.551,.013,.398,9.2,24.4,17.0,2.8,0.9,8.1,14.3,13.9,0,2.5,3.8,6.3,.151,0,-2.5,3.8,1.3,1.7
45,Elton Brand,PF,21,CHI,74,2906,20.4,.524,.002,.388,11.2,19.6,15.2,17.0,1.3,3.0,13.3,26.3,0,4.1,2.0,6.1,.101,0,1.7,0.5,2.2,3.0
46,Terrell Brandon,PG,30,MIN,78,2821,20.0,.507,.080,.198,2.4,9.7,6.0,33.7,3.0,0.5,11.2,22.2,0,5.8,2.7,8.5,.145,0,2.8,-0.3,2.5,3.2
