Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0,OWS,DWS,WS,WS/48,0,OBPM,DBPM,BPM,VORP
1,Tariq Abdul-Wahad,SG,27,TOT,24,441,9.8,.418,.014,.224,10.1,11.6,10.8,8.8,2.4,1.7,14.3,19.1,0,-0.3,0.3,0.0,-0.003,0,-3.5,0.3,-3.2,-0.1
2,Shareef Abdur-Rahim,PF,25,ATL,77,2980,19.8,.536,.054,.403,7.6,19.2,13.3,15.1,1.7,2.0,14.1,27.0,0,4.1,3.1,7.2,.116,0,1.2,0.8,2.0,3.0
3,Courtney Alexander,SG,24,WAS,56,1325,13.6,.521,.038,.255,3.7,9.3,6.5,11.3,1.4,0.4,10.2,20.4,0,1.6,0.6,2.2,.080,0,-0.5,-1.6,-2.1,0.0
4,Victor Alexander,C,32,DET,15,97,9.2,.367,.039,.157,8.6,26.6,17.6,11.5,0.0,0.7,8.4,28.9,0,-0.3,0.1,-0.1,-0.073,0,-7.9,-3.5,-11.4,-0.2
5,Malik Allen,PF,23,MIA,12,161,15.0,.469,.020,.196,11.0,16.6,13.8,5.5,1.0,3.8,3.5,17.0,0,0.2,0.3,0.5,.141,0,-2.3,0.9,-1.4,0.0
6,Ray Allen,SG,26,MIL,69,2525,21.6,.598,.460,.213,3.9,10.1,7.1,19.4,1.9,0.5,11.2,26.2,0,7.6,1.3,8.9,.169,0,6.4,-2.2,4.3,4.0
7,Rafer Alston,PG,25,MIL,50,600,13.9,.434,.372,.152,2.0,11.4,6.9,36.4,2.8,0.2,16.4,19.0,0,0.3,0.5,0.7,.059,0,-1.1,-2.1,-3.3,-0.2
8,John Amaechi,PF,31,UTA,54,586,5.4,.412,.000,.633,10.6,11.8,11.2,7.8,0.6,1.4,20.6,20.6,0,-1.0,0.3,-0.7,-0.056,0,-6.2,-2.1,-8.3,-0.9
9,Chris Andersen,C,23,DEN,24,262,13.8,.417,.054,.378,15.8,17.4,16.5,4.2,1.4,7.9,13.1,17.0,0,0.0,0.3,0.3,.058,0,-4.1,2.2,-1.9,0.0
10,Derek Anderson,SG,27,POR,70,1860,15.5,.538,.373,.340,2.9,9.1,6.0,18.6,2.0,0.3,11.0,19.4,0,3.8,1.5,5.3,.137,0,2.0,-1.1,0.9,1.3
11,Kenny Anderson,PG,31,BOS,76,2430,13.6,.472,.046,.184,2.5,10.1,6.2,28.1,3.0,0.3,13.3,16.7,0,1.7,3.5,5.2,.103,0,-1.5,1.1,-0.3,1.0
12,Nick Anderson,SG,34,MEM,15,219,4.9,.375,.632,.118,0.5,16.3,8.4,10.2,1.4,1.9,14.9,19.5,0,-0.6,0.2,-0.4,-0.080,0,-5.7,-1.1,-6.9,-0.3
13,Shandon Anderson,SG,28,NYK,82,1596,8.0,.489,.378,.287,4.1,13.9,9.0,7.7,1.6,0.7,18.8,15.1,0,-0.9,1.3,0.4,.013,0,-3.2,0.4,-2.9,-0.3
14,Greg Anthony,PG,34,TOT,60,1514,12.6,.460,.343,.192,1.7,8.5,5.1,30.8,2.7,0.2,15.4,18.6,0,0.2,0.9,1.1,.036,0,-0.7,-2.0,-2.7,-0.3
15,Gilbert Arenas,PG,20,GSW,47,1155,17.0,.562,.294,.417,3.7,8.7,6.1,24.8,3.0,0.6,17.6,20.1,0,2.1,0.7,2.7,.114,0,2.3,-1.1,1.2,0.9
16,Brandon Armstrong,SG,21,NJN,35,196,3.8,.358,.200,.118,5.7,3.5,4.6,6.5,1.9,0.4,8.2,22.3,0,-0.4,0.2,-0.2,-0.054,0,-5.9,-2.8,-8.7,-0.3
17,Darrell Armstrong,PG,33,ORL,82,2730,16.7,.553,.481,.248,3.4,9.7,6.5,25.5,3.0,0.3,16.0,17.9,0,5.0,2.6,7.6,.134,0,3.0,0.0,3.0,3.4
18,Carlos Arroyo,PG,22,TOT,37,371,12.4,.467,.018,.162,3.5,9.0,6.2,31.2,1.6,0.2,16.2,17.2,0,0.2,0.1,0.4,.047,0,-2.3,-2.4,-4.8,-0.3
19,Chucky Atkins,PG,27,DET,79,2285,14.5,.568,.425,.152,1.6,6.5,4.1,20.5,1.7,0.3,13.2,20.0,0,3.3,1.8,5.1,.107,0,2.0,-2.0,-0.1,1.1
20,Stacey Augmon,SG,33,CHH,77,1319,11.5,.479,.009,.308,5.1,14.3,9.7,12.5,2.3,0.7,12.7,14.8,0,0.7,1.6,2.3,.084,0,-2.4,1.0,-1.3,0.2
21,Isaac Austin,C,32,MEM,21,307,7.8,.405,.033,.043,4.0,21.8,12.9,7.0,1.5,1.1,10.5,15.5,0,-0.3,0.3,0.0,.003,0,-6.4,-0.1,-6.5,-0.4
22,William Avery,PG,22,MIN,28,258,5.4,.361,.389,.211,1.8,8.8,5.4,19.9,1.4,0.0,16.2,20.6,0,-0.5,0.1,-0.4,-0.067,0,-4.7,-2.9,-7.6,-0.4
23,Dalibor Bagaric,C,21,CHI,50,638,8.6,.443,.006,.393,9.8,20.1,14.8,6.0,1.4,2.8,18.1,18.4,0,-0.7,0.6,-0.1,-0.011,0,-5.8,-0.3,-6.1,-0.7
24,Vin Baker,C,30,SEA,55,1710,14.1,.517,.012,.348,11.8,12.3,12.1,7.0,0.7,1.6,14.5,23.8,0,1.3,0.9,2.2,.061,0,-1.2,-1.7,-2.8,-0.4
25,Erick Barkley,PG,23,POR,19,228,9.8,.401,.103,.147,2.5,6.8,4.6,22.9,4.0,0.3,14.2,16.9,0,-0.1,0.3,0.2,.044,0,-3.3,0.0,-3.3,-0.1
26,Dana Barros,PG,34,DET,29,582,10.5,.473,.370,.141,0.2,11.3,5.8,22.5,1.3,0.2,13.9,19.2,0,0.0,0.5,0.5,.040,0,-2.0,-2.0,-4.0,-0.3
27,Brent Barry,SG,30,SEA,81,3040,19.3,.652,.490,.296,2.3,14.6,8.6,21.3,2.6,0.9,15.6,16.2,0,8.8,3.3,12.1,.191,0,4.7,1.1,5.8,6.0
28,Jon Barry,SG,32,DET,82,1985,17.7,.645,.494,.222,2.5,11.3,6.9,23.2,2.5,0.7,16.2,16.2,0,5.0,2.5,7.5,.180,0,3.2,0.0,3.2,2.6
29,Mengke Bateer,C,26,DEN,27,408,8.0,.469,.091,.280,8.5,18.8,13.4,8.9,1.3,0.9,17.8,19.8,0,-0.2,0.3,0.1,.007,0,-4.1,-1.1,-5.2,-0.3
30,Tony Battie,C,25,BOS,74,1819,14.5,.570,.005,.333,10.8,18.4,14.5,3.2,1.7,2.9,10.2,12.5,0,3.2,3.0,6.2,.164,0,-1.8,1.9,0.1,1.0
31,Shane Battier,SF,23,MEM,78,3097,13.9,.518,.287,.294,6.5,8.6,7.5,11.9,2.1,1.8,12.5,18.2,0,2.7,2.1,4.8,.074,0,0.9,0.9,1.9,3.0
32,Charlie Bell,SG,22,TOT,7,44,-1.8,.337,.545,.182,5.1,7.7,6.4,6.4,0.0,0.0,29.6,17.2,0,-0.2,0.0,-0.2,-0.172,0,-8.6,-3.1,-11.7,-0.1
33,Raja Bell,SG,25,PHI,74,890,8.6,.486,.183,.200,4.0,10.1,7.1,13.4,1.3,0.3,15.5,15.9,0,0.1,1.0,1.1,.059,0,-2.9,-0.8,-3.7,-0.4
34,Jonathan Bender,SF,21,IND,78,1647,10.6,.538,.272,.393,4.5,12.0,8.4,6.1,0.6,2.1,15.1,17.5,0,0.8,1.3,2.0,.059,0,-2.0,-0.7,-2.7,-0.3
35,Travis Best,PG,29,TOT,74,1747,14.3,.511,.114,.224,1.3,8.7,5.0,31.3,2.7,0.3,14.8,17.5,0,1.9,1.4,3.4,.093,0,-0.3,-1.4,-1.7,0.1
36,Mike Bibby,PG,23,SAC,80,2659,14.9,.513,.140,.196,1.5,7.3,4.5,23.0,1.6,0.4,11.1,19.7,0,3.7,2.6,6.3,.113,0,0.4,-0.8,-0.4,1.1
37,Chauncey Billups,PG,25,MIN,82,2355,17.6,.555,.383,.284,1.7,9.2,5.5,29.2,1.5,0.5,13.0,20.4,0,6.1,1.5,7.6,.156,0,3.5,-2.0,1.5,2.1
38,Mookie Blaylock,PG,34,GSW,35,599,9.2,.398,.288,.055,1.4,8.1,4.7,28.2,2.0,0.5,19.8,13.1,0,-0.2,0.1,-0.1,-0.004,0,-3.3,-2.4,-5.7,-0.6
39,Corie Blount,PF,33,PHI,72,1426,10.2,.478,.004,.179,12.0,17.2,14.6,4.9,1.9,1.4,16.1,10.4,0,0.7,2.4,3.1,.104,0,-2.5,2.0,-0.5,0.6
40,Mark Blount,C,26,BOS,44,415,9.3,.509,.000,.487,6.7,16.0,11.2,3.8,2.0,3.6,20.0,12.7,0,0.0,0.7,0.7,.081,0,-5.7,2.3,-3.4,-0.2
41,Calvin Booth,C,25,SEA,15,279,11.9,.502,.000,.293,8.6,14.1,11.4,8.6,1.2,3.5,14.7,18.1,0,0.2,0.3,0.5,.082,0,-2.7,0.5,-2.2,0.0
42,Ruben Boumtje-Boumtje,C,23,POR,33,245,6.5,.453,.000,.781,10.0,16.5,13.2,2.3,0.7,5.0,24.6,10.6,0,-0.1,0.3,0.2,.030,0,-5.8,1.4,-4.3,-0.1
43,Cal Bowdler,PF,24,ATL,52,585,9.4,.416,.029,.270,7.4,14.1,10.7,3.0,1.6,1.9,5.3,15.9,0,0.0,0.5,0.5,.039,0,-4.6,-1.1,-5.8,-0.6
44,Bruce Bowen,SF,30,SAS,59,1699,8.2,.468,.372,.241,2.9,7.9,5.5,8.1,1.9,1.0,13.0,13.9,0,-0.3,2.2,1.9,.054,0,-1.5,1.5,-0.1,0.8
45,Ryan Bowen,SF,26,DEN,75,1686,11.4,.524,.039,.300,8.6,11.7,10.1,4.8,2.4,1.8,10.6,10.3,0,1.9,1.2,3.1,.088,0,-1.3,1.6,0.3,1.0
46,Ira Bowman,SG,28,PHI,3,29,16.4,.714,.143,.000,0.0,3.9,2.0,6.4,3.7,0.0,0.0,11.1,0,0.1,0.0,0.1,.210,0,1.3,-0.1,1.2,0.0
47,Earl Boykins,PG,25,LAC,68,761,13.9,.464,.153,.222,4.1,4.0,4.0,31.5,1.4,0.2,12.7,20.5,0,0.9,0.2,1.0,.065,0,-0.4,-4.0,-4.4,-0.5
48,Michael Bradley,PF,22,TOR,26,118,9.9,.526,.080,.320,6.6,17.1,11.7,4.0,0.0,3.8,17.4,13.4,0,0.0,0.1,0.1,.053,0,-5.1,-0.4,-5.5,-0.1
49,Shawn Bradley,C,29,DAL,53,757,14.6,.562,.006,.393,7.9,17.8,12.9,3.8,1.9,6.0,11.6,12.9,0,1.3,1.0,2.3,.144,0,-1.5,2.9,1.3,0.6
50,Elton Brand,PF,22,LAC,80,3020,23.6,.586,.000,.519,15.0,19.6,17.3,11.0,1.4,3.7,12.2,21.1,0,9.9,3.7,13.6,.216,0,4.1,2.1,6.2,6.2
51,Terrell Brandon,PG,31,MIN,32,962,21.2,.494,.063,.230,2.1,9.0,5.6,42.8,2.9,0.5,9.7,20.9,0,2.8,0.9,3.7,.186,0,3.2,-1.0,2.1,1.0
52,Jamison Brewer,SG,21,IND,13,43,10.0,.400,.200,.000,5.4,15.4,10.5,30.3,2.4,0.0,37.5,8.4,0,0.0,0.1,0.0,.052,0,-3.9,0.5,-3.4,0.0
53,Primoz Brezec,C,22,IND,22,160,9.8,.538,.000,.862,11.6,8.3,9.9,5.8,0.0,3.1,13.0,13.0,0,0.2,0.1,0.3,.096,0,-1.9,-0.6,-2.5,0.0
54,Chucky Brown,SF,33,SAC,18,92,10.1,.377,.000,.074,11.8,26.2,19.2,9.1,1.1,2.9,15.2,15.6,0,-0.1,0.2,0.1,.052,0,-5.5,1.7,-3.8,0.0
55,Damone Brown,SF,22,PHI,17,67,1.6,.469,.048,.381,3.4,3.4,3.4,5.0,0.8,1.1,26.8,22.9,0,-0.2,0.1,-0.1,-0.096,0,-8.8,-2.7,-11.5,-0.2
56,Dee Brown,PG,33,ORL,7,65,-3.2,.175,.600,.000,0.0,15.6,7.7,4.2,2.4,1.1,16.7,16.5,0,-0.4,0.1,-0.3,-0.214,0,-10.8,-0.6,-11.4,-0.2
57,Ernest Brown,C,22,MIA,3,21,-9.7,.193,.000,.667,5.6,27.6,16.7,0.0,0.0,3.7,27.9,24.5,0,-0.2,0.0,-0.2,-0.349,0,-21.0,-3.7,-24.7,-0.1
58,Kedrick Brown,SF,20,BOS,29,245,11.9,.400,.386,.286,4.8,17.9,11.2,9.8,3.8,2.2,8.2,16.0,0,-0.1,0.5,0.4,.075,0,-3.8,2.6,-1.2,0.1
59,Kwame Brown,PF,19,WAS,57,817,11.2,.450,.004,.407,8.9,19.4,14.1,8.4,1.1,2.4,13.0,18.6,0,0.0,0.8,0.8,.048,0,-3.5,0.0,-3.5,-0.3
60,P.J. Brown,C,32,CHH,80,2563,15.1,.545,.000,.374,12.2,22.8,17.5,6.6,1.2,2.2,12.2,12.4,0,4.6,3.6,8.2,.154,0,-0.2,2.1,1.8,2.5
61,Randy Brown,PG,33,BOS,1,6,8.6,.000,.000,.000,0.0,0.0,0.0,46.4,0.0,13.0,0.0,7.6,0,0.0,0.0,0.0,.025,0,-12.5,-4.3,-16.8,0.0
62,Tierre Brown,SG,22,HOU,40,403,12.4,.483,.104,.243,3.4,8.6,6.0,29.5,2.6,0.5,23.9,19.3,0,-0.1,0.2,0.1,.006,0,-3.1,-1.7,-4.8,-0.3
63,Rick Brunson,PG,29,POR,59,520,12.2,.477,.097,.363,5.1,10.3,7.7,32.7,2.6,0.3,26.4,15.6,0,0.2,0.5,0.7,.066,0,-2.5,-0.7,-3.2,-0.2
64,Kobe Bryant,SG,23,LAL,80,3063,23.2,.544,.083,.369,4.1,11.7,7.9,25.9,2.0,0.8,10.7,30.4,0,8.9,3.8,12.7,.199,0,4.4,0.1,4.4,5.0
65,Mark Bryant,PF,36,SAS,30,206,11.5,.478,.000,.145,14.4,10.3,12.3,7.9,1.8,0.7,9.3,14.6,0,0.3,0.3,0.6,.133,0,-0.5,0.5,-0.1,0.1
