Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
68,Marcus Camby,C,29,DEN,72,72,2162,262,549,.477,0,2,.000,262,547,.479,.477,98,136,.721,211,516,727,132,86,187,98,239,622
69,Elden Campbell,C,35,DET,65,27,892,138,314,.439,0,0,0,138,314,.439,.439,85,124,.685,52,157,209,45,21,50,63,137,361
70,Brian Cardinal,PF,26,GSW,76,11,1634,220,466,.472,55,124,.444,165,342,.482,.531,238,271,.878,100,217,317,103,66,20,84,206,733
71,Matt Carroll,SG,23,TOT,16,0,70,7,16,.438,1,3,.333,6,13,.462,.469,4,6,.667,1,5,6,2,1,0,6,8,19
72,Anthony Carter,PG,28,SAS,5,2,87,11,37,.297,0,3,.000,11,34,.324,.297,0,0,0,2,9,11,12,4,0,12,9,22
73,Maurice Carter,SG,27,TOT,10,0,110,11,35,.314,4,11,.364,7,24,.292,.371,16,20,.800,2,9,11,4,0,0,9,10,42
74,Vince Carter,SG,27,TOR,73,73,2785,608,1457,.417,93,243,.383,515,1214,.424,.449,336,417,.806,95,254,349,348,88,65,223,212,1645
75,Sam Cassell,PG,34,MIN,81,81,2838,620,1270,.488,74,186,.398,546,1084,.504,.517,289,331,.873,44,227,271,592,102,18,220,247,1603
76,Kelvin Cato,PF,29,HOU,69,67,1743,161,360,.447,0,0,0,161,360,.447,.447,96,142,.676,153,319,472,72,52,96,84,203,418
77,Tyson Chandler,PF,21,CHI,35,8,782,67,158,.424,0,1,.000,67,157,.427,.424,79,118,.669,82,188,270,23,17,43,38,87,213
78,Calbert Cheaney,SF,32,GSW,79,7,2067,278,578,.481,0,10,.000,278,568,.489,.481,47,77,.610,77,183,260,136,60,12,85,184,603
79,Doug Christie,SG,33,SAC,82,82,2780,317,688,.461,49,142,.345,268,546,.491,.496,148,172,.860,69,260,329,347,151,41,155,186,831
80,Keon Clark,PF,28,UTA,2,0,27,2,6,.333,0,0,0,2,6,.333,.333,0,0,0,1,6,7,1,1,0,0,1,4
81,Speedy Claxton,PG,25,GSW,60,29,1595,224,524,.427,4,22,.182,220,502,.438,.431,182,224,.813,38,118,156,267,97,9,102,146,634
82,Mateen Cleaves,PG,26,CLE,4,2,92,7,23,.304,0,1,.000,7,22,.318,.304,1,2,.500,1,6,7,19,4,2,5,13,15
83,Derrick Coleman,C,36,PHI,34,30,843,107,259,.413,8,36,.222,99,223,.444,.429,49,65,.754,45,147,192,46,23,26,57,79,271
84,Bimbo Coles,PG,35,MIA,22,1,170,12,34,.353,0,0,0,12,34,.353,.353,4,6,.667,2,8,10,15,3,0,9,27,28
85,Jason Collier,C,26,ATL,20,16,545,79,165,.479,1,4,.250,78,161,.484,.482,67,85,.788,36,75,111,17,11,11,31,71,226
86,Jarron Collins,C,25,UTA,81,31,1732,147,295,.498,0,1,.000,147,294,.500,.498,188,262,.718,117,199,316,77,26,18,79,255,482
87,Jason Collins,C,25,NJN,78,78,2220,163,384,.424,0,2,.000,163,382,.427,.424,136,184,.739,143,257,400,153,67,56,97,251,462
88,Brian Cook,C,23,LAL,35,2,442,67,141,.475,0,5,.000,67,136,.493,.475,21,28,.750,31,70,101,20,16,16,17,64,155
89,Omar Cook,PG,22,POR,17,0,139,7,27,.259,0,1,.000,7,26,.269,.259,0,0,0,3,3,6,24,10,0,10,14,14
90,Chris Crawford,PF,28,ATL,56,25,1207,211,471,.448,44,113,.389,167,358,.466,.495,103,119,.866,58,117,175,45,37,20,55,131,569
91,Jamal Crawford,SG,23,CHI,80,73,2811,509,1318,.386,165,521,.317,344,797,.432,.449,200,240,.833,46,237,283,405,111,29,193,161,1383
92,Austin Croshere,PF,28,IND,77,0,1051,119,307,.388,56,144,.389,63,163,.387,.479,93,104,.894,60,183,243,52,24,14,55,101,387
93,Eddy Curry,PF,21,CHI,73,63,2154,417,840,.496,1,1,1.000,416,839,.496,.497,235,350,.671,143,308,451,68,24,83,177,258,1070
94,Michael Curry,SF,35,TOR,70,15,1229,76,196,.388,3,15,.200,73,181,.403,.395,49,58,.845,22,65,87,53,23,5,48,153,204
95,Samuel Dalembert,C,22,PHI,82,53,2197,270,499,.541,0,1,.000,270,498,.542,.541,112,174,.644,194,432,626,21,44,189,86,273,652
96,Erick Dampier,C,28,GSW,74,74,2403,348,650,.535,0,2,.000,348,648,.537,.535,217,332,.654,344,543,887,60,33,137,131,227,913
97,Antonio Daniels,PG,28,SEA,71,32,1512,187,398,.470,42,116,.362,145,282,.514,.523,155,184,.842,23,119,142,298,45,6,61,64,571
98,Marquis Daniels,SG,23,DAL,56,15,1039,203,411,.494,11,36,.306,192,375,.512,.507,60,78,.769,66,80,146,116,53,12,44,51,477
99,Antonio Davis,C,35,TOT,80,79,2570,266,660,.403,0,0,0,266,660,.403,.403,176,230,.765,207,464,671,137,37,65,114,206,708
100,Baron Davis,PG,24,NOH,67,66,2686,554,1402,.395,187,582,.321,367,820,.448,.462,237,352,.673,66,221,287,501,158,27,215,178,1532
101,Dale Davis,C,34,POR,76,37,1682,133,281,.473,0,0,0,133,281,.473,.473,65,106,.613,158,240,398,72,43,62,40,154,331
102,Hubert Davis,SG,33,TOT,17,0,78,1,11,.091,0,1,.000,1,10,.100,.091,2,2,1.000,2,6,8,4,2,0,3,12,4
103,Josh Davis,PF,23,ATL,4,1,23,2,5,.400,0,2,.000,2,3,.667,.400,1,1,1.000,1,4,5,0,0,0,2,3,5
104,Ricky Davis,SF-SG,24,TOT,79,27,2474,446,950,.469,52,140,.371,394,810,.486,.497,196,273,.718,77,281,358,259,96,22,189,171,1140
105,Andrew DeClercq,C,30,ORL,71,53,1211,93,195,.477,0,0,0,93,195,.477,.477,44,54,.815,131,186,317,44,47,32,54,217,230
106,Tony Delk,SG,30,DAL,33,11,509,70,184,.380,20,66,.303,50,118,.424,.435,37,44,.841,16,43,59,28,27,7,17,46,197
107,Derrick Dial,SG,28,ORL,9,0,86,9,28,.321,2,9,.222,7,19,.368,.357,6,8,.750,5,8,13,2,6,0,1,6,26
108,Boris Diaw,SG,21,ATL,76,37,1919,140,313,.447,6,26,.231,134,287,.467,.457,56,93,.602,111,231,342,182,59,37,126,191,342
109,Dan Dickau,PG,25,TOT,43,0,294,37,98,.378,10,30,.333,27,68,.397,.429,11,14,.786,7,19,26,38,17,0,26,44,95
110,Kaniel Dickens,PF,25,POR,3,0,12,3,3,1.000,0,0,0,3,3,1.000,1.000,1,2,.500,2,0,2,0,0,0,1,3,7
111,DeSagana Diop,C,22,CLE,56,3,730,57,147,.388,0,0,0,57,147,.388,.388,12,20,.600,72,127,199,34,26,51,29,116,126
112,Vlade Divac,C,35,SAC,81,81,2317,314,668,.470,2,13,.154,312,655,.476,.472,170,260,.654,136,327,463,432,57,77,173,222,800
113,Juan Dixon,SG,25,WAS,71,16,1478,247,637,.388,59,198,.298,188,439,.428,.434,111,139,.799,30,118,148,137,82,4,104,111,664
114,Michael Doleac,C,26,TOT,72,0,1029,140,322,.435,0,0,0,140,322,.435,.435,45,52,.865,88,177,265,44,23,36,48,142,325
115,Keyon Dooling,PG,23,LAC,58,24,1137,137,352,.389,8,46,.174,129,306,.422,.401,78,94,.830,17,62,79,130,45,6,65,108,360
116,Bryce Drew,PG,29,NOH,15,0,78,4,18,.222,1,7,.143,3,11,.273,.250,3,3,1.000,0,6,6,13,4,0,8,1,12
117,Predrag Drobnjak,C,28,LAC,61,14,949,149,379,.393,11,36,.306,138,343,.402,.408,73,86,.849,54,142,196,39,22,24,48,85,382
118,Tim Duncan,PF,27,SAS,69,68,2527,592,1181,.501,2,12,.167,590,1169,.505,.502,352,588,.599,227,632,859,213,62,185,183,164,1538
119,Mike Dunleavy,SF,23,GSW,75,69,2336,323,720,.449,94,254,.370,229,466,.491,.514,137,185,.741,87,355,442,220,68,13,143,169,877
120,Ronald Dupree,SF,23,CHI,47,8,893,111,282,.394,4,9,.444,107,273,.392,.401,66,105,.629,55,112,167,55,32,18,51,134,292
121,Ndudi Ebi,SF,19,MIN,17,0,32,6,14,.429,0,0,0,6,14,.429,.429,1,4,.250,2,1,3,3,0,4,3,6,13
122,Howard Eisley,PG,31,TOT,67,23,1457,166,451,.368,52,163,.319,114,288,.396,.426,76,89,.854,20,109,129,273,56,5,98,137,460
123,Francisco Elson,C,27,DEN,62,14,875,94,199,.472,0,1,.000,94,198,.475,.472,30,45,.667,65,138,203,32,35,39,35,145,218
124,Melvin Ely,PF,25,LAC,42,2,510,66,153,.431,0,1,.000,66,152,.434,.431,25,42,.595,48,53,101,22,9,17,20,68,157
125,Reggie Evans,PF,23,SEA,75,27,1280,67,165,.406,0,3,.000,67,162,.414,.406,83,148,.561,156,252,408,33,54,10,65,176,217
126,Desmond Ferguson,SF,26,POR,7,0,32,5,12,.417,3,8,.375,2,4,.500,.542,0,2,.000,0,4,4,1,0,0,1,0,13
127,Michael Finley,SG,30,DAL,72,72,2778,514,1159,.443,150,370,.405,364,789,.461,.508,164,193,.850,78,247,325,212,84,39,83,118,1342
128,Derek Fisher,SG,29,LAL,82,3,1769,203,576,.352,52,179,.291,151,397,.380,.398,122,153,.797,30,122,152,187,103,4,79,115,580
129,Marcus Fizer,SF,25,CHI,46,2,738,134,350,.383,2,17,.118,132,333,.396,.386,90,120,.750,61,141,202,43,16,8,51,97,360
130,Alton Ford,PF,22,HOU,9,0,41,6,11,.545,0,0,0,6,11,.545,.545,3,6,.500,3,8,11,3,0,1,3,9,15
131,T.J. Ford,PG,20,MIL,55,55,1472,153,398,.384,5,21,.238,148,377,.393,.391,80,98,.816,37,140,177,356,60,3,139,123,391
132,Danny Fortson,C,27,DAL,56,20,625,71,139,.511,0,0,0,71,139,.511,.511,75,92,.815,114,136,250,9,12,11,37,148,217
133,Jeff Foster,C,27,IND,82,79,1961,197,362,.544,0,4,.000,197,358,.550,.544,103,154,.669,248,362,610,64,71,27,60,189,497
134,Tremaine Fowlkes,SF,27,DET,36,0,261,15,48,.313,1,8,.125,14,40,.350,.323,13,18,.722,18,35,53,14,9,3,12,37,44
135,Rick Fox,SF,34,LAL,38,34,846,73,186,.392,15,61,.246,58,125,.464,.433,22,30,.733,29,73,102,98,29,4,48,99,183
136,Adonal Foyle,C,28,GSW,44,8,572,59,130,.454,0,0,0,59,130,.454,.454,19,35,.543,54,113,167,17,6,46,21,68,137
137,Richie Frahm,SF,26,SEA,54,0,469,63,139,.453,34,92,.370,29,47,.617,.576,23,26,.885,12,44,56,24,16,4,7,50,183
138,Steve Francis,PG,26,HOU,79,79,3194,450,1117,.403,73,250,.292,377,867,.435,.436,337,435,.775,116,317,433,493,139,35,294,257,1310
139,Hiram Fuller,PF,22,ATL,4,0,43,3,8,.375,0,0,0,3,8,.375,.375,2,6,.333,4,7,11,2,0,1,4,5,8
140,Dan Gadzuric,C,25,MIL,75,0,1260,183,349,.524,0,1,.000,183,348,.526,.524,58,118,.492,126,220,346,28,51,105,45,186,424
141,Reece Gaines,PG,23,ORL,38,1,364,25,86,.291,3,10,.300,22,76,.289,.308,16,25,.640,8,31,39,40,11,2,18,22,69
142,Alex Garcia,SG,23,SAS,2,0,13,1,7,.143,0,0,0,1,7,.143,.143,1,2,.500,0,0,0,0,2,0,1,0,3
143,Kevin Garnett,PF,27,MIN,82,82,3231,804,1611,.499,11,43,.256,793,1568,.506,.502,368,465,.791,245,894,1139,409,120,178,212,202,1987
144,Pat Garrity,PF,27,ORL,2,0,22,1,3,.333,0,0,0,1,3,.333,.333,0,0,0,0,0,0,1,0,0,0,2,2
145,Pau Gasol,PF,23,MEM,78,78,2458,506,1049,.482,4,15,.267,502,1034,.485,.484,365,511,.714,206,394,600,198,44,132,187,185,1381
146,Devean George,SF,26,LAL,82,48,1951,233,571,.408,65,186,.349,168,385,.436,.465,73,96,.760,87,245,332,112,81,38,88,189,604
147,Eddie Gill,PG,25,POR,22,0,157,15,36,.417,3,8,.375,12,28,.429,.458,17,20,.850,4,13,17,16,9,1,12,16,50
148,Kendall Gill,SG,35,CHI,56,35,1411,215,548,.392,9,38,.237,206,510,.404,.401,100,136,.735,61,129,190,89,65,16,83,107,539
149,Manu Ginobili,SG,26,SAS,77,38,2260,330,789,.418,88,245,.359,242,544,.445,.474,239,298,.802,86,258,344,291,136,16,161,181,987
150,Gordan Giricek,SF-SG,26,TOT,73,43,2041,316,724,.436,60,152,.395,256,572,.448,.478,135,158,.854,51,175,226,122,56,15,103,144,827
151,Dion Glover,SG,25,TOT,69,30,1643,230,589,.390,40,119,.336,190,470,.404,.424,120,156,.769,58,208,266,130,50,19,102,123,620
152,Anthony Goldwire,PG,32,TOT,11,0,85,7,22,.318,2,8,.250,5,14,.357,.364,1,1,1.000,1,6,7,11,5,0,3,5,17
153,Drew Gooden,PF,22,ORL,79,17,2134,369,829,.445,9,42,.214,360,787,.457,.451,167,262,.637,160,356,516,89,62,72,126,196,914
154,Brian Grant,C,31,MIA,76,76,2303,289,613,.471,0,1,.000,289,612,.472,.471,86,110,.782,174,350,524,69,51,35,82,254,664
155,Horace Grant,PF,38,LAL,55,10,1106,92,224,.411,0,1,.000,92,223,.413,.411,39,54,.722,79,154,233,71,24,21,29,70,223
156,Paul Grant,C,30,UTA,10,0,98,11,23,.478,0,0,0,11,23,.478,.478,3,8,.375,7,10,17,3,1,1,7,17,25
157,Willie Green,SG,22,PHI,53,0,767,143,357,.401,19,61,.311,124,296,.419,.427,59,81,.728,16,49,65,53,26,5,59,83,364
158,Adrian Griffin,SG,29,HOU,19,1,133,5,18,.278,1,2,.500,4,16,.250,.306,0,4,.000,1,18,19,10,7,2,3,17,11
159,Tom Gugliotta,PF,34,TOT,55,27,819,70,203,.345,1,4,.250,69,199,.347,.347,20,28,.714,65,122,187,63,31,12,39,81,161
160,Marcus Haislip,PF,23,MIL,31,0,263,36,74,.486,1,2,.500,35,72,.486,.493,20,28,.714,21,32,53,4,6,12,9,25,93
161,Darvin Ham,SF,30,DET,54,2,484,37,75,.493,1,2,.500,36,73,.493,.500,21,35,.600,47,46,93,16,13,8,31,63,96
162,Richard Hamilton,SG,25,DET,78,78,2772,530,1166,.455,18,68,.265,512,1098,.466,.462,297,342,.868,78,201,279,310,103,17,210,222,1375
163,Zendon Hamilton,C,28,PHI,46,0,473,51,95,.537,0,0,0,51,95,.537,.537,67,96,.698,49,97,146,13,8,8,27,74,169
164,Ben Handlogten,C,30,UTA,17,0,172,25,47,.532,0,0,0,25,47,.532,.532,18,27,.667,22,33,55,6,3,4,10,32,68
165,Travis Hansen,SF,25,ATL,41,4,507,46,130,.354,9,30,.300,37,100,.370,.388,22,27,.815,30,40,70,19,10,9,15,67,123
166,Anfernee Hardaway,SG,32,TOT,76,14,2095,279,679,.411,30,79,.380,249,600,.415,.433,111,138,.804,69,218,287,176,70,20,107,146,699
167,Matt Harpring,SF,27,UTA,31,31,1134,193,410,.471,8,33,.242,185,377,.491,.480,108,157,.688,91,156,247,63,22,2,65,102,502
168,Al Harrington,PF,23,IND,79,15,2441,421,909,.463,21,77,.273,400,832,.481,.475,185,252,.734,163,345,508,131,80,22,163,250,1048
169,Othella Harrington,PF,30,NYK,56,3,872,100,202,.495,0,0,0,100,202,.495,.495,58,78,.744,58,119,177,29,12,14,65,134,258
170,Lucious Harris,PG,33,NJN,69,15,1504,187,463,.404,38,101,.376,149,362,.412,.445,66,78,.846,39,101,140,135,41,2,53,74,478
171,Jason Hart,PG,25,SAS,53,5,660,71,159,.447,2,9,.222,69,150,.460,.453,33,43,.767,10,69,79,81,28,5,29,59,177
172,Donnell Harvey,PF,23,TOT,60,8,783,89,201,.443,0,3,.000,89,198,.449,.443,61,83,.735,48,116,164,21,24,27,45,129,239
173,Udonis Haslem,PF,23,MIA,75,24,1795,205,447,.459,0,3,.000,205,444,.462,.459,140,183,.765,189,284,473,51,33,24,74,197,550
174,Trenton Hassell,SG,24,MIN,81,74,2264,177,381,.465,4,13,.308,173,368,.470,.470,48,61,.787,68,189,257,133,36,54,46,200,406
175,Jarvis Hayes,SF,22,WAS,70,42,2044,278,695,.400,40,131,.305,238,564,.422,.429,77,98,.786,71,193,264,106,71,11,110,157,673
176,Brendan Haywood,C,24,WAS,77,59,1484,200,388,.515,0,1,.000,200,387,.517,.515,137,234,.585,186,201,387,43,32,100,80,154,537
177,Shane Heal,PG,33,SAS,6,0,72,7,24,.292,4,18,.222,3,6,.500,.375,4,5,.800,1,3,4,5,1,0,5,2,22
178,Alan Henderson,PF,31,ATL,6,0,68,10,21,.476,0,0,0,10,21,.476,.476,4,6,.667,11,10,21,2,1,2,3,1,24
179,Nene Hilario,PF,21,DEN,77,77,2504,334,630,.530,0,2,.000,334,628,.532,.530,240,352,.682,154,349,503,168,116,41,183,280,908
180,Tyrone Hill,PF,35,MIA,5,0,38,3,5,.600,0,0,0,3,5,.600,.600,3,4,.750,5,3,8,0,0,1,2,10,9
181,Kirk Hinrich,PG,23,CHI,76,66,2706,318,823,.386,144,369,.390,174,454,.383,.474,135,168,.804,42,217,259,517,101,21,204,276,915
182,Fred Hoiberg,SG,31,MIN,79,3,1804,178,383,.465,76,172,.442,102,211,.483,.564,98,116,.845,21,247,268,109,66,10,44,136,530
183,Robert Horry,PF,33,SAS,81,1,1290,141,348,.405,41,108,.380,100,240,.417,.464,69,107,.645,108,164,272,101,48,49,55,165,392
184,Eddie House,SG,25,LAC,60,10,1188,161,449,.359,51,136,.375,110,313,.351,.415,36,45,.800,28,110,138,148,65,4,63,92,409
