Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Shareef Abdur-Rahim,PF,27,TOT,85,56,2684,501,1054,.475,9,34,.265,492,1020,.482,.480,373,429,.869,189,450,639,174,68,37,184,222,1384
2,Malik Allen,PF,25,MIA,45,6,616,83,198,.419,0,0,0,83,198,.419,.419,25,33,.758,42,77,119,16,12,28,27,81,191
3,Ray Allen,SG,28,SEA,56,56,2152,447,1017,.440,148,378,.392,299,639,.468,.512,245,271,.904,69,217,286,268,71,11,156,132,1287
4,Rafer Alston,PG,27,MIA,82,28,2581,287,764,.376,161,434,.371,126,330,.382,.481,103,134,.769,26,200,226,372,114,18,128,212,838
5,Chris Andersen,PF,25,DEN,71,0,1029,90,203,.443,0,1,.000,90,202,.446,.443,63,107,.589,89,209,298,35,34,114,48,119,243
6,Derek Anderson,SG,29,POR,51,46,1810,230,612,.376,79,259,.305,151,353,.428,.440,155,188,.824,26,156,182,228,66,3,90,79,694
7,Kenny Anderson,PG,33,IND,44,31,905,113,256,.441,1,4,.250,112,252,.444,.443,35,48,.729,19,62,81,125,26,5,50,73,262
8,Shandon Anderson,SG,30,NYK,80,37,1974,238,564,.422,36,128,.281,202,436,.463,.454,123,161,.764,53,169,222,122,68,17,118,182,635
9,Carmelo Anthony,SF,19,DEN,82,82,2995,624,1465,.426,69,214,.322,555,1251,.444,.449,408,525,.777,183,315,498,227,97,41,247,225,1725
10,Robert Archibald,C-PF,23,TOT,32,3,256,9,33,.273,0,0,0,9,33,.273,.273,14,31,.452,21,31,52,13,14,3,10,50,32
11,Gilbert Arenas,PG,22,WAS,55,52,2066,358,914,.392,125,333,.375,233,581,.401,.460,237,317,.748,55,199,254,275,103,12,226,176,1078
12,Brandon Armstrong,SG,23,NJN,56,0,434,65,175,.371,19,52,.365,46,123,.374,.426,2,4,.500,12,31,43,14,12,2,24,49,151
13,Darrell Armstrong,PG,35,NOH,79,22,2247,291,736,.395,135,429,.315,156,307,.508,.487,123,144,.854,63,163,226,311,133,16,155,148,840
14,Carlos Arroyo,PG,24,UTA,71,71,2008,339,768,.441,38,117,.325,301,651,.462,.466,181,225,.804,41,144,185,355,63,5,156,165,897
15,Chucky Atkins,PG,29,TOT,64,24,1544,192,484,.397,81,241,.336,111,243,.457,.480,73,97,.753,9,84,93,223,45,2,92,102,538
16,Stacey Augmon,SF,35,NOH,69,24,1416,143,347,.412,1,7,.143,142,340,.418,.414,110,139,.791,52,122,174,85,55,15,76,114,397
17,Vin Baker,PF,32,TOT,54,33,1313,208,432,.481,1,3,.333,207,429,.483,.483,114,157,.726,112,168,280,66,29,32,77,160,531
18,Marcus Banks,PG,22,BOS,81,2,1385,177,442,.400,27,86,.314,150,356,.421,.431,99,131,.756,30,103,133,175,88,13,125,171,480
19,Leandro Barbosa,PG,21,PHO,70,46,1500,210,470,.447,83,210,.395,127,260,.488,.535,47,61,.770,23,100,123,165,93,7,120,184,550
20,Matt Barnes,SF,23,LAC,38,9,724,63,138,.457,2,13,.154,61,125,.488,.464,43,61,.705,53,98,151,48,27,3,44,76,171
21,Dana Barros,SG,36,BOS,1,0,11,2,3,.667,0,0,0,2,3,.667,.667,2,2,1.000,0,0,0,0,0,0,0,2,6
22,Brent Barry,SG,32,SEA,59,53,1803,215,427,.504,114,252,.452,101,175,.577,.637,91,110,.827,21,183,204,342,85,16,139,121,635
23,Jon Barry,SG,34,DEN,57,9,1101,120,297,.404,51,138,.370,69,159,.434,.490,60,71,.845,25,98,123,147,57,8,53,66,351
24,Mengke Bateer,C,28,TOR,7,0,40,4,7,.571,0,0,0,4,7,.571,.571,0,0,0,5,3,8,1,1,0,2,10,8
25,Tony Battie,C,27,TOT,73,7,1478,170,384,.443,2,9,.222,168,375,.448,.445,66,89,.742,118,241,359,58,26,67,63,159,408
26,Shane Battier,SF,25,MEM,79,1,1947,242,543,.446,65,186,.349,177,357,.496,.506,120,164,.732,102,201,303,101,101,58,56,187,669
27,Lonny Baxter,C-PF,25,TOT,62,5,766,103,209,.493,1,3,.333,102,206,.495,.495,44,76,.579,64,123,187,20,17,29,38,123,251
28,Jerome Beasley,PF,23,MIA,2,0,5,1,3,.333,0,0,0,1,3,.333,.333,0,0,0,0,1,1,0,0,0,0,0,2
29,Raja Bell,SG,27,UTA,82,4,2020,329,805,.409,62,166,.373,267,639,.418,.447,195,248,.786,60,181,241,107,63,13,111,262,915
30,Troy Bell,PG,23,MEM,6,0,34,4,18,.222,0,4,.000,4,14,.286,.222,3,3,1.000,3,1,4,4,1,0,6,6,11
31,Jonathan Bender,SF,23,IND,21,0,271,50,106,.472,9,22,.409,41,84,.488,.514,39,47,.830,9,31,40,9,5,11,33,23,148
32,Travis Best,PG,31,DAL,61,1,762,64,172,.372,3,20,.150,61,152,.401,.381,40,46,.870,17,51,68,112,31,4,33,66,171
33,Mike Bibby,PG,25,SAC,82,82,2980,527,1170,.450,148,378,.392,379,792,.479,.514,304,373,.815,67,210,277,444,112,18,175,146,1506
34,Chauncey Billups,PG,27,DET,78,78,2758,392,996,.394,130,335,.388,262,661,.396,.459,404,460,.878,35,241,276,446,84,8,189,177,1318
35,Steve Blake,PG,23,WAS,75,14,1392,157,407,.386,75,202,.371,82,205,.400,.478,55,67,.821,18,99,117,209,57,7,128,100,444
36,Corie Blount,PF-C,35,TOT,62,3,1050,115,253,.455,0,3,.000,115,250,.460,.455,15,27,.556,98,177,275,55,49,24,43,135,245
37,Mark Blount,C,28,BOS,82,73,2402,342,604,.566,0,0,0,342,604,.566,.566,159,221,.719,207,382,589,75,80,106,150,253,843
38,Keith Bogans,SF,23,ORL,73,36,1787,183,454,.403,67,187,.358,116,267,.434,.477,65,103,.631,106,211,317,98,46,10,75,128,498
39,Calvin Booth,C,27,SEA,71,35,1206,135,290,.466,0,2,.000,135,288,.469,.466,75,94,.798,86,194,280,28,17,101,45,150,345
40,Carlos Boozer,PF,22,CLE,75,75,2592,471,900,.523,1,6,.167,470,894,.526,.524,219,285,.768,230,627,857,148,74,55,134,199,1162
41,Curtis Borchardt,C,23,UTA,16,0,258,22,56,.393,0,1,.000,22,55,.400,.393,14,18,.778,13,41,54,15,4,14,18,40,58
42,Chris Bosh,C,19,TOR,75,63,2510,327,712,.459,5,14,.357,322,698,.461,.463,202,288,.701,191,366,557,78,59,106,107,215,861
43,Ruben Boumtje-Boumtje,C,25,POR,9,0,26,1,5,.200,0,0,0,1,5,.200,.200,2,2,1.000,0,1,1,1,0,1,0,2,4
44,Bruce Bowen,SF,32,SAS,82,82,2624,211,502,.420,77,212,.363,134,290,.462,.497,66,114,.579,45,208,253,113,84,33,90,166,565
45,Ryan Bowen,PF,28,DEN,52,1,392,18,53,.340,0,0,0,18,53,.340,.340,10,12,.833,39,48,87,18,18,16,6,47,46
46,Earl Boykins,SG,27,DEN,82,3,1849,321,766,.419,55,171,.322,266,595,.447,.455,142,162,.877,42,101,143,295,51,3,100,84,839
47,Michael Bradley,C-PF,24,TOT,16,1,98,7,15,.467,0,0,0,7,15,.467,.467,1,2,.500,6,17,23,1,3,0,7,14,15
48,Shawn Bradley,C,31,DAL,66,5,773,89,188,.473,0,1,.000,89,187,.476,.473,41,49,.837,72,101,173,20,33,74,17,130,219
49,Torraye Braggs,PF,27,TOT,15,0,154,16,33,.485,0,0,0,16,33,.485,.485,8,12,.667,18,21,39,7,4,2,13,29,40
50,Elton Brand,PF,24,LAC,69,68,2670,484,982,.493,0,1,.000,484,981,.493,.493,411,532,.773,269,445,714,227,64,154,193,229,1379
51,J.R. Bremer,PG,23,TOT,36,2,443,43,158,.272,19,74,.257,24,84,.286,.332,13,20,.650,9,27,36,51,18,4,24,32,118
52,Jamison Brewer,PG,23,IND,13,1,160,13,35,.371,5,14,.357,8,21,.381,.443,1,6,.167,2,9,11,17,7,0,10,9,32
53,Primoz Brezec,C,24,IND,18,0,72,12,26,.462,0,0,0,12,26,.462,.462,4,6,.667,5,10,15,3,0,3,6,13,28
54,Damone Brown,PF,24,NJN,3,0,17,1,10,.100,0,0,0,1,10,.100,.100,1,2,.500,3,2,5,0,2,0,1,2,3
55,Devin Brown,SG,25,SAS,58,0,627,85,196,.434,4,14,.286,81,182,.445,.444,60,74,.811,38,92,130,33,15,4,38,61,234
56,Kedrick Brown,SF,22,TOT,55,26,969,117,254,.461,38,99,.384,79,155,.510,.535,17,27,.630,41,105,146,64,30,7,29,80,289
57,Kwame Brown,PF,21,WAS,74,57,2239,288,589,.489,1,2,.500,287,587,.489,.490,228,334,.683,178,372,550,112,66,52,140,144,805
58,P.J. Brown,PF,34,NOH,80,80,2753,339,712,.476,0,1,.000,339,711,.477,.476,158,185,.854,237,453,690,155,78,73,101,203,836
59,Tierre Brown,PG,24,NOH,3,0,17,2,4,.500,0,0,0,2,4,.500,.500,2,4,.500,0,1,1,2,0,0,7,1,6
60,Rick Brunson,PG,31,TOT,40,0,412,40,105,.381,11,23,.478,29,82,.354,.433,27,31,.871,9,28,37,82,25,3,33,44,118
61,Kobe Bryant,SG,25,LAL,65,64,2447,516,1178,.438,71,217,.327,445,961,.463,.468,454,533,.852,103,256,359,330,112,28,171,176,1557
62,Greg Buckner,SG,27,PHI,53,3,703,66,175,.377,12,44,.273,54,131,.412,.411,20,27,.741,28,75,103,45,21,4,34,77,164
63,Rodney Buford,SF,26,SAC,22,0,141,19,56,.339,0,2,.000,19,54,.352,.339,3,6,.500,6,9,15,7,6,1,4,9,41
64,Caron Butler,SF,23,MIA,68,56,2030,240,631,.380,10,42,.238,230,589,.390,.388,133,176,.756,92,234,326,126,75,13,91,162,623
65,Mitchell Butler,SG,33,WAS,41,4,552,54,124,.435,11,30,.367,43,94,.457,.480,15,24,.625,24,47,71,32,22,4,24,54,134
66,Rasual Butler,SF,24,MIA,45,0,675,119,250,.476,50,108,.463,69,142,.486,.576,16,21,.762,4,57,61,23,10,13,28,72,304
67,Zarko Cabarkapa,PF,22,PHO,49,4,570,81,197,.411,6,32,.188,75,165,.455,.426,35,53,.660,26,73,99,40,10,13,54,75,203
