Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
20,Trevor Ariza,SF,26,NOH,41,41,1350,168,403,.417,29,87,.333,139,316,.440,.453,79,102,.775,41,174,215,135,69,25,76,73,444
21,Omer Asik,C,25,CHI,66,2,971,79,156,.506,0,0,0,79,156,.506,.506,47,103,.456,127,223,350,32,30,68,68,121,205
22,D.J. Augustin,PG,24,CHA,48,46,1408,183,487,.376,61,179,.341,122,308,.396,.438,105,120,.875,24,85,109,307,36,1,110,65,532
23,Gustavo Ayon,PF,26,NOH,54,24,1088,140,261,.536,0,1,.000,140,260,.538,.536,39,63,.619,86,179,265,74,53,46,46,118,319
24,Jeff Ayres,C,24,IND,20,1,106,15,36,.417,0,0,0,15,36,.417,.417,4,7,.571,12,21,33,4,3,2,2,16,34
25,Kelenna Azubuike,SG,28,DAL,3,0,18,3,8,.375,1,3,.333,2,5,.400,.438,0,0,0,0,0,0,0,1,0,4,1,7
26,Luke Babbitt,SF,22,POR,40,4,537,71,173,.410,43,100,.430,28,73,.384,.535,17,20,.850,16,79,95,16,10,4,27,46,202
27,Renaldo Balkman,SF,27,NYK,14,0,115,16,32,.500,2,9,.222,14,23,.609,.531,8,11,.727,6,20,26,5,4,3,6,14,42
28,Leandro Barbosa,SG,29,TOT,64,0,1382,271,637,.425,65,170,.382,206,467,.441,.476,101,124,.815,33,95,128,96,56,7,94,135,708
29,Jose Barea,PG,27,MIN,41,11,1032,167,418,.400,53,143,.371,114,275,.415,.463,76,98,.776,14,100,114,232,21,0,103,61,463
30,Andrea Bargnani,C,26,TOR,31,31,1032,209,484,.432,34,115,.296,175,369,.474,.467,151,173,.873,24,148,172,61,18,15,69,52,603
31,Matt Barnes,SF,31,LAL,63,16,1440,175,387,.452,46,138,.333,129,249,.518,.512,95,128,.742,97,247,344,126,35,48,73,152,491
32,Earl Barron,C,30,GSW,2,0,9,2,4,.500,0,0,0,2,4,.500,.500,0,0,0,1,0,1,0,0,0,0,5,4
33,Brandon Bass,PF,26,BOS,59,39,1868,303,632,.479,0,0,0,303,632,.479,.479,132,163,.810,95,270,365,55,34,54,65,135,738
34,Tony Battie,C,35,PHI,27,11,295,19,51,.373,0,1,.000,19,50,.380,.373,4,4,1.000,8,59,67,16,4,6,4,26,42
35,Shane Battier,SF,33,MIA,65,10,1499,113,292,.387,62,183,.339,51,109,.468,.493,23,37,.622,56,100,156,82,64,33,37,105,311
36,Nicolas Batum,SF,23,POR,59,34,1791,289,641,.451,107,274,.391,182,367,.496,.534,133,159,.836,81,190,271,84,57,60,90,105,818
37,Jerryd Bayless,PG,23,TOR,31,11,705,117,276,.424,44,104,.423,73,172,.424,.504,75,88,.852,8,58,66,118,24,4,53,70,353
38,Michael Beasley,SF,23,MIN,47,7,1087,221,497,.445,38,101,.376,183,396,.462,.483,61,95,.642,39,168,207,45,18,19,80,83,541
39,Rodrigue Beaubois,PG,23,DAL,53,12,1151,188,445,.422,38,132,.288,150,313,.479,.465,58,69,.841,19,132,151,152,56,28,70,98,472
40,Marco Belinelli,SG,25,NOH,66,55,1966,286,686,.417,107,284,.377,179,402,.445,.495,101,129,.783,19,153,172,101,48,5,69,115,780
41,Raja Bell,SG,35,UTA,34,33,796,81,174,.466,34,87,.391,47,87,.540,.563,21,25,.840,6,43,49,38,13,2,21,78,217
42,Keith Benson,C,23,GSW,3,0,9,0,1,.000,0,0,0,0,1,.000,.000,0,0,0,2,1,3,0,0,0,0,0,0
43,Mike Bibby,PG,33,NYK,39,4,557,35,124,.282,27,85,.318,8,39,.205,.391,6,8,.750,5,54,59,80,21,3,20,45,103
44,Andris Biedrins,C,25,GSW,47,35,739,39,64,.609,0,0,0,39,64,.609,.609,1,9,.111,45,131,176,16,23,45,14,125,79
45,Chauncey Billups,SG,35,LAC,20,20,607,83,228,.364,48,125,.384,35,103,.340,.469,85,95,.895,4,46,50,80,9,3,38,40,299
46,Bismack Biyombo,C,19,CHA,63,41,1455,129,278,.464,0,0,0,129,278,.464,.464,69,143,.483,113,255,368,27,20,115,71,145,327
47,DeJuan Blair,PF,22,SAS,64,62,1363,269,504,.534,0,1,.000,269,503,.535,.534,73,119,.613,154,197,351,78,59,12,92,168,611
48,Steve Blake,PG,31,LAL,53,5,1237,101,268,.377,53,158,.335,48,110,.436,.476,21,27,.778,9,76,85,175,39,2,72,75,276
49,Andray Blatche,PF,25,WAS,26,13,626,93,245,.380,2,7,.286,91,238,.382,.384,33,49,.673,42,108,150,28,20,17,37,54,221
50,Eric Bledsoe,PG,22,LAC,40,1,464,49,126,.389,6,30,.200,43,96,.448,.413,28,44,.636,22,43,65,66,31,14,47,58,132
51,Keith Bogans,SF,31,NJN,5,1,94,8,21,.381,3,12,.250,5,9,.556,.452,2,5,.400,5,6,11,3,2,0,3,15,21
52,Andrew Bogut,C,27,MIL,12,12,364,61,136,.449,0,1,.000,61,135,.452,.449,14,23,.609,22,78,100,31,12,24,24,36,136
53,Matt Bonner,PF,31,SAS,65,2,1326,154,350,.440,105,250,.420,49,100,.490,.590,16,21,.762,29,185,214,61,15,21,14,68,429
54,Trevor Booker,PF,24,WAS,50,32,1261,181,341,.531,1,2,.500,180,339,.531,.532,56,93,.602,119,206,325,40,48,43,58,138,419
55,Carlos Boozer,PF,30,CHI,66,66,1948,448,842,.532,0,1,.000,448,841,.533,.532,95,137,.693,114,450,564,125,63,24,115,168,991
56,Chris Bosh,PF,27,MIA,57,57,2007,393,807,.487,10,35,.286,383,772,.496,.493,229,279,.821,94,358,452,103,51,45,117,128,1025
57,Earl Boykins,PG,35,HOU,8,0,111,12,36,.333,2,9,.222,10,27,.370,.361,13,15,.867,0,11,11,17,1,0,7,5,39
58,Craig Brackins,PF,24,PHI,14,1,88,9,33,.273,3,9,.333,6,24,.250,.318,1,2,.500,5,10,15,8,0,1,4,6,22
59,Avery Bradley,PG,21,BOS,64,28,1368,200,402,.498,22,54,.407,178,348,.511,.525,62,78,.795,34,81,115,87,43,12,75,109,484
60,Elton Brand,C,32,PHI,60,60,1732,287,581,.494,0,1,.000,287,580,.495,.494,85,116,.733,145,284,429,97,58,97,65,176,659
61,Corey Brewer,SF,25,DEN,59,17,1287,201,463,.434,33,127,.260,168,336,.500,.470,90,130,.692,43,107,150,88,72,17,56,113,525
62,Ronnie Brewer,SG,26,CHI,66,43,1635,190,445,.427,19,69,.275,171,376,.455,.448,56,100,.560,72,159,231,137,72,21,59,64,455
63,Jon Brockman,PF,24,MIL,35,0,239,15,45,.333,0,1,.000,15,44,.341,.333,7,15,.467,33,42,75,9,4,1,10,33,37
64,MarShon Brooks,SG,23,NJN,56,47,1648,274,640,.428,47,150,.313,227,490,.463,.465,113,148,.764,70,130,200,131,52,15,118,116,708
65,Derrick Brown,SF,24,CHA,65,17,1443,212,409,.518,6,24,.250,206,385,.535,.526,94,141,.667,95,141,236,67,48,12,55,96,524
66,Kwame Brown,C,29,GSW,9,3,187,21,40,.525,0,0,0,21,40,.525,.525,15,34,.441,16,41,57,4,8,0,14,21,57
67,Shannon Brown,SG,26,PHO,59,19,1400,251,598,.420,68,188,.362,183,410,.446,.477,80,99,.808,38,119,157,69,44,15,64,66,650
68,Kobe Bryant,SG,33,LAL,58,58,2232,574,1336,.430,87,287,.303,487,1049,.464,.462,381,451,.845,66,247,313,264,69,18,204,105,1616
69,Chase Budinger,SF,23,HOU,58,9,1298,208,471,.442,88,219,.402,120,252,.476,.535,54,70,.771,38,179,217,74,29,7,55,65,558
70,Alec Burks,SG,20,UTA,59,0,939,153,357,.429,15,45,.333,138,312,.442,.450,104,143,.727,57,75,132,55,27,5,51,84,425
71,Caron Butler,SF,31,LAC,63,63,1871,287,705,.407,92,257,.358,195,448,.435,.472,87,107,.813,44,186,230,78,52,9,77,123,753
72,Jimmy Butler,SG,22,CHI,42,0,359,32,79,.405,2,11,.182,30,68,.441,.418,43,56,.768,23,33,56,14,11,5,14,20,109
73,Rasual Butler,SF,32,TOR,34,14,453,41,133,.308,21,77,.273,20,56,.357,.387,7,12,.583,6,60,66,19,7,5,15,39,110
74,Derrick Byars,PF,27,SAS,2,0,37,3,11,.273,0,6,.000,3,5,.600,.273,4,4,1.000,6,5,11,1,2,0,0,2,10
75,Andrew Bynum,C,24,LAL,60,60,2112,444,796,.558,1,5,.200,443,791,.560,.558,234,338,.692,192,517,709,85,27,116,152,104,1123
76,Will Bynum,PG,29,DET,36,0,514,74,194,.381,7,29,.241,67,165,.406,.399,49,64,.766,10,46,56,66,23,3,54,61,204
77,Jose Calderon,PG,30,TOR,53,53,1799,218,477,.457,59,159,.371,159,318,.500,.519,60,68,.882,19,141,160,468,47,3,104,94,555
78,Marcus Camby,C,37,TOT,59,53,1352,128,287,.446,2,5,.400,126,282,.447,.449,29,64,.453,157,373,530,107,50,85,57,126,287
79,Brian Cardinal,SF,34,DAL,44,0,277,14,55,.255,10,49,.204,4,6,.667,.345,5,6,.833,4,30,34,16,8,2,8,38,43
80,DeMarre Carroll,SF-PF,25,TOT,24,9,348,43,105,.410,7,19,.368,36,86,.419,.443,14,16,.875,28,25,53,18,12,1,11,37,107
81,Matt Carroll,SG,31,CHA,53,2,596,52,157,.331,8,43,.186,44,114,.386,.357,30,38,.789,8,50,58,38,16,7,24,52,142
82,Anthony Carter,PG,36,TOR,24,0,209,17,53,.321,5,17,.294,12,36,.333,.368,8,10,.800,5,28,33,34,8,4,17,20,47
83,Vince Carter,SG,35,DAL,61,40,1542,223,542,.411,74,205,.361,149,337,.442,.480,95,115,.826,32,173,205,139,56,25,84,134,615
84,Omri Casspi,SF,23,CLE,65,35,1341,166,412,.403,53,168,.315,113,244,.463,.467,74,108,.685,63,165,228,66,37,21,64,115,459
85,Mario Chalmers,PG,25,MIA,64,64,1825,223,498,.448,101,260,.388,122,238,.513,.549,80,101,.792,16,155,171,222,97,11,142,166,627
86,Tyson Chandler,C,29,NYK,62,62,2061,241,355,.679,0,2,.000,241,353,.683,.679,217,315,.689,212,400,612,56,56,89,102,186,699
87,Wilson Chandler,SF,24,DEN,8,6,215,31,79,.392,3,12,.250,28,67,.418,.411,10,12,.833,6,35,41,17,6,6,18,18,75
88,Josh Childress,SF,28,PHO,34,0,491,48,99,.485,4,24,.167,44,75,.587,.505,0,2,.000,31,64,95,34,14,6,9,38,100
89,Earl Clark,PF,24,ORL,45,1,559,51,139,.367,0,0,0,51,139,.367,.367,21,29,.724,35,89,124,18,12,32,25,72,123
90,Norris Cole,PG,23,MIA,65,2,1260,177,450,.393,21,76,.276,156,374,.417,.417,66,85,.776,21,70,91,133,44,2,105,124,441
91,Jason Collins,C,33,ATL,30,10,308,16,40,.400,0,0,0,16,40,.400,.400,7,15,.467,12,36,48,10,4,3,10,34,39
92,Darren Collison,PG,24,IND,60,56,1878,230,523,.440,34,94,.362,196,429,.457,.472,127,153,.830,30,157,187,287,49,14,114,101,621
93,Nick Collison,PF,31,OKC,63,0,1307,120,201,.597,0,1,.000,120,200,.600,.597,44,62,.710,119,155,274,82,33,28,61,153,284
94,Mike Conley,PG,24,MEM,62,61,2174,296,684,.433,60,159,.377,236,525,.450,.477,136,158,.861,22,134,156,404,136,11,125,133,788
95,Brian Cook,PF,31,TOT,32,0,276,31,98,.316,10,50,.200,21,48,.438,.367,9,10,.900,10,53,63,10,6,5,11,48,81
96,Daequan Cook,SG,24,OKC,57,22,989,109,296,.368,79,228,.346,30,68,.441,.502,14,22,.636,12,110,122,15,22,11,16,69,311
97,DeMarcus Cousins,C,21,SAC,64,62,1950,448,999,.448,2,14,.143,446,985,.453,.449,262,373,.702,265,438,703,102,93,75,170,257,1160
98,Jamal Crawford,PG,31,POR,60,6,1613,283,737,.384,80,260,.308,203,477,.426,.438,191,206,.927,16,102,118,191,55,14,111,74,837
99,Jordan Crawford,SG,23,WAS,64,32,1753,349,872,.400,79,273,.289,270,599,.451,.446,161,203,.793,44,124,168,190,59,5,141,111,938
100,Dante Cunningham,PF,24,MEM,64,5,1124,144,279,.516,0,2,.000,144,277,.520,.516,45,69,.652,91,155,246,37,42,34,29,98,333
101,Eddy Curry,C,29,MIA,14,1,83,12,26,.462,0,0,0,12,26,.462,.462,6,8,.750,4,8,12,1,0,2,10,17,30
102,Stephen Curry,PG,23,GSW,26,23,732,145,296,.490,55,121,.455,90,175,.514,.583,38,47,.809,15,73,88,138,39,8,65,62,383
103,Samuel Dalembert,C,30,HOU,65,45,1446,200,395,.506,0,1,.000,200,394,.508,.506,90,113,.796,158,298,456,33,37,111,82,162,490
104,Erick Dampier,C,36,ATL,15,0,83,1,8,.125,0,0,0,1,8,.125,.125,0,0,0,10,15,25,4,1,4,3,9,2
105,Marquis Daniels,SG,31,BOS,38,0,484,52,143,.364,0,10,.000,52,133,.391,.364,17,23,.739,16,50,66,47,21,9,28,36,121
106,Baron Davis,PG,32,NYK,29,14,595,68,184,.370,26,85,.306,42,99,.424,.440,16,24,.667,13,43,56,135,34,3,76,61,178
107,Ed Davis,PF,22,TOR,66,9,1534,172,335,.513,0,1,.000,172,334,.515,.513,71,106,.670,134,304,438,60,40,63,67,156,415
108,Glen Davis,PF,26,ORL,61,13,1427,225,534,.421,2,14,.143,223,520,.429,.423,114,167,.683,107,224,331,47,43,19,75,106,566
109,Josh Davis,PF,31,MEM,15,0,130,10,27,.370,4,13,.308,6,14,.429,.444,4,8,.500,16,11,27,6,7,1,3,19,28
110,Eric Dawson,C,27,SAS,4,0,39,7,12,.583,0,0,0,7,12,.583,.583,1,2,.500,5,5,10,0,1,2,3,6,15
111,Austin Daye,SF,23,DET,41,4,603,73,227,.322,13,62,.210,60,165,.364,.350,35,43,.814,14,77,91,33,22,21,40,62,194
112,Carlos Delfino,SF,29,MIL,54,53,1537,182,453,.402,86,239,.360,96,214,.449,.497,38,48,.792,20,188,208,123,79,10,66,99,488
113,Luol Deng,SF,26,CHI,54,54,2129,311,755,.412,79,215,.367,232,540,.430,.464,127,165,.770,77,273,350,157,56,36,96,81,828
114,Justin Dentmon,PG,26,TOT,6,0,91,10,28,.357,2,14,.143,8,14,.571,.393,4,6,.667,0,8,8,10,2,0,7,10,26
115,DeMar DeRozan,SG,22,TOR,63,63,2206,381,903,.422,24,92,.261,357,811,.440,.435,268,331,.810,40,171,211,128,48,17,123,162,1054
116,Boris Diaw,PF,29,TOT,57,35,1424,156,351,.444,31,99,.313,125,252,.496,.489,22,35,.629,70,210,280,205,34,25,112,125,365
117,Ike Diogu,PF,28,SAS,2,0,14,0,2,.000,0,0,0,0,2,.000,.000,2,2,1.000,0,1,1,0,0,0,1,1,2
118,DeSagana Diop,C,30,CHA,27,9,325,15,42,.357,0,0,0,15,42,.357,.357,1,6,.167,33,52,85,23,6,13,19,36,31
119,Keyon Dooling,SG,31,BOS,46,2,662,66,163,.405,27,81,.333,39,82,.476,.488,23,31,.742,3,36,39,51,13,2,34,57,182
120,Toney Douglas,PG,25,NYK,38,9,656,94,290,.324,27,117,.231,67,173,.387,.371,22,26,.846,16,56,72,77,29,1,56,55,237
121,Goran Dragic,PG,25,HOU,66,28,1752,277,600,.462,68,202,.337,209,398,.525,.518,153,190,.805,53,115,168,351,85,10,157,166,775
122,Jared Dudley,SG,26,PHO,65,60,2020,312,643,.485,80,209,.383,232,434,.535,.547,119,164,.726,95,206,301,112,49,19,72,107,823
123,Chris Duhon,PG,29,ORL,63,9,1226,85,203,.419,50,119,.420,35,84,.417,.542,17,21,.810,14,88,102,151,35,9,81,71,237
124,Tim Duncan,C,35,SAS,58,58,1634,361,733,.492,0,4,.000,361,729,.495,.492,173,249,.695,110,410,520,132,38,88,97,98,895
125,Mike Dunleavy,SF,31,MIL,55,3,1445,239,504,.474,83,208,.399,156,296,.527,.557,116,143,.811,29,175,204,117,28,8,58,87,677
126,Kevin Durant,SF,23,OKC,66,66,2546,643,1297,.496,133,344,.387,510,953,.535,.547,431,501,.860,40,487,527,231,88,77,248,133,1850
127,Jerome Dyson,PG,24,NOH,9,1,180,19,48,.396,1,8,.125,18,40,.450,.406,28,36,.778,2,17,19,18,11,2,20,19,67
128,Devin Ebanks,SG,22,LAL,24,12,396,37,89,.416,0,9,.000,37,80,.463,.416,23,35,.657,26,28,54,12,11,6,18,26,97
129,Wayne Ellington,SG,24,MIN,51,4,973,122,302,.404,35,108,.324,87,194,.448,.462,32,40,.800,14,85,99,33,26,10,26,56,311
130,Monta Ellis,SG,26,TOT,58,58,2120,450,1040,.433,62,201,.308,388,839,.462,.463,219,275,.796,20,180,200,346,85,18,177,136,1181
131,Francisco Elson,C,35,PHI,5,0,16,1,3,.333,0,0,0,1,3,.333,.333,0,0,0,0,1,1,1,1,1,1,0,2
132,Andre Emmett,SF,29,NJN,6,0,45,4,7,.571,0,1,.000,4,6,.667,.571,5,8,.625,2,4,6,1,2,1,2,2,13
133,Semih Erden,C,25,CLE,28,9,333,39,74,.527,0,0,0,39,74,.527,.527,21,41,.512,20,52,72,9,10,5,16,60,99
134,Jeremy Evans,SF,24,UTA,29,0,217,27,42,.643,0,1,.000,27,41,.659,.643,8,16,.500,19,31,50,13,6,24,5,23,62
135,Maurice Evans,SF,33,WAS,24,0,343,45,112,.402,17,45,.378,28,67,.418,.478,10,13,.769,8,16,24,9,14,0,10,36,117
136,Reggie Evans,PF,31,LAC,56,0,771,34,72,.472,0,0,0,34,72,.472,.472,36,71,.507,100,171,271,17,31,6,44,118,104
137,Tyreke Evans,SG,22,SAC,63,61,2162,408,900,.453,20,99,.202,388,801,.484,.464,201,258,.779,64,225,289,283,84,29,171,136,1037
138,Christian Eyenga,SF,22,TOT,7,0,102,6,25,.240,1,3,.333,5,22,.227,.260,4,8,.500,4,10,14,5,3,5,3,7,17
139,Kenneth Faried,PF,22,DEN,46,39,1037,181,309,.586,0,0,0,181,309,.586,.586,109,164,.665,142,210,352,36,34,47,54,116,471
140,Jordan Farmar,PG,25,NJN,39,5,831,147,315,.467,55,125,.440,92,190,.484,.554,57,63,.905,7,54,61,129,24,2,68,49,406
141,Derrick Favors,PF,20,UTA,65,9,1376,222,445,.499,0,0,0,222,445,.499,.499,126,194,.649,158,267,425,43,38,65,103,145,570
142,Raymond Felton,PG,27,POR,60,56,1906,261,642,.407,62,203,.305,199,439,.453,.455,100,124,.806,27,122,149,390,78,10,170,122,684
143,Rudy Fernandez,SG,26,DEN,31,1,710,99,225,.440,40,122,.328,59,103,.573,.529,30,43,.698,9,56,65,75,31,3,40,37,268
144,Kyrylo Fesenko,C,25,IND,3,0,17,2,5,.400,0,0,0,2,5,.400,.400,4,6,.667,2,7,9,1,2,0,0,2,8
145,Landry Fields,SG,23,NYK,66,62,1894,236,513,.460,31,121,.256,205,392,.523,.490,77,137,.562,59,219,278,169,79,17,102,99,580
146,Derek Fisher,PG,37,TOT,63,43,1508,129,348,.371,35,109,.321,94,239,.393,.421,57,67,.851,12,109,121,170,51,4,73,117,350
147,Jonny Flynn,PG,22,TOT,29,1,416,46,131,.351,10,34,.294,36,97,.371,.389,29,39,.744,8,31,39,96,6,2,36,23,131
148,Jeff Foote,C,24,NOH,4,0,39,2,6,.333,0,0,0,2,6,.333,.333,0,0,0,1,5,6,0,0,1,2,5,4
149,Gary Forbes,SG,26,TOR,48,2,713,112,271,.413,29,83,.349,83,188,.441,.467,66,91,.725,27,75,102,54,24,4,54,56,319
150,T.J. Ford,PG,28,SAS,14,0,191,19,43,.442,2,8,.250,17,35,.486,.465,11,14,.786,3,15,18,45,9,2,23,23,51
151,Courtney Fortson,PG,23,TOT,10,0,95,11,32,.344,3,13,.231,8,19,.421,.391,10,15,.667,6,9,15,10,3,0,10,5,35
152,Jeff Foster,C,35,IND,11,0,141,9,18,.500,1,1,1.000,8,17,.471,.528,6,9,.667,18,24,42,4,8,1,7,26,25
153,Randy Foye,SG,28,LAC,65,48,1682,256,644,.398,127,329,.386,129,315,.410,.496,73,85,.859,25,113,138,146,46,24,73,130,712
154,Jimmer Fredette,PG,22,SAC,61,7,1135,172,446,.386,78,216,.361,94,230,.409,.473,40,48,.833,17,56,73,108,30,3,67,73,462
155,Channing Frye,PF,28,PHO,64,59,1669,255,613,.416,91,263,.346,164,350,.469,.490,73,82,.890,71,308,379,88,42,70,63,176,674
156,Dan Gadzuric,C,33,NYK,2,0,13,0,2,.000,0,0,0,0,2,.000,.000,0,2,.000,1,4,5,0,1,1,1,4,0
157,Sundiata Gaines,SG,25,NJN,57,12,793,102,271,.376,28,82,.341,74,189,.392,.428,59,96,.615,27,81,108,126,55,2,52,58,291
158,Danilo Gallinari,SF,23,DEN,43,40,1351,193,466,.414,60,183,.328,133,283,.470,.479,182,209,.871,28,174,202,116,42,23,68,86,628
159,Francisco Garcia,SF,30,SAC,49,3,798,86,229,.376,38,131,.290,48,98,.490,.459,24,30,.800,11,88,99,31,36,37,22,73,234
160,Kevin Garnett,C,35,BOS,60,60,1864,391,777,.503,3,9,.333,388,768,.505,.505,162,189,.857,66,428,494,175,56,61,107,141,947
161,Marc Gasol,C,27,MEM,65,65,2370,357,740,.482,1,12,.083,356,728,.489,.483,237,317,.748,120,459,579,204,62,121,121,201,952
162,Pau Gasol,PF,31,LAL,65,65,2430,459,917,.501,7,27,.259,452,890,.508,.504,204,261,.782,183,495,678,237,37,88,142,127,1129
163,Rudy Gay,SF,25,MEM,65,65,2422,485,1067,.455,54,173,.312,431,894,.482,.480,208,263,.791,130,287,417,147,95,55,161,138,1232
164,Alonzo Gee,SG,24,CLE,63,31,1827,227,551,.412,44,137,.321,183,414,.442,.452,167,212,.788,101,221,322,113,83,17,114,149,665
165,Paul George,SG,21,IND,66,66,1958,281,639,.440,90,234,.385,191,405,.472,.510,146,182,.802,56,314,370,158,108,38,117,191,798
166,Daniel Gibson,SG,25,CLE,35,7,916,87,248,.351,55,139,.396,32,109,.294,.462,34,43,.791,11,90,101,76,26,16,45,69,263
167,Taj Gibson,PF,26,CHI,63,0,1284,200,404,.495,0,0,0,200,404,.495,.495,84,135,.622,135,197,332,47,27,81,60,131,484
168,Manu Ginobili,SG,34,SAS,34,7,792,150,285,.526,52,126,.413,98,159,.616,.618,88,101,.871,18,98,116,151,24,12,64,56,440
169,Mickell Gladness,PF,25,TOT,26,7,252,25,59,.424,0,0,0,25,59,.424,.424,6,12,.500,14,44,58,5,4,20,7,32,56
170,Ryan Gomes,SF,29,LAC,32,2,425,31,95,.326,4,29,.138,27,66,.409,.347,8,11,.727,14,47,61,12,16,0,15,34,74
171,Drew Gooden,C,30,MIL,56,46,1469,287,657,.437,16,55,.291,271,602,.450,.449,176,208,.846,130,233,363,144,46,34,109,112,766
172,Ben Gordon,SG,28,DET,52,21,1398,234,530,.442,63,147,.429,171,383,.446,.501,117,136,.860,14,107,121,127,34,11,115,114,648
173,Eric Gordon,PG,23,NOH,9,9,310,63,140,.450,10,40,.250,53,100,.530,.486,49,65,.754,2,23,25,31,13,4,24,20,185
174,Marcin Gortat,C,27,PHO,66,66,2114,427,769,.555,0,2,.000,427,767,.557,.555,163,251,.649,185,474,659,59,48,99,90,142,1017
175,Andrew Goudelock,SG,23,LAL,40,0,419,68,174,.391,28,75,.373,40,99,.404,.471,11,12,.917,5,26,31,20,4,0,21,32,175
176,Danny Granger,SF,28,IND,62,62,2062,391,941,.416,123,323,.381,268,618,.434,.481,254,291,.873,79,228,307,109,62,40,110,144,1159
177,Aaron Gray,C,27,TOR,49,40,813,83,161,.516,0,0,0,83,161,.516,.516,25,47,.532,83,198,281,27,22,17,51,127,191
178,Danny Green,SG,24,SAS,66,38,1522,211,477,.442,102,234,.436,109,243,.449,.549,79,100,.790,54,174,228,86,58,46,67,107,603
179,Gerald Green,SF,26,NJN,31,2,781,154,320,.481,43,110,.391,111,210,.529,.548,49,65,.754,15,93,108,34,28,17,55,80,400
180,Willie Green,SG,30,ATL,53,2,922,153,325,.471,50,113,.442,103,212,.486,.548,48,56,.857,15,65,80,40,23,6,33,74,404
181,Donte Greene,PF,23,SAC,53,7,777,108,266,.406,25,105,.238,83,161,.516,.453,44,55,.800,19,114,133,34,18,29,32,67,285
182,Blake Griffin,PF,22,LAC,66,66,2392,561,1022,.549,2,16,.125,559,1006,.556,.550,244,468,.521,218,499,717,210,54,48,150,216,1368
183,Hamed Haddadi,C,26,MEM,35,0,206,26,48,.542,0,1,.000,26,47,.553,.542,18,26,.692,28,43,71,8,1,26,21,43,70
184,Jordan Hamilton,SF,21,DEN,26,2,258,48,111,.432,17,47,.362,31,64,.484,.509,2,5,.400,11,51,62,20,4,3,16,15,115
