Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jeff Adrien,PF,25,HOU,8,0,63,7,16,.438,0,0,0,7,16,.438,.438,7,12,.583,5,17,22,1,0,2,2,13,21
2,Arron Afflalo,SG,26,DEN,62,62,2086,329,699,.471,88,221,.398,241,478,.504,.534,197,247,.798,40,157,197,149,36,13,85,134,943
3,Blake Ahearn,PG,27,UTA,4,0,30,4,14,.286,2,9,.222,2,5,.400,.357,0,0,0,0,2,2,1,0,0,5,4,10
4,Solomon Alabi,C,23,TOR,14,0,122,13,36,.361,0,0,0,13,36,.361,.361,7,8,.875,15,32,47,3,2,9,5,11,33
5,Cole Aldrich,C,23,OKC,26,0,173,22,42,.524,0,0,0,22,42,.524,.524,13,14,.929,13,35,48,3,8,16,9,22,57
6,LaMarcus Aldridge,PF,26,POR,55,55,1994,483,943,.512,2,11,.182,481,932,.516,.513,223,274,.814,150,292,442,134,51,45,111,153,1191
7,Lavoy Allen,PF,22,PHI,41,15,624,79,167,.473,0,0,0,79,167,.473,.473,11,14,.786,47,124,171,34,13,18,20,73,169
8,Ray Allen,SG,36,BOS,46,42,1565,226,493,.458,106,234,.453,120,259,.463,.566,97,106,.915,14,128,142,109,49,8,68,83,655
9,Tony Allen,SG,30,MEM,58,57,1525,210,448,.469,8,26,.308,202,422,.479,.478,140,175,.800,98,135,233,79,104,33,94,142,568
10,Morris Almond,SG,26,WAS,4,0,67,6,17,.353,1,3,.333,5,14,.357,.382,1,3,.333,1,7,8,2,7,0,1,6,14
11,Al-Farouq Aminu,SF,21,NOH,66,21,1477,150,365,.411,13,47,.277,137,318,.431,.429,86,114,.754,95,213,308,66,59,34,91,136,399
12,Louis Amundson,PF,29,IND,60,0,753,89,207,.430,0,0,0,89,207,.430,.430,35,82,.427,94,128,222,14,27,44,45,125,213
13,Chris Andersen,C,33,DEN,32,1,486,59,108,.546,0,0,0,59,108,.546,.546,50,82,.610,48,100,148,6,19,46,17,52,168
14,Alan Anderson,SF,29,TOR,17,12,461,55,142,.387,24,61,.393,31,81,.383,.472,29,34,.853,8,26,34,26,5,3,25,35,163
15,James Anderson,SG,22,SAS,51,2,603,66,174,.379,19,68,.279,47,106,.443,.434,39,52,.750,16,63,79,41,8,2,30,35,190
16,Ryan Anderson,PF,23,ORL,61,61,1964,332,757,.439,166,422,.393,166,335,.496,.548,150,171,.877,224,247,471,54,50,26,57,146,980
17,Carmelo Anthony,SF,27,NYK,55,55,1876,441,1025,.430,68,203,.335,373,822,.454,.463,295,367,.804,88,256,344,200,62,24,144,156,1245
18,Joel Anthony,C,29,MIA,64,51,1349,85,152,.559,0,0,0,85,152,.559,.559,49,71,.690,100,150,250,9,36,84,45,126,219
19,Gilbert Arenas,PG,30,MEM,17,0,211,26,64,.406,13,39,.333,13,25,.520,.508,7,10,.700,2,16,18,18,11,1,12,35,72
