
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Mahmoud Abdul-Rauf,PG,26,DEN,57,53,2029,414,955,.434,121,309,.392,293,646,.454,.497,146,157,.930,26,112,138,389,64,3,115,117,1095
2,Michael Adams,PG,33,CHH,21,3,329,37,83,.446,14,41,.341,23,42,.548,.530,26,35,.743,5,17,22,67,21,4,25,25,114
3,Rafael Addison,SF,31,CHH,53,0,516,77,165,.467,0,9,.000,77,156,.494,.467,17,22,.773,25,65,90,30,9,9,27,74,171
4,Cory Alexander,PG,22,SAS,60,0,560,63,155,.406,26,66,.394,37,89,.416,.490,16,25,.640,9,33,42,121,27,2,68,94,168
5,Jerome Allen,SG,23,MIN,41,0,362,36,105,.343,10,33,.303,26,72,.361,.390,26,36,.722,5,20,25,49,21,5,34,42,108
6,Derrick Alston,C,23,PHI,73,41,1614,198,387,.512,1,3,.333,197,384,.513,.513,55,112,.491,127,175,302,61,56,52,59,191,452
7,John Amaechi,PF,25,CLE,28,3,357,29,70,.414,0,0,,29,70,.414,.414,19,33,.576,13,39,52,9,6,11,34,49,77
8,Ashraf Amaya,PF,24,VAN,54,34,1104,121,252,.480,0,1,.000,121,251,.482,.480,97,149,.651,114,189,303,33,22,10,57,151,339
9,Greg Anderson,PF,31,SAS,46,7,344,24,47,.511,0,1,.000,24,46,.522,.511,6,25,.240,29,71,100,10,9,24,22,66,54
10,Kenny Anderson,PG,25,TOT,69,64,2344,349,834,.418,92,256,.359,257,578,.445,.474,260,338,.769,63,140,203,575,111,14,146,178,1050
11,Nick Anderson,SG,28,ORL,77,77,2717,400,904,.442,168,430,.391,232,474,.489,.535,166,240,.692,92,323,415,279,121,46,141,135,1134
12,Willie Anderson,SG,29,TOT,76,44,2060,288,660,.436,34,120,.283,254,540,.470,.462,132,163,.810,48,198,246,197,75,59,143,230,742
13,Greg Anthony,PG,28,VAN,69,68,2096,324,781,.415,90,271,.332,234,510,.459,.472,229,297,.771,29,145,174,476,116,11,160,137,967
14,B.J. Armstrong,PG,28,GSW,82,64,2262,340,727,.468,98,207,.473,242,520,.465,.535,234,279,.839,22,162,184,401,68,6,128,147,1012
