Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jeff Adrien,PF,24,GSW,23,0,196,23,54,.426,0,0,0,23,54,.426,.426,11,19,.579,23,35,58,10,4,5,9,28,57
2,Arron Afflalo,SG,25,DEN,69,69,2324,312,627,.498,105,248,.423,207,379,.546,.581,138,163,.847,45,206,251,168,34,31,71,153,867
3,Maurice Ager,SG,26,MIN,4,0,29,6,11,.545,3,4,.750,3,7,.429,.682,0,0,0,0,2,2,1,1,0,4,4,15
4,Alexis Ajinca,C,22,TOT,34,2,340,59,133,.444,12,34,.353,47,99,.475,.489,13,18,.722,17,61,78,10,11,19,18,73,143
5,Solomon Alabi,C,22,TOR,12,0,59,3,15,.200,0,0,0,3,15,.200,.200,0,2,.000,7,7,14,2,2,2,3,5,6
6,Cole Aldrich,C,22,OKC,18,0,142,8,15,.533,0,0,0,8,15,.533,.533,2,4,.500,13,22,35,4,5,7,8,30,18
7,LaMarcus Aldridge,PF,25,POR,81,81,3211,707,1415,.500,4,23,.174,703,1392,.505,.501,351,444,.791,278,431,709,170,82,94,153,220,1769
8,Malik Allen,PF,32,ORL,18,0,178,11,31,.355,0,0,0,11,31,.355,.355,1,2,.500,12,20,32,4,1,4,3,30,23
9,Ray Allen,SG,35,BOS,80,80,2890,480,978,.491,168,378,.444,312,600,.520,.577,193,219,.881,51,223,274,219,77,16,117,147,1321
10,Tony Allen,SG,29,MEM,72,31,1494,251,492,.510,4,23,.174,247,469,.527,.514,137,182,.753,70,123,193,104,129,44,86,161,643
11,Al-Farouq Aminu,SF,20,LAC,81,14,1452,160,406,.394,45,143,.315,115,263,.437,.450,92,119,.773,75,192,267,60,59,25,103,121,457
12,Louis Amundson,PF,28,GSW,46,7,691,83,183,.454,0,0,0,83,183,.454,.454,34,87,.391,81,104,185,17,14,33,24,87,200
13,Chris Andersen,C,32,DEN,45,0,732,82,137,.599,0,1,.000,82,136,.603,.599,86,135,.637,75,144,219,20,23,58,25,79,250
14,David Andersen,PF,30,TOT,40,0,373,56,121,.463,8,23,.348,48,98,.490,.496,14,22,.636,20,64,84,13,5,9,22,40,134
15,James Anderson,SF,21,SAS,26,2,286,31,81,.383,18,46,.391,13,35,.371,.494,14,18,.778,2,21,23,18,3,6,13,24,94
16,Ryan Anderson,PF,22,ORL,64,14,1424,226,525,.430,134,341,.393,92,184,.500,.558,95,117,.812,129,226,355,52,30,38,49,137,681
17,Carmelo Anthony,SF,26,TOT,77,77,2751,684,1503,.455,95,251,.378,589,1252,.470,.487,507,605,.838,118,445,563,221,68,46,206,224,1970
18,Joel Anthony,C,28,MIA,75,11,1463,53,99,.535,0,0,0,53,99,.535,.535,47,73,.644,104,162,266,24,10,93,36,194,153
19,Gilbert Arenas,PG,29,TOT,70,16,1796,269,734,.366,97,327,.297,172,407,.423,.433,120,153,.784,22,167,189,274,74,21,177,188,755
20,Trevor Ariza,SF,25,NOH,75,75,2600,303,762,.398,82,271,.303,221,491,.450,.451,138,197,.701,61,347,408,162,120,31,118,180,826
21,Hilton Armstrong,C,26,TOT,53,2,488,37,76,.487,2,4,.500,35,72,.486,.500,16,33,.485,42,89,131,14,18,21,28,84,92
22,Carlos Arroyo,PG,31,TOT,64,43,1185,120,273,.440,31,69,.449,89,204,.436,.496,39,47,.830,20,83,103,125,21,1,60,71,310
23,Darrell Arthur,PF,22,MEM,80,9,1609,310,624,.497,0,6,.000,310,618,.502,.497,109,134,.813,115,227,342,53,52,63,88,228,729
24,Omer Asik,C,24,CHI,82,0,989,78,141,.553,0,0,0,78,141,.553,.553,73,145,.503,112,194,306,32,20,56,64,153,229
