
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Mark Acres,C,27,ORL,80,50,1691,138,285,.484,3,4,.750,135,281,.480,.489,83,120,.692,154,277,431,67,36,25,70,248,362
2,Michael Adams,PG,27,DEN,79,74,2690,398,989,.402,158,432,.366,240,557,.431,.482,267,314,.850,49,176,225,495,121,3,141,133,1221
3,Mark Aguirre,SF,30,DET,78,40,2005,438,898,.488,31,93,.333,407,805,.506,.505,192,254,.756,117,188,305,145,34,19,121,201,1099
4,Danny Ainge,PG,30,SAC,75,68,2727,506,1154,.438,108,289,.374,398,865,.460,.485,222,267,.831,69,257,326,453,113,18,185,238,1342
5,Mark Alarie,PF,26,WSB,82,10,1893,371,785,.473,10,49,.204,361,736,.490,.479,108,133,.812,151,223,374,142,60,39,101,219,860
6,Steve Alford,PG,25,DAL,41,0,302,63,138,.457,7,22,.318,56,116,.483,.482,35,37,.946,2,23,25,39,15,3,16,22,168
7,Randy Allen,SG,25,SAC,63,6,746,106,239,.444,0,7,.000,106,232,.457,.444,23,43,.535,49,89,138,23,16,19,28,102,235
8,Greg Anderson,PF,25,MIL,60,28,1291,219,432,.507,0,0,,219,432,.507,.507,91,170,.535,112,261,373,24,32,54,80,176,529
9,Nick Anderson,SG,22,ORL,81,9,1785,372,753,.494,1,17,.059,371,736,.504,.495,186,264,.705,107,209,316,124,69,34,138,140,931
10,Richard Anderson,PF,29,CHH,54,2,604,88,211,.417,37,100,.370,51,111,.459,.505,18,23,.783,33,94,127,55,20,9,26,64,231
11,Ron Anderson,SF,31,PHI,78,3,2089,379,841,.451,3,21,.143,376,820,.459,.452,165,197,.838,81,214,295,143,72,13,78,143,926
12,Willie Anderson,SG,23,SAS,82,81,2788,532,1082,.492,7,26,.269,525,1056,.497,.495,217,290,.748,115,257,372,364,111,58,198,252,1288
13,Michael Ansley,SF,22,ORL,72,5,1221,231,465,.497,0,0,,231,465,.497,.497,164,227,.722,187,175,362,40,24,17,50,152,626
14,B.J. Armstrong,PG,22,CHI,81,0,1291,190,392,.485,3,6,.500,187,386,.484,.489,69,78,.885,19,83,102,199,46,6,83,105,452
15,John Bagley,PG,29,BOS,54,17,1095,100,218,.459,1,18,.056,99,200,.495,.461,29,39,.744,26,63,89,296,40,4,90,77,230
16,Thurl Bailey,SF,28,UTA,82,33,2583,470,977,.481,0,8,.000,470,969,.485,.481,222,285,.779,116,294,410,137,32,100,139,175,1162
17,Ken Bannister,PF,29,LAC,52,1,589,77,161,.478,0,1,.000,77,160,.481,.478,52,110,.473,39,73,112,18,17,7,44,92,206
18,Charles Barkley*,PF,26,PHI,79,79,3085,706,1177,.600,20,92,.217,686,1085,.632,.608,557,744,.749,361,548,909,307,148,50,243,250,1989
19,Dana Barros,PG,22,SEA,81,25,1630,299,738,.405,95,238,.399,204,500,.408,.470,89,110,.809,35,97,132,205,53,1,123,97,782
20,John Battle,SG,27,ATL,60,48,1477,275,544,.506,2,13,.154,273,531,.514,.507,102,135,.756,27,72,99,154,28,3,89,115,654
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,Kenny Battle,SG,25,PHO,59,8,729,93,170,.547,1,4,.250,92,166,.554,.550,55,82,.671,44,80,124,38,35,11,32,94,242
22,William Bedford,C,26,DET,42,0,246,54,125,.432,1,6,.167,53,119,.445,.436,9,22,.409,15,43,58,4,3,17,21,39,118
23,Benoit Benjamin,C,25,LAC,71,58,2313,362,688,.526,0,1,.000,362,687,.527,.526,235,321,.732,156,501,657,159,59,187,187,217,959
24,Winston Bennett,SF,24,CLE,55,34,990,137,286,.479,0,0,,137,286,.479,.479,64,96,.667,84,104,188,54,23,10,62,133,338
25,Larry Bird*,SF,33,BOS,75,75,2944,718,1517,.473,65,195,.333,653,1322,.494,.495,319,343,.930,90,622,712,562,106,61,243,173,1820
26,Uwe Blab,C,27,TOT,47,33,531,39,98,.398,0,0,,39,98,.398,.398,20,37,.541,29,79,108,25,1,22,35,102,98
27,Rolando Blackman,SG,30,DAL,80,80,2934,626,1256,.498,13,43,.302,613,1213,.505,.504,287,340,.844,88,192,280,289,77,21,174,128,1552
28,Mookie Blaylock,PG,22,NJN,50,17,1267,212,571,.371,18,80,.225,194,491,.395,.387,63,81,.778,42,98,140,210,82,14,111,110,505
29,Muggsy Bogues,PG,25,CHH,81,65,2743,326,664,.491,5,26,.192,321,638,.503,.495,106,134,.791,48,159,207,867,166,3,146,168,763
30,Manute Bol,C,27,GSW,75,20,1310,56,169,.331,9,48,.188,47,121,.388,.358,25,49,.510,33,243,276,36,13,238,51,194,146
31,Anthony Bowie,SG,26,HOU,66,0,918,119,293,.406,6,21,.286,113,272,.415,.416,40,54,.741,36,82,118,96,42,5,59,80,284
32,Sam Bowie,C,28,NJN,68,54,2207,347,834,.416,10,31,.323,337,803,.420,.422,294,379,.776,206,484,690,91,38,121,125,211,998
33,Adrian Branch,SF,26,MIN,11,0,91,25,61,.410,1,1,1.000,24,60,.400,.418,14,22,.636,8,12,20,4,6,0,8,14,65
34,Randy Breuer,C,29,TOT,81,55,1879,298,696,.428,0,1,.000,298,695,.429,.428,126,193,.653,154,263,417,97,42,108,96,196,722
35,Frank Brickowski,C,30,SAS,78,12,1438,211,387,.545,0,2,.000,211,385,.548,.545,95,141,.674,89,238,327,105,66,37,93,226,517
36,Scott Brooks,PG,24,PHI,72,1,975,119,276,.431,31,79,.392,88,197,.447,.487,50,57,.877,15,49,64,207,47,0,38,105,319
37,Chucky Brown,SF,21,CLE,75,35,1339,210,447,.470,0,7,.000,210,440,.477,.470,125,164,.762,83,148,231,50,33,26,69,148,545
38,Mike Brown,C,26,UTA,82,0,1397,177,344,.515,1,2,.500,176,342,.515,.516,157,199,.789,111,262,373,47,32,28,88,187,512
39,Raymond Brown,PF,24,UTA,16,0,56,8,28,.286,0,0,,8,28,.286,.286,0,2,.000,10,5,15,4,0,0,6,11,16
40,Tony Brown,SF,29,MIL,61,10,635,88,206,.427,5,20,.250,83,186,.446,.439,38,56,.679,39,33,72,41,32,4,51,79,219
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
41,Stanley Brundy,SF,22,NJN,16,0,128,15,30,.500,0,0,,15,30,.500,.500,7,18,.389,15,11,26,3,6,5,6,24,37
42,Mark Bryant,PF,24,POR,58,0,562,70,153,.458,0,0,,70,153,.458,.458,28,50,.560,54,92,146,13,18,9,25,93,168
43,Torgeir Bryn,C,25,LAC,3,0,10,0,2,.000,0,0,,0,2,.000,.000,4,6,.667,0,2,2,0,2,1,1,5,4
44,Steve Bucknall,SG,23,LAL,18,0,75,9,33,.273,0,1,.000,9,32,.281,.273,5,6,.833,5,2,7,10,2,1,11,10,23
45,Greg Butler,C,23,NYK,13,0,33,3,12,.250,0,0,,3,12,.250,.250,0,2,.000,3,6,9,1,0,0,3,8,6
46,Michael Cage,C,28,SEA,82,82,2595,325,645,.504,0,0,,325,645,.504,.504,148,212,.698,306,515,821,70,79,45,94,232,798
47,Adrian Caldwell,PF,23,HOU,51,0,331,42,76,.553,0,0,,42,76,.553,.553,13,28,.464,36,73,109,7,11,18,32,69,97
48,Tony Campbell,SG,27,MIN,82,81,3164,723,1581,.457,9,54,.167,714,1527,.468,.460,448,569,.787,209,242,451,213,111,31,251,260,1903
49,Rick Carlisle,SG,30,NJN,5,0,21,1,7,.143,0,3,.000,1,4,.250,.143,0,0,,0,0,0,5,1,1,4,7,2
50,Antoine Carr,PF,28,TOT,77,4,1727,356,721,.494,0,7,.000,356,714,.499,.494,237,298,.795,115,207,322,119,30,68,125,247,949
51,Joe Barry Carroll,C,31,TOT,76,47,1721,312,759,.411,0,2,.000,312,757,.412,.411,137,177,.774,133,310,443,97,47,115,142,192,761
52,Bill Cartwright,C,32,CHI,71,71,2160,292,598,.488,0,0,,292,598,.488,.488,227,280,.811,137,328,465,145,38,34,123,243,811
53,Terry Catledge,PF,26,ORL,74,72,2462,546,1152,.474,2,8,.250,544,1144,.476,.475,341,486,.702,271,292,563,72,36,17,181,201,1435
54,Tom Chambers,PF,30,PHO,81,81,3046,810,1617,.501,24,86,.279,786,1531,.513,.508,557,647,.861,121,450,571,190,88,47,218,260,2201
55,Rex Chapman,SG,22,CHH,54,52,1762,377,924,.408,47,142,.331,330,782,.422,.433,144,192,.750,52,127,179,132,46,6,100,113,945
56,Maurice Cheeks,PG,33,TOT,81,62,2519,307,609,.504,4,16,.250,303,593,.511,.507,171,202,.847,50,190,240,453,124,10,121,78,789
57,Derrick Chievous,SF,22,TOT,55,0,591,105,220,.477,3,9,.333,102,211,.483,.484,80,111,.721,35,55,90,31,26,5,45,70,293
58,Ben Coleman,PF,28,MIL,22,0,305,46,97,.474,0,1,.000,46,96,.479,.474,34,41,.829,31,56,87,12,7,7,26,54,126
59,Steve Colter,PG,27,WSB,73,1,977,142,297,.478,0,5,.000,142,292,.486,.478,77,95,.811,55,121,176,148,47,10,38,98,361
60,Lester Conner,PG,30,NJN,82,61,2355,237,573,.414,2,13,.154,235,560,.420,.415,172,214,.804,90,175,265,385,172,8,138,182,648
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
