
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Mahmoud Abdul-Rauf,PG,27,SAC,75,51,2131,411,924,.445,94,246,.382,317,678,.468,.496,115,136,.846,16,106,122,189,56,6,119,174,1031
2,Shareef Abdur-Rahim,PF,20,VAN,80,71,2802,550,1214,.453,7,27,.259,543,1187,.457,.456,387,519,.746,216,339,555,175,79,79,225,199,1494
3,Rafael Addison,SF,32,CHH,41,3,355,49,122,.402,8,20,.400,41,102,.402,.434,22,28,.786,19,26,45,34,8,3,17,52,128
4,Cory Alexander,PG,23,SAS,80,6,1454,194,490,.396,94,252,.373,100,238,.420,.492,95,129,.736,29,94,123,254,82,16,146,148,577
5,Jerome Allen,SG,24,TOT,76,1,943,78,221,.353,30,93,.323,48,128,.375,.421,42,72,.583,25,73,98,152,31,4,69,84,228
6,Ray Allen,SG,21,MIL,82,81,2532,390,908,.430,117,298,.393,273,610,.448,.494,205,249,.823,97,229,326,210,75,10,149,218,1102
7,Derrick Alston,C,24,ATL,2,0,11,0,5,.000,0,0,,0,5,.000,.000,0,2,.000,3,1,4,0,0,0,0,0,0
8,Ashraf Amaya,PF,25,WSB,31,0,144,12,40,.300,1,1,1.000,11,39,.282,.313,15,28,.536,19,33,52,3,7,3,10,29,40
9,Greg Anderson,C,32,SAS,82,48,1659,130,262,.496,0,1,.000,130,261,.498,.496,62,93,.667,157,291,448,34,63,67,73,225,322
10,Kenny Anderson,PG,26,POR,82,81,3081,485,1137,.427,132,366,.361,353,771,.458,.485,334,435,.768,91,272,363,584,162,15,193,222,1436
11,Nick Anderson,SG,29,ORL,63,61,2163,288,725,.397,143,405,.353,145,320,.453,.496,38,94,.404,66,238,304,182,120,32,86,160,757
12,Shandon Anderson,SG,23,UTA,65,0,1066,147,318,.462,24,47,.511,123,271,.454,.500,68,99,.687,52,127,179,49,27,8,73,113,386
13,Willie Anderson,SG,30,MIA,28,1,303,29,64,.453,8,19,.421,21,45,.467,.516,17,20,.850,15,27,42,34,14,4,19,36,83
14,Greg Anthony,PG,29,VAN,65,44,1863,199,507,.393,88,238,.370,111,269,.413,.479,130,178,.730,25,159,184,407,129,4,129,122,616
15,B.J. Armstrong,PG,29,GSW,49,17,1020,148,327,.453,25,90,.278,123,237,.519,.491,68,79,.861,7,67,74,126,25,2,53,56,389
16,Darrell Armstrong,PG,28,ORL,67,0,1010,132,345,.383,55,181,.304,77,164,.470,.462,92,106,.868,35,41,76,175,61,9,99,114,411
17,Vincent Askew,SG,30,TOT,43,0,838,81,186,.435,7,24,.292,74,162,.457,.454,70,88,.795,25,73,98,90,17,6,46,123,239
18,Keith Askins,SF,29,MIA,78,30,1773,138,319,.433,69,172,.401,69,147,.469,.541,39,58,.672,86,185,271,75,53,19,59,196,384
19,Stacey Augmon,SG,28,TOT,60,10,942,105,220,.477,0,0,,105,220,.477,.477,69,97,.711,47,91,138,56,42,17,64,87,279
20,Isaac Austin,C,27,MIA,82,17,1881,321,639,.502,0,3,.000,321,636,.505,.502,150,226,.664,136,342,478,101,45,43,161,244,792
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,Vin Baker,PF,25,MIL,78,78,3159,632,1251,.505,15,54,.278,617,1197,.515,.511,358,521,.687,267,537,804,211,81,112,245,275,1637
22,Charles Barkley*,PF,33,HOU,53,53,2009,335,692,.484,58,205,.283,277,487,.569,.526,288,415,.694,212,504,716,248,69,25,151,153,1016
23,Dana Barros,PG,29,BOS,24,8,708,110,253,.435,43,105,.410,67,148,.453,.520,37,43,.860,5,43,48,81,26,6,39,34,300
24,Brent Barry,SG,25,LAC,59,0,1094,155,379,.409,56,173,.324,99,206,.481,.483,76,93,.817,30,80,110,154,51,15,76,88,442
25,Jon Barry,SG,27,ATL,58,8,965,100,246,.407,48,124,.387,52,122,.426,.504,37,46,.804,26,73,99,115,55,3,59,56,285
26,Benoit Benjamin,C,32,TOR,4,3,44,5,12,.417,0,0,,5,12,.417,.417,3,4,.750,3,6,9,1,1,0,2,5,13
27,Elmer Bennett,PG,26,TOT,9,0,75,6,19,.316,3,9,.333,3,10,.300,.395,7,10,.700,0,4,4,11,4,0,10,7,22
28,Travis Best,PG,24,IND,76,46,2064,274,620,.442,57,155,.368,217,465,.467,.488,149,197,.756,36,130,166,318,98,5,153,221,754
29,Mookie Blaylock,PG,29,ATL,78,78,3056,501,1159,.432,221,604,.366,280,555,.505,.528,131,174,.753,114,299,413,463,212,20,185,141,1354
30,Corie Blount,PF,28,LAL,58,18,1009,92,179,.514,1,3,.333,91,176,.517,.517,56,83,.675,113,163,276,35,22,26,50,121,241
31,Muggsy Bogues,PG,32,CHH,65,65,1880,204,443,.460,60,144,.417,144,299,.482,.528,54,64,.844,25,116,141,469,82,2,108,114,522
32,Dexter Boney,SG,26,PHO,8,0,48,6,19,.316,1,6,.167,5,13,.385,.342,6,8,.750,3,3,6,0,2,1,1,3,19
33,Melvin Booker,PG,24,TOT,21,4,430,46,105,.438,12,37,.324,34,68,.500,.495,18,20,.900,7,22,29,53,3,2,27,28,122
34,Bruce Bowen,SF,25,MIA,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,1,0,0,0
35,Donnie Boyce,SG,23,ATL,22,2,154,21,63,.333,2,16,.125,19,47,.404,.349,11,22,.500,7,8,15,13,10,4,16,17,55
36,Shawn Bradley,C,24,TOT,73,70,2288,406,905,.449,0,8,.000,406,897,.453,.449,149,228,.654,221,390,611,52,40,248,134,237,961
37,Mark Bradtke,C,28,PHI,36,0,251,25,58,.431,0,0,,25,58,.431,.431,9,13,.692,26,42,68,7,5,5,9,34,59
38,Terrell Brandon,PG,26,CLE,78,78,2868,575,1313,.438,101,271,.373,474,1042,.455,.476,268,297,.902,48,253,301,490,138,30,178,177,1519
39,Frank Brickowski,PF,37,BOS,17,2,255,32,73,.438,7,20,.350,25,53,.472,.486,10,14,.714,6,28,34,15,5,4,19,42,81
40,Scott Brooks,PG,31,NYK,38,0,251,19,39,.487,5,12,.417,14,27,.519,.551,14,15,.933,6,12,18,29,21,0,17,35,57
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
41,Chucky Brown,SF,28,TOT,70,1,757,78,154,.506,1,6,.167,77,148,.520,.510,47,70,.671,41,107,148,28,9,22,19,100,204
42,Dee Brown,PG,28,BOS,21,2,522,61,166,.367,20,65,.308,41,101,.406,.428,18,22,.818,8,40,48,67,31,7,24,45,160
43,Marcus Brown,PG,22,POR,21,0,184,28,70,.400,13,32,.406,15,38,.395,.493,13,19,.684,4,11,15,20,8,2,13,26,82
44,Mike Brown,C,33,PHO,6,1,83,5,12,.417,0,0,,5,12,.417,.417,6,10,.600,9,16,25,5,1,1,2,9,16
45,P.J. Brown,PF,27,MIA,80,71,2592,300,656,.457,0,2,.000,300,654,.459,.457,161,220,.732,239,431,670,92,85,98,113,283,761
46,Randy Brown,PG,28,CHI,72,3,1057,140,333,.420,4,22,.182,136,311,.437,.426,57,84,.679,34,77,111,133,81,17,58,116,341
47,Kobe Bryant,SG,18,LAL,71,6,1103,176,422,.417,51,136,.375,125,286,.437,.477,136,166,.819,47,85,132,91,49,23,112,102,539
48,Mark Bryant,PF,31,PHO,41,18,1018,152,275,.553,0,0,,152,275,.553,.553,76,108,.704,67,145,212,47,22,5,46,136,380
49,Jud Buechler,SF,28,CHI,76,0,703,58,158,.367,18,54,.333,40,104,.385,.424,5,14,.357,45,81,126,60,23,21,27,50,139
50,Matt Bullard,PF,29,HOU,71,12,1025,114,284,.401,67,183,.366,47,101,.465,.519,25,34,.735,13,104,117,67,21,18,38,68,320
51,Scott Burrell,SF,26,TOT,57,2,939,98,271,.362,41,116,.353,57,155,.368,.437,57,76,.750,49,109,158,74,28,19,53,120,294
52,Willie Burton,SF,28,ATL,24,2,380,39,116,.336,13,46,.283,26,70,.371,.392,57,68,.838,11,30,41,11,8,3,26,55,148
