Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Shareef Abdur-Rahim,PF,31,SAC,6,0,51,3,14,.214,0,0,0,3,14,.214,.214,4,4,1.000,6,4,10,4,1,0,1,9,10
2,Arron Afflalo,SG,22,DET,75,9,970,99,241,.411,10,48,.208,89,193,.461,.432,68,87,.782,36,101,137,52,31,8,34,83,276
3,Maurice Ager,SG,23,TOT,26,3,165,21,65,.323,3,19,.158,18,46,.391,.346,6,12,.500,4,9,13,8,0,1,6,17,51
4,Blake Ahearn,PG,23,MIA,12,0,177,15,57,.263,10,34,.294,5,23,.217,.351,30,31,.968,1,18,19,19,6,0,16,20,70
5,LaMarcus Aldridge,PF,22,POR,76,76,2649,561,1160,.484,1,7,.143,560,1153,.486,.484,227,298,.762,220,358,578,122,55,94,126,240,1350
6,Malik Allen,PF,29,TOT,73,16,1096,157,327,.480,1,2,.500,156,325,.480,.482,23,25,.920,66,130,196,44,19,31,45,149,338
7,Ray Allen,SG,32,BOS,73,73,2624,439,986,.445,180,452,.398,259,534,.485,.537,215,237,.907,75,193,268,225,65,16,127,147,1273
8,Tony Allen,SG,26,BOS,75,11,1373,169,389,.434,18,57,.316,151,332,.455,.458,138,181,.762,34,134,168,114,62,21,109,168,494
9,Lance Allred,C,26,CLE,3,0,10,1,4,.250,0,0,0,1,4,.250,.250,1,2,.500,0,1,1,0,0,0,0,1,3
10,Morris Almond,SG,22,UTA,9,0,39,4,15,.267,1,4,.250,3,11,.273,.300,4,6,.667,0,2,2,3,1,0,2,5,13
11,Rafer Alston,PG,31,HOU,74,74,2526,364,924,.394,143,407,.351,221,517,.427,.471,98,137,.715,28,232,260,392,98,18,160,139,969
12,Louis Amundson,PF,25,PHI,16,0,64,8,16,.500,0,0,0,8,16,.500,.500,2,7,.286,7,5,12,0,1,1,2,13,18
13,Chris Andersen,C,29,NOH,5,0,34,2,7,.286,0,0,0,2,7,.286,.286,2,4,.500,2,7,9,0,0,4,1,6,6
14,Derek Anderson,SG,33,CHA,28,0,396,47,125,.376,19,52,.365,28,73,.384,.452,28,38,.737,9,43,52,44,12,1,25,49,141
15,Carmelo Anthony,SF,23,DEN,77,77,2806,728,1481,.492,58,164,.354,670,1317,.509,.511,464,590,.786,178,393,571,259,98,39,253,253,1978
16,Joel Anthony,PF,25,MIA,24,1,498,28,60,.467,0,0,0,28,60,.467,.467,29,49,.592,38,55,93,3,9,31,17,55,85
17,Gilbert Arenas,PG,26,WAS,13,8,425,78,196,.398,22,78,.282,56,118,.475,.454,74,96,.771,6,45,51,66,23,1,49,30,252
18,Trevor Ariza,SF,22,TOT,35,3,546,69,136,.507,5,18,.278,64,118,.542,.526,49,75,.653,30,78,108,44,31,11,23,45,192
19,Darrell Armstrong,PG,39,NJN,50,2,549,40,110,.364,23,69,.333,17,41,.415,.468,20,30,.667,17,50,67,73,28,2,41,53,123
20,Hilton Armstrong,C,23,NOH,65,3,732,67,148,.453,0,0,0,67,148,.453,.453,44,70,.629,65,98,163,23,15,34,59,130,178
21,Carlos Arroyo,PG,28,ORL,62,20,1269,157,348,.451,29,84,.345,128,264,.485,.493,87,102,.853,10,103,113,219,26,2,77,85,430
22,Chucky Atkins,SG,33,DEN,24,0,352,42,122,.344,25,79,.316,17,43,.395,.447,4,9,.444,3,28,31,47,9,1,10,27,113
23,James Augustine,PF,23,ORL,25,0,149,18,34,.529,0,0,0,18,34,.529,.529,4,8,.500,16,14,30,2,5,2,6,18,40
24,Kelenna Azubuike,SG,24,GSW,81,17,1732,261,587,.445,71,195,.364,190,392,.485,.505,99,138,.717,107,217,324,75,45,34,58,159,692
25,Renaldo Balkman,SF,23,NYK,65,0,952,91,186,.489,1,12,.083,90,174,.517,.492,41,95,.432,83,133,216,40,44,30,37,132,224
26,Marcus Banks,PG,26,TOT,36,3,569,86,191,.450,40,102,.392,46,89,.517,.555,27,35,.771,4,41,45,61,14,13,37,65,239
27,Leandro Barbosa,SG,25,PHO,82,12,2421,472,1021,.462,164,422,.389,308,599,.514,.543,175,213,.822,40,191,231,216,75,18,117,195,1283
28,Jose Barea,PG,23,DAL,44,9,460,71,170,.418,21,54,.389,50,116,.431,.479,28,35,.800,4,43,47,58,14,1,35,48,191
29,Andrea Bargnani,PF,22,TOR,78,53,1861,280,725,.386,90,261,.345,190,464,.409,.448,142,169,.840,50,238,288,89,23,37,88,211,792
30,Matt Barnes,PF,27,GSW,73,18,1414,187,442,.423,53,181,.293,134,261,.513,.483,59,79,.747,94,230,324,139,48,36,85,159,486
31,Andre Barrett,PG,25,LAC,4,0,25,2,5,.400,1,3,.333,1,2,.500,.500,1,2,.500,0,1,1,7,0,0,1,1,6
32,Earl Barron,C,26,MIA,46,15,889,132,327,.404,1,13,.077,131,314,.417,.405,61,87,.701,67,131,198,29,19,8,48,114,326
33,Brent Barry,SF,36,SAS,31,1,554,77,160,.481,48,112,.429,29,48,.604,.631,19,20,.950,12,43,55,54,17,3,18,43,221
34,Brandon Bass,C,22,DAL,79,1,1557,246,493,.499,0,4,.000,246,489,.503,.499,162,197,.822,120,227,347,58,22,48,82,150,654
35,Maceo Baston,PF,32,TOR,15,2,103,17,25,.680,0,0,0,17,25,.680,.680,7,10,.700,9,17,26,3,2,4,4,20,41
36,Shane Battier,SF,29,HOU,80,78,2907,265,619,.428,139,369,.377,126,250,.504,.540,75,101,.743,131,276,407,155,77,90,78,196,744
37,Marco Belinelli,PG,21,GSW,33,0,241,36,93,.387,16,41,.390,20,52,.385,.473,7,9,.778,3,11,14,15,5,0,12,15,95
38,Charlie Bell,SG,28,MIL,68,5,1628,185,486,.381,74,217,.341,111,269,.413,.457,70,87,.805,31,136,167,210,52,2,76,121,514
39,Raja Bell,SG,31,PHO,75,75,2646,317,753,.421,176,439,.401,141,314,.449,.538,79,91,.868,47,227,274,168,54,27,65,220,889
40,Mike Bibby,PG,29,TOT,48,44,1573,248,603,.411,93,248,.375,155,355,.437,.488,78,100,.780,16,144,160,290,54,4,119,97,667
41,Andris Biedrins,C,21,GSW,76,59,2078,340,543,.626,0,0,0,340,543,.626,.626,116,187,.620,256,488,744,75,56,94,85,262,796
42,Chauncey Billups,PG,31,DET,78,78,2522,393,877,.448,137,342,.401,256,535,.479,.526,401,437,.918,42,170,212,529,101,17,160,130,1324
43,Steve Blake,PG,27,POR,81,78,2424,261,640,.408,121,298,.406,140,342,.409,.502,49,64,.766,31,164,195,413,55,4,113,133,692
44,Andray Blatche,PF,21,WAS,82,15,1675,254,536,.474,3,13,.231,251,523,.480,.477,107,154,.695,164,261,425,92,53,114,112,258,618
45,Mark Blount,C,32,MIA,69,46,1542,238,515,.462,17,44,.386,221,471,.469,.479,88,138,.638,69,194,263,41,33,34,70,133,581
46,Keith Bogans,SG,27,ORL,82,35,2198,241,588,.410,148,409,.362,93,179,.520,.536,81,110,.736,42,224,266,104,59,10,53,164,711
