Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alaa Abdelnaby,PF,23,POR,71,1,934,178,361,.493,0,0,0,178,361,.493,.493,76,101,.752,81,179,260,30,25,16,66,132,432
2,Mahmoud Abdul-Rauf,PG,22,DEN,81,11,1538,356,845,.421,31,94,.330,325,751,.433,.440,94,108,.870,22,92,114,192,44,4,117,130,837
3,Mark Acres,C,29,ORL,68,6,926,78,151,.517,1,3,.333,77,148,.520,.520,51,67,.761,97,155,252,22,25,15,33,140,208
4,Michael Adams,PG,29,WSB,78,78,2795,485,1233,.393,125,386,.324,360,847,.425,.444,313,360,.869,58,252,310,594,145,9,212,162,1408
5,Rafael Addison,SF,27,NJN,76,8,1175,187,432,.433,14,49,.286,173,383,.452,.449,56,76,.737,65,100,165,68,28,28,46,109,444
6,Mark Aguirre,SF,32,DET,75,12,1582,339,787,.431,15,71,.211,324,716,.453,.440,158,230,.687,67,169,236,126,51,11,105,171,851
7,Danny Ainge,SG,32,POR,81,6,1595,299,676,.442,78,230,.339,221,446,.496,.500,108,131,.824,40,108,148,202,73,13,70,148,784
8,Victor Alexander,C,22,GSW,80,28,1350,243,459,.529,0,1,.000,243,458,.531,.529,103,149,.691,106,230,336,32,45,62,91,176,589
9,Greg Anderson,PF,27,DEN,82,82,2793,389,854,.456,0,4,.000,389,850,.458,.456,167,268,.623,337,604,941,78,88,65,201,263,945
10,Kenny Anderson,PG,21,NJN,64,13,1086,187,480,.390,3,13,.231,184,467,.394,.393,73,98,.745,38,89,127,203,67,9,97,68,450
11,Nick Anderson,SG,24,ORL,60,59,2203,482,1042,.463,30,85,.353,452,957,.472,.477,202,303,.667,98,286,384,163,97,33,126,132,1196
12,Ron Anderson,SF,33,PHI,82,11,2432,469,1008,.465,42,127,.331,427,881,.485,.486,143,163,.877,96,182,278,135,86,11,109,128,1123
13,Willie Anderson,SG,25,SAS,57,55,1889,312,685,.455,13,56,.232,299,629,.475,.465,107,138,.775,62,238,300,302,54,51,140,151,744
14,Michael Ansley,SF,24,TOT,10,0,45,8,18,.444,0,0,0,8,18,.444,.444,5,6,.833,2,4,6,2,0,0,3,7,21
15,Greg Anthony,PG,24,NYK,82,1,1510,161,435,.370,8,55,.145,153,380,.403,.379,117,158,.741,33,103,136,314,59,9,98,170,447
16,B.J. Armstrong,PG,24,CHI,82,3,1875,335,697,.481,35,87,.402,300,610,.492,.506,104,129,.806,19,126,145,266,46,5,94,88,809
17,Vincent Askew,SG,25,GSW,80,10,1496,193,379,.509,1,10,.100,192,369,.520,.511,111,160,.694,89,144,233,188,47,23,84,128,498
18,Keith Askins,SF,24,MIA,59,4,843,84,205,.410,25,73,.342,59,132,.447,.471,26,37,.703,65,77,142,38,40,15,47,109,219
19,Stacey Augmon,SG,23,ATL,82,82,2505,440,899,.489,1,6,.167,439,893,.492,.490,213,320,.666,191,229,420,201,124,27,181,161,1094
20,Isaac Austin,C,22,UTA,31,0,112,21,46,.457,0,0,0,21,46,.457,.457,19,30,.633,11,24,35,5,2,2,8,20,61
