Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Arron Afflalo,SG,24,DEN,82,75,2221,272,585,.465,108,249,.434,164,336,.488,.557,72,98,.735,59,193,252,138,46,30,74,225,724
2,Alexis Ajinca,C,21,CHA,6,0,30,5,10,.500,0,0,0,5,10,.500,.500,0,1,.000,1,3,4,0,1,1,2,5,10
3,LaMarcus Aldridge,PF,24,POR,78,78,2922,579,1169,.495,5,16,.313,574,1153,.498,.497,230,304,.757,192,435,627,160,67,48,104,231,1393
4,Joe Alexander,SF,23,CHI,8,0,29,1,6,.167,0,1,.000,1,5,.200,.167,2,3,.667,2,3,5,2,1,1,0,9,4
5,Malik Allen,PF,31,DEN,51,3,456,46,116,.397,1,6,.167,45,110,.409,.401,12,13,.923,36,46,82,16,11,5,22,68,105
6,Ray Allen,SG,34,BOS,80,80,2819,464,973,.477,145,399,.363,319,574,.556,.551,231,253,.913,45,208,253,210,64,25,129,182,1304
7,Tony Allen,SG,28,BOS,54,8,889,129,253,.510,0,5,.000,129,248,.520,.510,72,119,.605,52,93,145,72,59,19,66,109,330
8,Rafer Alston,PG,33,TOT,52,38,1421,155,446,.348,58,168,.345,97,278,.349,.413,59,81,.728,13,116,129,176,50,10,95,103,427
9,Louis Amundson,PF,27,PHO,79,0,1168,152,276,.551,0,1,.000,152,275,.553,.551,67,123,.545,128,218,346,31,24,73,57,169,371
10,Chris Andersen,PF,31,DEN,76,0,1695,142,251,.566,0,3,.000,142,248,.573,.566,164,236,.695,147,336,483,33,42,143,59,171,448
11,David Andersen,C,29,HOU,63,0,891,147,340,.432,27,78,.346,120,262,.458,.472,46,67,.687,54,154,208,44,15,12,37,119,367
12,Antonio Anderson,SF,24,OKC,1,0,15,1,3,.333,0,0,0,1,3,.333,.333,0,0,0,1,0,1,0,0,0,1,1,2
13,Ryan Anderson,PF,21,ORL,63,6,911,169,388,.436,78,211,.370,91,177,.514,.536,71,82,.866,70,132,202,37,25,14,56,81,487
14,Carmelo Anthony,SF,25,DEN,69,69,2634,688,1502,.458,59,187,.316,629,1315,.478,.478,508,612,.830,152,302,454,222,88,30,209,225,1943
15,Joel Anthony,C,27,MIA,80,16,1322,76,159,.478,0,0,0,76,159,.478,.478,66,92,.717,123,126,249,12,20,109,45,158,218
16,Gilbert Arenas,PG,28,WAS,32,32,1169,253,616,.411,63,181,.348,190,435,.437,.462,153,207,.739,17,116,133,230,41,9,117,95,722
17,Trevor Ariza,SF,24,HOU,72,71,2629,394,999,.394,136,407,.334,258,592,.436,.462,148,228,.649,78,325,403,276,126,40,161,162,1072
18,Hilton Armstrong,PF-C,25,TOT,33,0,335,28,79,.354,0,1,.000,28,78,.359,.354,15,32,.469,27,54,81,21,15,12,22,59,71
19,Carlos Arroyo,PG,30,MIA,72,35,1585,178,375,.475,7,25,.280,171,350,.489,.484,76,90,.844,26,104,130,225,36,6,54,102,439
