Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
16,Vincent Askew,SG,26,TOT,73,4,1129,152,309,.492,2,6,.333,150,303,.495,.495,105,149,.705,62,99,161,122,40,19,69,135,411
17,Keith Askins,SF,25,MIA,69,1,935,88,213,.413,22,65,.338,66,148,.446,.465,29,40,.725,74,124,198,31,31,29,37,141,227
18,Stacey Augmon,SG,24,ATL,73,66,2112,397,792,.501,0,4,.000,397,788,.504,.501,227,307,.739,141,146,287,170,91,18,157,141,1021
19,Isaac Austin,C,23,UTA,46,3,306,50,112,.446,0,1,.000,50,111,.450,.446,29,44,.659,38,41,79,6,8,14,23,60,129
20,Anthony Avent,PF,23,MIL,82,78,2285,347,802,.433,0,2,.000,347,800,.434,.433,112,172,.651,180,332,512,91,57,73,140,237,806
21,John Bagley,PG,32,BOS,10,0,97,9,25,.360,0,1,.000,9,24,.375,.360,5,6,.833,1,6,7,20,2,0,17,11,23
22,Thurl Bailey,PF,31,MIN,70,3,1276,203,446,.455,0,0,0,203,446,.455,.455,119,142,.838,53,162,215,61,20,47,60,88,525
23,Steve Bardo,SG,24,DAL,23,0,175,19,62,.306,1,6,.167,18,56,.321,.315,12,17,.706,10,27,37,29,8,3,17,28,51
24,Charles Barkley*,PF,29,PHO,76,76,2859,716,1376,.520,67,220,.305,649,1156,.561,.545,445,582,.765,237,691,928,385,119,74,233,196,1944
25,Dana Barros,PG,25,SEA,69,2,1243,214,474,.451,64,169,.379,150,305,.492,.519,49,59,.831,18,89,107,151,63,3,58,78,541
26,Jon Barry,SG,23,MIL,47,0,552,76,206,.369,21,63,.333,55,143,.385,.420,33,49,.673,10,33,43,68,35,3,42,57,206
27,John Battle,SG,30,CLE,41,0,497,83,200,.415,1,6,.167,82,194,.423,.418,56,72,.778,4,25,29,54,9,5,22,39,223
28,Kenny Battle,SG,28,BOS,3,1,29,6,13,.462,0,1,.000,6,12,.500,.462,2,2,1.000,7,4,11,2,1,0,2,2,14
29,William Bedford,C,29,SAS,16,0,66,9,27,.333,1,1,1.000,8,26,.308,.352,6,12,.500,1,9,10,0,0,1,1,15,25
30,Benoit Benjamin,C,28,TOT,59,6,754,133,271,.491,0,0,0,133,271,.491,.491,69,104,.663,51,158,209,22,31,48,78,134,335
31,Tony Bennett,PG,23,CHH,75,2,857,110,260,.423,26,80,.325,84,180,.467,.473,30,41,.732,12,51,63,136,30,0,50,110,276
32,David Benoit,SF,24,UTA,82,27,1712,258,592,.436,34,98,.347,224,494,.453,.465,114,152,.750,116,276,392,43,45,43,90,201,664
33,Rolando Blackman,SG,33,NYK,60,33,1434,239,539,.443,31,73,.425,208,466,.446,.472,71,90,.789,23,79,102,157,22,10,65,129,580
34,Alex Blackwell,SF,22,LAL,27,0,109,14,42,.333,0,3,.000,14,39,.359,.333,6,8,.750,10,13,23,7,4,2,5,14,34
35,Lance Blanks,SG,26,MIN,61,2,642,65,150,.433,11,43,.256,54,107,.505,.470,20,32,.625,18,50,68,72,16,5,31,61,161
36,Ricky Blanton,SF,26,CHI,2,0,13,3,7,.429,0,0,0,3,7,.429,.429,0,0,0,2,1,3,1,2,0,1,1,6
37,Mookie Blaylock,PG,25,ATL,80,78,2820,414,964,.429,118,315,.375,296,649,.456,.491,123,169,.728,89,191,280,671,203,23,187,156,1069
38,Muggsy Bogues,PG,28,CHH,81,80,2833,331,730,.453,6,26,.231,325,704,.462,.458,140,168,.833,51,247,298,711,161,5,154,179,808
39,Manute Bol,C,30,PHI,58,23,855,52,127,.409,10,32,.313,42,95,.442,.449,12,19,.632,44,149,193,18,14,119,50,87,126
40,Walter Bond,SG,23,DAL,74,38,1578,227,565,.402,7,42,.167,220,523,.421,.408,129,167,.772,52,144,196,122,75,18,112,223,590
41,Anthony Bonner,PF,24,SAC,70,35,1764,229,497,.461,0,7,.000,229,490,.467,.461,143,241,.593,188,267,455,96,86,17,105,183,601
42,Anthony Bowie,SG,29,ORL,77,45,1761,268,569,.471,15,48,.313,253,521,.486,.484,67,84,.798,36,158,194,175,54,14,84,131,618
43,Sam Bowie,C,31,NJN,79,65,2092,287,638,.450,2,6,.333,285,632,.451,.451,141,181,.779,158,398,556,127,32,128,120,226,717
44,Terrell Brandon,PG,22,CLE,82,8,1622,297,621,.478,13,42,.310,284,579,.491,.489,118,143,.825,37,142,179,302,79,27,107,122,725
45,Randy Breuer,C,32,ATL,12,0,107,15,31,.484,0,0,0,15,31,.484,.484,2,5,.400,10,18,28,6,2,3,5,12,32
46,Frank Brickowski,C,33,MIL,66,64,2075,456,836,.545,8,26,.308,448,810,.553,.550,195,268,.728,120,285,405,196,80,44,202,235,1115
47,Kevin Brooks,SF,23,DEN,55,2,571,93,233,.399,6,26,.231,87,207,.420,.412,35,40,.875,22,59,81,34,10,2,39,46,227
48,Scott Brooks,PG,27,HOU,82,0,1516,183,385,.475,41,99,.414,142,286,.497,.529,112,135,.830,22,77,99,243,79,3,72,136,519
49,Chucky Brown,SF,24,NJN,77,20,1186,160,331,.483,0,5,.000,160,326,.491,.483,71,98,.724,88,144,232,51,20,24,56,112,391
50,Dee Brown,PG,24,BOS,80,48,2254,328,701,.468,26,82,.317,302,619,.488,.486,192,242,.793,45,201,246,461,138,32,136,203,874
51,Mike Brown,C,29,UTA,82,21,1551,176,409,.430,0,1,.000,176,408,.431,.430,113,164,.689,147,244,391,64,32,23,95,190,465
52,Randy Brown,PG,24,SAC,75,34,1726,225,486,.463,2,6,.333,223,480,.465,.465,115,157,.732,75,137,212,196,108,34,120,206,567
53,Mark Bryant,C,27,POR,80,24,1396,186,370,.503,0,1,.000,186,369,.504,.503,104,148,.703,132,192,324,41,37,23,65,226,476
54,Jud Buechler,SF,24,GSW,70,9,1287,176,403,.437,20,59,.339,156,344,.453,.462,65,87,.747,81,114,195,94,47,19,55,98,437
55,Matt Bullard,PF,25,HOU,79,4,1356,213,494,.431,91,243,.374,122,251,.486,.523,58,74,.784,66,156,222,110,30,11,57,129,575
56,Willie Burton,SF,24,MIA,26,8,451,54,141,.383,5,15,.333,49,126,.389,.401,91,127,.717,22,48,70,16,13,16,50,58,204
57,Steve Burtt,SG,30,WSB,4,0,35,10,26,.385,1,3,.333,9,23,.391,.404,8,10,.800,2,1,3,6,2,0,4,5,29
58,Michael Cage,C,31,SEA,82,66,2156,219,416,.526,0,1,.000,219,415,.528,.526,61,130,.469,268,391,659,69,76,46,59,183,499
59,Dexter Cambridge,SF,23,DAL,53,13,885,151,312,.484,0,4,.000,151,308,.490,.484,68,99,.687,88,79,167,58,24,6,63,128,370
60,Elden Campbell,PF,24,LAL,79,13,1551,238,520,.458,0,3,.000,238,517,.460,.458,130,204,.637,127,205,332,48,59,100,69,165,606
61,Tony Campbell,SF,30,NYK,58,13,1062,194,396,.490,2,5,.400,192,391,.491,.492,59,87,.678,59,96,155,62,34,5,51,150,449
62,Antoine Carr,PF,31,SAS,71,46,1947,379,705,.538,0,5,.000,379,700,.541,.538,174,224,.777,107,281,388,97,35,87,96,264,932
63,Bill Cartwright,C,35,CHI,63,63,1253,141,343,.411,0,0,0,141,343,.411,.411,72,98,.735,83,150,233,83,20,10,62,154,354
64,Terry Catledge,PF,29,ORL,21,1,262,36,73,.493,0,0,0,36,73,.493,.493,27,34,.794,18,28,46,5,4,1,25,31,99
65,Duane Causwell,C,24,SAC,55,45,1211,175,321,.545,0,1,.000,175,320,.547,.545,103,165,.624,112,191,303,35,32,87,58,192,453
66,Cedric Ceballos,SF,23,PHO,74,46,1607,381,662,.576,0,2,.000,381,660,.577,.576,187,258,.725,172,236,408,77,54,28,106,103,949
67,Tom Chambers,PF,33,PHO,73,0,1723,320,716,.447,11,28,.393,309,688,.449,.455,241,288,.837,96,249,345,101,43,23,92,212,892
68,Rex Chapman,SG,25,WSB,60,23,1300,287,602,.477,43,116,.371,244,486,.502,.512,132,163,.810,19,69,88,116,38,10,79,119,749
69,Maurice Cheeks,PG,36,NJN,35,0,510,51,93,.548,0,2,.000,51,91,.560,.548,24,27,.889,5,37,42,107,33,2,33,35,126
70,Pete Chilcutt,PF,24,SAC,59,9,834,165,340,.485,0,0,0,165,340,.485,.485,32,46,.696,80,114,194,64,22,21,54,102,362
71,Doug Christie,SG,22,LAL,23,0,332,45,106,.425,2,12,.167,43,94,.457,.434,50,66,.758,24,27,51,53,22,5,50,53,142
72,Derrick Coleman,PF,25,NJN,76,73,2759,564,1226,.460,23,99,.232,541,1127,.480,.469,421,521,.808,247,605,852,276,92,126,243,210,1572
73,Bimbo Coles,PG,24,MIA,81,37,2232,318,686,.464,42,137,.307,276,549,.503,.494,177,220,.805,58,108,166,373,80,11,108,199,855
74,Marty Conlon,C,25,SAC,46,0,467,81,171,.474,0,4,.000,81,167,.485,.474,57,81,.704,48,75,123,37,13,5,28,43,219
75,Lester Conner,PG,33,LAC,31,0,422,28,62,.452,0,0,0,28,62,.452,.452,18,19,.947,16,33,49,65,34,4,21,39,74
76,Duane Cooper,PG,23,LAL,65,0,645,62,158,.392,7,30,.233,55,128,.430,.415,25,35,.714,13,37,50,150,18,2,69,66,156
77,Tyrone Corbin,SF,30,UTA,82,58,2555,385,766,.503,0,5,.000,385,761,.506,.503,180,218,.826,194,325,519,173,108,32,108,252,950
78,Chris Corchiani,PG,24,TOT,10,0,105,14,24,.583,0,3,.000,14,21,.667,.583,16,21,.762,1,6,7,16,6,0,8,18,44
79,Joe Courtney,PF,23,TOT,12,0,104,13,32,.406,0,0,0,13,32,.406,.406,7,9,.778,4,15,19,3,5,5,6,17,33
80,John Crotty,PG,23,UTA,40,0,243,37,72,.514,2,14,.143,35,58,.603,.528,26,38,.684,4,13,17,55,11,0,30,29,102
81,Terry Cummings,PF,31,SAS,8,0,76,11,29,.379,0,0,0,11,29,.379,.379,5,10,.500,6,13,19,4,1,1,2,17,27
82,Radisav Curcic,C,27,DAL,20,0,166,16,41,.390,0,0,0,16,41,.390,.390,26,36,.722,17,32,49,12,7,2,8,30,58
83,Dell Curry,SG,28,CHH,80,0,2094,498,1102,.452,95,237,.401,403,865,.466,.495,136,157,.866,51,235,286,180,87,23,129,150,1227
84,Lloyd Daniels,SG,25,SAS,77,10,1573,285,644,.443,59,177,.333,226,467,.484,.488,72,99,.727,86,130,216,148,38,30,102,144,701
85,Brad Daugherty,C,27,CLE,71,71,2691,520,911,.571,1,2,.500,519,909,.571,.571,391,492,.795,164,562,726,312,53,56,150,174,1432
86,Dale Davis,PF,23,IND,82,82,2264,304,535,.568,0,0,0,304,535,.568,.568,119,225,.529,291,432,723,69,63,148,79,274,727
87,Hubert Davis,SG,22,NYK,50,2,815,110,251,.438,6,19,.316,104,232,.448,.450,43,54,.796,13,43,56,83,22,4,45,71,269
88,Terry Davis,PF,25,DAL,75,74,2462,393,863,.455,2,8,.250,391,855,.457,.457,167,281,.594,259,442,701,68,36,28,160,199,955
89,Johnny Dawkins,PG,29,PHI,74,10,1598,258,590,.437,26,84,.310,232,506,.458,.459,113,142,.796,33,103,136,339,80,4,121,91,655
90,Todd Day,SG,23,MIL,71,37,1931,358,828,.432,54,184,.293,304,644,.472,.465,213,297,.717,144,147,291,117,75,48,118,222,983
91,Vinny Del Negro,PG,26,SAS,73,31,1526,218,430,.507,6,24,.250,212,406,.522,.514,101,117,.863,19,144,163,291,44,1,92,146,543
92,Bison Dele,PF,23,ORL,21,0,240,40,78,.513,0,1,.000,40,77,.519,.513,16,20,.800,24,32,56,5,14,17,25,48,96
93,Vlade Divac,C,24,LAL,82,69,2525,397,819,.485,21,75,.280,376,744,.505,.498,235,341,.689,220,509,729,232,128,140,214,311,1050
94,James Donaldson,C,35,UTA,6,1,94,8,14,.571,0,0,0,8,14,.571,.571,5,9,.556,6,23,29,1,1,7,4,13,21
95,Sherman Douglas,PG,26,BOS,79,36,1932,264,530,.498,6,29,.207,258,501,.515,.504,84,150,.560,65,97,162,508,49,10,161,166,618
96,Greg Dreiling,C,30,IND,43,0,239,19,58,.328,0,4,.000,19,54,.352,.328,8,15,.533,26,40,66,8,5,8,9,60,46
97,Clyde Drexler*,SF,30,POR,49,49,1671,350,816,.429,31,133,.233,319,683,.467,.448,245,292,.839,126,183,309,278,95,37,115,159,976
98,Kevin Duckworth,C,28,POR,74,55,1762,301,688,.438,0,2,.000,301,686,.439,.438,127,174,.730,118,269,387,70,45,39,87,222,729
99,Chris Dudley,C,27,NJN,71,16,1398,94,266,.353,0,0,0,94,266,.353,.353,57,110,.518,215,298,513,16,17,103,54,195,245
100,Joe Dumars*,SG,29,DET,77,77,3094,677,1454,.466,112,299,.375,565,1155,.489,.504,343,397,.864,63,85,148,308,78,7,138,141,1809
101,Richard Dumas,SF,23,PHO,48,32,1320,302,576,.524,1,3,.333,301,573,.525,.525,152,215,.707,100,123,223,60,85,39,92,127,757
102,Pat Durham,SF,25,GSW,5,1,78,6,25,.240,0,0,0,6,25,.240,.240,9,12,.750,5,9,14,4,1,1,7,6,21
103,Mark Eaton,C,36,UTA,64,57,1104,71,130,.546,0,0,0,71,130,.546,.546,35,50,.700,73,191,264,17,18,79,43,143,177
104,Blue Edwards,SF,27,MIL,82,81,2729,554,1083,.512,37,106,.349,517,977,.529,.529,237,300,.790,123,259,382,214,129,45,175,242,1382
105,James Edwards,C,37,LAL,52,0,617,122,270,.452,0,0,0,122,270,.452,.452,84,118,.712,30,70,100,41,10,7,51,122,328
106,Kevin Edwards,SG,27,MIA,40,30,1134,216,462,.468,5,17,.294,211,445,.474,.473,119,141,.844,48,73,121,120,68,12,75,69,556
107,Craig Ehlo,SG,31,CLE,82,73,2559,385,785,.490,93,244,.381,292,541,.540,.550,86,120,.717,113,290,403,254,104,22,124,170,949
108,Mario Elie,SF,29,POR,82,7,1757,240,524,.458,45,129,.349,195,395,.494,.501,183,214,.855,59,157,216,177,74,20,89,145,708
109,Sean Elliott,SF,24,SAS,70,70,2604,451,918,.491,37,104,.356,414,814,.509,.511,268,337,.795,85,237,322,265,68,28,152,132,1207
110,Dale Ellis,SG,32,SAS,82,76,2731,545,1092,.499,119,297,.401,426,795,.536,.554,157,197,.797,81,231,312,107,78,18,111,179,1366
111,LaPhonso Ellis,PF,22,DEN,82,82,2749,483,958,.504,2,13,.154,481,945,.509,.505,237,317,.748,274,470,744,151,72,111,153,293,1205
112,Pervis Ellison,C,25,WSB,49,48,1701,341,655,.521,0,4,.000,341,651,.524,.521,170,242,.702,138,295,433,117,45,108,110,154,852
113,Jo Jo English,SG,22,CHI,6,0,31,3,10,.300,0,3,.000,3,7,.429,.300,0,2,.000,2,4,6,1,3,2,4,5,6
114,Patrick Ewing*,C,30,NYK,81,81,3003,779,1550,.503,1,7,.143,778,1543,.504,.503,400,556,.719,191,789,980,151,74,161,265,286,1959
115,Duane Ferrell,SF,27,ATL,82,15,1736,327,696,.470,9,36,.250,318,660,.482,.476,176,226,.779,97,94,191,132,59,17,103,160,839
116,Danny Ferry,PF,26,CLE,76,1,1461,220,459,.479,34,82,.415,186,377,.493,.516,99,113,.876,81,198,279,137,29,49,83,171,573
117,Vern Fleming,PG,30,IND,75,8,1503,280,554,.505,7,36,.194,273,518,.527,.512,143,197,.726,63,106,169,224,63,9,121,126,710
118,Sleepy Floyd,PG,32,HOU,52,10,867,124,305,.407,16,56,.286,108,249,.434,.433,81,102,.794,14,72,86,132,32,6,68,59,345
119,Greg Foster,PF,24,TOT,43,0,298,55,120,.458,0,4,.000,55,116,.474,.458,15,21,.714,32,51,83,21,3,14,25,58,125
120,Rick Fox,SF,23,BOS,71,14,1082,184,380,.484,4,23,.174,180,357,.504,.489,81,101,.802,55,104,159,113,61,21,77,133,453
121,Kevin Gamble,SF,27,BOS,82,58,2541,459,906,.507,52,139,.374,407,767,.531,.535,123,149,.826,46,200,246,226,86,37,81,185,1093
122,Winston Garland,PG,28,HOU,66,4,1004,152,343,.443,6,13,.462,146,330,.442,.452,81,89,.910,32,76,108,138,39,4,67,116,391
123,Chris Gatling,PF,25,GSW,70,11,1248,249,462,.539,0,6,.000,249,456,.546,.539,150,207,.725,129,191,320,40,44,53,102,197,648
124,Kenny Gattison,PF,28,CHH,75,5,1475,203,384,.529,0,3,.000,203,381,.533,.529,102,169,.604,108,245,353,68,48,55,64,237,508
125,Matt Geiger,C,23,MIA,48,2,554,76,145,.524,0,4,.000,76,141,.539,.524,62,92,.674,46,74,120,14,15,18,36,123,214
126,Tate George,PG,24,NJN,48,1,380,51,135,.378,0,5,.000,51,130,.392,.378,20,24,.833,9,18,27,59,10,3,31,25,122
127,Kendall Gill,SG,24,CHH,69,67,2430,463,1032,.449,17,62,.274,446,970,.460,.457,224,290,.772,120,220,340,268,98,36,174,191,1167
128,Armen Gilliam,PF,28,PHI,80,26,1742,359,774,.464,0,1,.000,359,773,.464,.464,274,325,.843,136,336,472,116,37,54,157,123,992
129,Gerald Glass,SF,25,TOT,60,5,848,142,339,.419,7,33,.212,135,306,.441,.429,25,39,.641,61,81,142,77,33,18,35,104,316
130,Mike Gminski,C,33,CHH,34,0,251,42,83,.506,0,0,0,42,83,.506,.506,9,10,.900,34,51,85,7,1,9,11,28,93
131,Paul Graham,SG,25,ATL,80,11,1508,256,560,.457,42,141,.298,214,419,.511,.495,96,131,.733,61,129,190,164,86,6,120,185,650
132,Gary Grant,PG,27,LAC,74,8,1624,210,476,.441,11,42,.262,199,434,.459,.453,55,74,.743,27,112,139,353,106,9,129,168,486
133,Greg Grant,PG,26,PHI,72,0,996,77,220,.350,20,68,.294,57,152,.375,.395,20,31,.645,24,43,67,206,43,1,54,73,194
134,Harvey Grant,SF,27,WSB,72,72,2667,560,1149,.487,1,10,.100,559,1139,.491,.488,218,300,.727,133,279,412,205,72,44,90,168,1339
135,Horace Grant,PF,27,CHI,77,77,2745,421,829,.508,1,5,.200,420,824,.510,.508,174,281,.619,341,388,729,201,89,96,110,218,1017
136,Jeff Grayer,SG,27,GSW,48,12,1025,165,353,.467,2,14,.143,163,339,.481,.470,91,136,.669,71,86,157,70,31,8,54,120,423
137,A.C. Green,PF,29,LAL,82,55,2819,379,706,.537,16,46,.348,363,660,.550,.548,277,375,.739,287,424,711,116,88,39,116,149,1051
138,Litterial Green,PG,22,ORL,52,4,626,87,198,.439,1,10,.100,86,188,.457,.442,60,96,.625,11,23,34,116,23,4,42,70,235
139,Sean Green,SG,22,IND,13,0,81,28,55,.509,3,10,.300,25,45,.556,.536,3,4,.750,4,5,9,7,2,1,9,11,62
140,Sidney Green,PF,32,TOT,39,0,329,34,89,.382,0,2,.000,34,87,.391,.382,25,31,.806,32,86,118,24,6,5,20,37,93
141,Tom Gugliotta,PF,23,WSB,81,81,2795,484,1135,.426,38,135,.281,446,1000,.446,.443,181,281,.644,219,562,781,306,134,35,230,195,1187
142,Jay Guidinger,C,23,CLE,32,5,215,19,55,.345,0,0,0,19,55,.345,.345,13,25,.520,26,38,64,17,9,10,10,48,51
143,Tom Hammonds,PF,25,TOT,54,5,713,105,221,.475,0,1,.000,105,220,.477,.475,38,62,.613,38,89,127,24,18,12,34,77,248
144,Tim Hardaway,PG,26,GSW,66,66,2609,522,1168,.447,102,309,.330,420,859,.489,.491,273,367,.744,60,203,263,699,116,12,220,152,1419
145,Derek Harper,SG,31,DAL,62,60,2108,393,939,.419,101,257,.393,292,682,.428,.472,239,316,.756,42,81,123,334,80,16,136,145,1126
146,Ron Harper,SG,29,LAC,80,77,2970,542,1203,.451,52,186,.280,490,1017,.482,.472,307,399,.769,117,308,425,360,177,73,222,212,1443
147,Scott Hastings,C,32,DEN,76,0,670,57,112,.509,2,8,.250,55,104,.529,.518,40,55,.727,44,93,137,34,12,8,29,115,156
148,Hersey Hawkins,SG,26,PHI,81,81,2977,551,1172,.470,122,307,.397,429,865,.496,.522,419,487,.860,91,255,346,317,137,30,180,189,1643
149,Steve Henson,PG,24,ATL,53,2,719,71,182,.390,37,80,.463,34,102,.333,.492,34,40,.850,12,43,55,155,30,1,52,85,213
150,Carl Herrera,PF,26,HOU,81,12,1800,240,444,.541,0,2,.000,240,442,.543,.541,125,176,.710,148,306,454,61,47,35,92,190,605
151,Rod Higgins,SF,33,SAC,69,4,1425,199,483,.412,43,133,.323,156,350,.446,.457,130,151,.861,66,127,193,119,51,29,63,141,571
152,Sean Higgins,SF,24,GSW,29,4,591,96,215,.447,13,37,.351,83,178,.466,.477,35,47,.745,23,45,68,66,13,5,64,54,240
153,Tyrone Hill,C,24,GSW,74,66,2070,251,494,.508,0,4,.000,251,490,.512,.508,138,221,.624,255,499,754,68,41,40,92,320,640
154,Donald Hodge,C,23,DAL,79,8,1267,161,400,.403,0,0,0,161,400,.403,.403,71,104,.683,93,201,294,75,33,37,90,204,393
155,Dave Hoppen,C,28,NJN,2,0,10,1,1,1.000,0,0,0,1,1,1.000,1.000,0,2,.000,1,3,4,0,0,0,0,2,2
156,Jeff Hornacek,PG,29,PHI,79,78,2860,582,1239,.470,97,249,.390,485,990,.490,.509,250,289,.865,84,258,342,548,131,21,222,203,1511
157,Robert Horry,SF,22,HOU,79,79,2330,323,682,.474,12,47,.255,311,635,.490,.482,143,200,.715,113,279,392,191,80,83,156,210,801
158,Byron Houston,SG,23,GSW,79,8,1274,145,325,.446,2,7,.286,143,318,.450,.449,129,194,.665,119,196,315,69,44,43,87,253,421
159,Brian Howard,SF,25,DAL,68,22,1295,183,414,.442,1,7,.143,182,407,.447,.443,72,94,.766,66,146,212,67,55,34,68,217,439
160,Stephen Howard,SF,22,UTA,49,0,260,35,93,.376,0,0,0,35,93,.376,.376,34,53,.642,26,34,60,10,15,12,23,58,104
161,Jay Humphries,SG,30,UTA,78,20,2034,287,659,.436,15,75,.200,272,584,.466,.447,101,130,.777,40,103,143,317,101,11,132,236,690
162,Byron Irvin,SG,26,WSB,4,2,45,9,18,.500,1,1,1.000,8,17,.471,.528,3,6,.500,2,2,4,2,1,0,4,5,22
163,Mike Iuzzolino,PG,25,DAL,70,23,1769,221,478,.462,54,144,.375,167,334,.500,.519,114,149,.765,31,109,140,328,49,6,129,101,610
164,Jaren Jackson,SG,25,LAC,34,0,350,53,128,.414,2,5,.400,51,123,.415,.422,23,27,.852,19,20,39,35,19,5,17,45,131
165,Jim Jackson,SF,22,DAL,28,28,938,184,466,.395,21,73,.288,163,393,.415,.417,68,92,.739,42,80,122,131,40,11,115,80,457
166,Mark Jackson,PG,27,LAC,82,81,3117,459,945,.486,22,82,.268,437,863,.506,.497,241,300,.803,129,259,388,724,136,12,220,158,1181
167,Henry James,PF,27,TOT,10,0,88,21,51,.412,3,13,.231,18,38,.474,.441,22,26,.846,7,4,11,1,3,0,7,9,67
168,Keith Jennings,PG,24,GSW,8,0,136,25,42,.595,5,9,.556,20,33,.606,.655,14,18,.778,2,9,11,23,4,0,7,18,69
169,Avery Johnson,PG,27,SAS,75,49,2030,256,510,.502,0,8,.000,256,502,.510,.502,144,182,.791,20,126,146,561,85,16,145,141,656
170,Buck Johnson,SF,29,WSB,73,19,1287,193,403,.479,0,3,.000,193,400,.483,.479,92,126,.730,78,117,195,89,36,18,70,187,478
171,Dave Johnson,SG,22,POR,42,0,356,57,149,.383,3,14,.214,54,135,.400,.393,40,59,.678,18,30,48,13,8,1,28,23,157
172,Eddie Johnson,SF,33,SEA,82,0,1869,463,991,.467,17,56,.304,446,935,.477,.476,234,257,.911,124,148,272,135,36,4,134,173,1177
173,Frank Johnson,PG,34,PHO,77,0,1122,136,312,.436,1,12,.083,135,300,.450,.438,59,76,.776,41,72,113,186,60,8,80,112,332
174,Kevin Johnson,PG,26,PHO,49,47,1643,282,565,.499,1,8,.125,281,557,.504,.500,226,276,.819,30,74,104,384,85,19,151,100,791
175,Larry Johnson,PF,23,CHH,82,82,3323,728,1385,.526,18,71,.254,710,1314,.540,.532,336,438,.767,281,583,864,353,53,27,227,187,1810
176,Charles Jones,C,35,WSB,67,21,1206,33,63,.524,0,1,.000,33,62,.532,.524,22,38,.579,87,190,277,42,38,77,38,144,88
177,Michael Jordan*,SG,29,CHI,78,78,3067,992,2003,.495,81,230,.352,911,1773,.514,.515,476,569,.837,135,387,522,428,221,61,207,188,2541
178,Thomas Jordan,PF,24,PHI,4,0,106,18,41,.439,0,0,0,18,41,.439,.439,8,17,.471,5,14,19,3,3,5,12,14,44
179,Adam Keefe,PF,22,ATL,82,6,1549,188,376,.500,0,1,.000,188,375,.501,.500,166,237,.700,171,261,432,80,57,16,100,195,542
180,Shawn Kemp,PF,23,SEA,78,68,2582,515,1047,.492,0,4,.000,515,1043,.494,.492,358,503,.712,287,546,833,155,119,146,217,327,1388
181,Tim Kempton,PF,29,PHO,30,0,167,19,48,.396,0,0,0,19,48,.396,.396,18,31,.581,12,27,39,19,4,4,16,30,56
182,Steve Kerr,SG-PG,27,TOT,52,0,481,53,122,.434,6,26,.231,47,96,.490,.459,22,24,.917,5,40,45,70,10,1,27,36,134
183,Jerome Kersey,SF,30,POR,65,50,1719,281,642,.438,8,28,.286,273,614,.445,.444,116,183,.634,126,280,406,121,80,41,84,181,686
184,Alec Kessler,PF,26,MIA,40,2,415,57,122,.467,5,11,.455,52,111,.468,.488,36,47,.766,25,66,91,14,4,12,21,63,155
