Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alaa Abdelnaby,PF,24,TOT,75,52,1311,245,473,.518,0,1,.000,245,472,.519,.518,88,116,.759,126,211,337,27,25,26,97,189,578
2,Mahmoud Abdul-Rauf,PG,23,DEN,81,81,2710,633,1407,.450,70,197,.355,563,1210,.465,.475,217,232,.935,51,174,225,344,84,8,187,179,1553
3,Mark Acres,C,30,TOT,18,7,269,26,49,.531,1,2,.500,25,47,.532,.541,11,16,.688,26,41,67,5,3,6,13,34,64
4,Michael Adams,PG,30,WSB,70,70,2499,365,831,.439,68,212,.321,297,619,.480,.480,237,277,.856,52,188,240,526,100,4,175,146,1035
5,Rafael Addison,SF,28,NJN,68,15,1164,182,411,.443,7,34,.206,175,377,.464,.451,57,70,.814,45,87,132,53,23,11,64,125,428
6,Mark Aguirre,SF,33,DET,51,15,1056,187,422,.443,30,83,.361,157,339,.463,.479,99,129,.767,43,109,152,105,16,7,68,101,503
7,Danny Ainge,SG,33,PHO,80,0,2163,337,730,.462,150,372,.403,187,358,.522,.564,123,145,.848,49,165,214,260,69,8,113,175,947
8,Victor Alexander,C,23,GSW,72,59,1753,344,667,.516,10,22,.455,334,645,.518,.523,111,162,.685,132,288,420,93,34,53,120,218,809
9,Eric Anderson,PF,22,NYK,16,0,44,5,18,.278,0,0,0,5,18,.278,.278,11,13,.846,6,8,14,3,3,1,5,14,21
10,Kenny Anderson,PG,22,NJN,55,55,2010,370,850,.435,7,25,.280,363,825,.440,.439,180,232,.776,51,175,226,449,96,11,153,140,927
11,Nick Anderson,SG,25,ORL,79,76,2920,594,1324,.449,88,249,.353,506,1075,.471,.482,298,402,.741,122,355,477,265,128,56,164,200,1574
12,Ron Anderson,SF,34,PHI,69,0,1263,225,544,.414,39,120,.325,186,424,.439,.449,72,89,.809,62,122,184,93,31,5,63,75,561
13,Willie Anderson,SG,26,SAS,38,7,560,80,186,.430,1,8,.125,79,178,.444,.433,22,28,.786,7,50,57,79,14,6,44,52,183
14,Greg Anthony,PG,25,NYK,70,35,1699,174,419,.415,4,30,.133,170,389,.437,.420,107,159,.673,42,128,170,398,113,12,104,141,459
15,B.J. Armstrong,PG,25,CHI,82,74,2492,408,818,.499,63,139,.453,345,679,.508,.537,130,151,.861,27,122,149,330,66,6,83,169,1009
