Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kareem Abdul-Jabbar*,C,40,LAL,80,80,2308,480,903,.532,0,1,.000,480,902,.532,.532,205,269,.762,118,360,478,135,48,92,159,216,1165
2,Mark Acres,C,25,BOS,79,5,1151,108,203,.532,0,0,0,108,203,.532,.532,71,111,.640,105,165,270,42,29,27,54,198,287
3,Alvan Adams,C,33,PHO,82,25,1646,251,506,.496,1,2,.500,250,504,.496,.497,108,128,.844,118,247,365,183,82,41,140,245,611
4,Michael Adams,PG,25,DEN,82,75,2778,416,927,.449,139,379,.367,277,548,.505,.524,166,199,.834,40,183,223,503,168,16,144,138,1137
5,Mark Aguirre,SF,28,DAL,77,77,2610,746,1571,.475,52,172,.302,694,1399,.496,.491,388,504,.770,182,252,434,278,70,57,203,223,1932
6,Danny Ainge,SG,28,BOS,81,81,3018,482,982,.491,148,357,.415,334,625,.534,.566,158,180,.878,59,190,249,503,115,17,153,203,1270
7,Mark Alarie,PF,24,WSB,63,0,769,144,300,.480,4,18,.222,140,282,.496,.487,35,49,.714,70,90,160,39,10,12,50,107,327
8,Steve Alford,PG,23,DAL,28,0,197,21,55,.382,1,8,.125,20,47,.426,.391,16,17,.941,3,20,23,23,17,3,12,23,59
9,Greg Anderson,PF,23,SAS,82,45,1984,379,756,.501,1,5,.200,378,751,.503,.502,198,328,.604,161,352,513,79,54,122,143,228,957
10,Richard Anderson,PF,27,TOT,74,3,1350,171,439,.390,48,150,.320,123,289,.426,.444,58,77,.753,91,212,303,112,51,16,61,137,448
11,Ron Anderson,SF,29,IND,74,1,1097,217,436,.498,0,2,.000,217,434,.500,.498,108,141,.766,89,127,216,78,41,6,73,98,542
12,Joe Arlauckas,SF,22,SAC,9,0,85,14,43,.326,0,0,0,14,43,.326,.326,6,8,.750,6,7,13,8,3,4,4,16,34
13,Vincent Askew,SG,21,PHI,14,2,234,22,74,.297,0,0,0,22,74,.297,.297,8,11,.727,6,16,22,33,10,6,12,12,52
14,John Bagley,PG,27,NJN,82,74,2774,393,896,.439,47,161,.292,346,735,.471,.465,148,180,.822,61,196,257,479,110,10,201,162,981
15,James Bailey,PF,30,PHO,65,0,869,109,241,.452,0,4,.000,109,237,.460,.452,70,89,.787,73,137,210,42,17,28,70,180,288
