Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kareem Abdul-Jabbar*,C,33,LAL,80,0,2976,836,1457,.574,0,1,.000,836,1456,.574,.574,423,552,.766,197,624,821,272,59,228,249,244,2095
2,Tom Abernethy,SF,26,TOT,39,0,298,25,59,.424,0,1,.000,25,58,.431,.424,13,22,.591,20,28,48,19,7,3,8,34,63
3,Alvan Adams,C,26,PHO,75,0,2054,458,870,.526,0,0,0,458,870,.526,.526,199,259,.768,157,389,546,344,106,69,226,226,1115
4,Darrell Allums,PF,22,DAL,22,0,276,23,67,.343,0,1,.000,23,66,.348,.343,13,22,.591,19,46,65,25,5,8,23,51,59
5,Tiny Archibald*,PG,32,BOS,80,72,2820,382,766,.499,0,9,.000,382,757,.505,.499,342,419,.816,36,140,176,618,75,18,265,201,1106
6,Dennis Awtrey,C,32,SEA,47,0,607,44,93,.473,0,0,0,44,93,.473,.473,14,20,.700,33,75,108,54,12,8,33,85,102
7,James Bailey,PF,23,SEA,82,0,2539,444,889,.499,1,2,.500,443,887,.499,.500,256,361,.709,192,415,607,98,74,143,219,332,1145
8,Greg Ballard,SF,26,WSB,82,0,2610,549,1186,.463,7,32,.219,542,1154,.470,.466,166,196,.847,167,413,580,195,118,39,117,194,1271
9,Mike Bantom,SF,29,IND,76,0,2375,431,882,.489,0,6,.000,431,876,.492,.489,199,281,.708,150,277,427,240,80,85,197,284,1061
10,Billy Ray Bates,SG,24,POR,77,0,1560,439,902,.487,14,54,.259,425,848,.501,.494,170,199,.854,71,86,157,196,82,6,149,120,1062
11,Mel Bennett,PF,26,UTA,28,0,313,26,60,.433,0,2,.000,26,58,.448,.433,53,81,.654,33,60,93,15,3,11,31,56,105
12,Kent Benson,C,26,DET,59,0,1956,364,770,.473,0,4,.000,364,766,.475,.473,196,254,.772,124,276,400,172,72,67,190,184,924
13,Henry Bibby,PG,31,SDC,73,0,1112,118,306,.386,32,95,.337,86,211,.408,.438,67,98,.684,25,49,74,200,47,2,76,85,335
14,Larry Bird*,PF,24,BOS,82,82,3239,719,1503,.478,20,74,.270,699,1429,.489,.485,283,328,.863,191,704,895,451,161,63,289,239,1741
15,Otis Birdsong,SG,25,KCK,71,0,2593,710,1306,.544,10,35,.286,700,1271,.551,.547,317,455,.697,119,139,258,233,93,18,173,172,1747
