Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kareem Abdul-Jabbar*,C,41,LAL,74,74,1695,313,659,.475,0,3,.000,313,656,.477,.475,122,165,.739,103,231,334,74,38,85,95,196,748
2,Mark Acres,C,26,BOS,62,0,632,55,114,.482,1,1,1.000,54,113,.478,.487,26,48,.542,59,87,146,19,19,6,23,94,137
3,Michael Adams,PG,26,DEN,77,77,2787,468,1082,.433,166,466,.356,302,616,.490,.509,322,393,.819,71,212,283,490,166,11,180,149,1424
4,Mark Aguirre,SF,29,TOT,80,76,2597,586,1270,.461,51,174,.293,535,1096,.488,.481,288,393,.733,146,240,386,278,45,36,208,229,1511
5,Danny Ainge,PG,29,TOT,73,54,2377,480,1051,.457,116,305,.380,364,746,.488,.512,205,240,.854,71,184,255,402,93,8,145,186,1281
6,Mark Alarie,PF,25,WSB,74,5,1141,206,431,.478,13,38,.342,193,393,.491,.493,73,87,.839,103,152,255,63,25,22,62,160,498
7,Steve Alford,PG,24,TOT,66,3,906,148,324,.457,20,55,.364,128,269,.476,.488,50,61,.820,10,62,72,92,45,3,45,57,366
8,Randy Allen,SG,24,SAC,7,0,43,8,19,.421,0,1,.000,8,18,.444,.421,1,2,.500,3,4,7,0,1,1,2,7,17
9,Greg Anderson,PF,24,SAS,82,56,2401,460,914,.503,0,3,.000,460,911,.505,.503,207,403,.514,255,421,676,61,102,103,180,221,1127
10,Michael Anderson,PG,22,SAS,36,12,730,73,175,.417,1,7,.143,72,168,.429,.420,57,82,.695,44,45,89,153,44,3,84,64,204
11,Richard Anderson,PF,28,POR,72,3,1082,145,348,.417,49,141,.348,96,207,.464,.487,32,38,.842,62,169,231,98,44,12,54,100,371
12,Ron Anderson,SF,30,PHI,82,12,2618,566,1152,.491,2,11,.182,564,1141,.494,.492,196,229,.856,167,239,406,139,71,23,126,166,1330
13,Willie Anderson,SF,22,SAS,81,79,2738,640,1285,.498,4,21,.190,636,1264,.503,.500,224,289,.775,152,265,417,372,150,62,261,295,1508
14,John Bagley,PG,28,NJN,68,20,1642,200,481,.416,11,54,.204,189,427,.443,.427,89,123,.724,36,108,144,391,72,5,159,117,500
15,Thurl Bailey,SF,27,UTA,82,3,2777,615,1272,.483,2,5,.400,613,1267,.484,.484,363,440,.825,115,332,447,138,48,91,208,185,1595
16,Greg Ballard,SF,34,SEA,2,0,15,1,8,.125,0,1,.000,1,7,.143,.125,4,4,1.000,2,5,7,0,0,0,0,3,6
17,Ken Bannister,PF,28,LAC,9,2,130,22,36,.611,0,1,.000,22,35,.629,.611,30,53,.566,6,27,33,3,7,2,8,17,74
18,Charles Barkley*,PF,25,PHI,79,79,3088,700,1208,.579,35,162,.216,665,1046,.636,.594,602,799,.753,403,583,986,325,126,67,254,262,2037
19,John Battle,SG,26,ATL,82,0,1672,287,628,.457,11,34,.324,276,594,.465,.466,194,238,.815,30,110,140,197,42,9,104,125,779
20,Benoit Benjamin,C,24,LAC,79,62,2585,491,907,.541,0,2,.000,491,905,.543,.541,317,426,.744,164,532,696,157,57,221,237,221,1299
21,Ricky Berry,SG,24,SAC,64,21,1406,255,567,.450,65,160,.406,190,407,.467,.507,131,166,.789,57,140,197,80,37,22,82,197,706
22,Walter Berry,PF,24,TOT,69,31,1355,254,501,.507,1,2,.500,253,499,.507,.508,100,143,.699,86,181,267,77,29,48,89,183,609
23,Larry Bird*,SF,32,BOS,6,6,189,49,104,.471,0,0,0,49,104,.471,.471,18,19,.947,1,36,37,29,6,5,11,18,116
24,Otis Birdsong,SG,33,BOS,13,0,108,18,36,.500,1,3,.333,17,33,.515,.514,0,2,.000,4,9,13,9,3,1,12,10,37
25,Uwe Blab,C,26,DAL,37,0,208,24,52,.462,0,0,0,24,52,.462,.462,20,25,.800,11,33,44,12,3,13,14,36,68
26,Rolando Blackman,SG,29,DAL,78,78,2946,594,1249,.476,30,85,.353,564,1164,.485,.488,316,370,.854,70,203,273,288,65,20,165,137,1534
27,Muggsy Bogues,PG,24,CHH,79,21,1755,178,418,.426,1,13,.077,177,405,.437,.427,66,88,.750,53,112,165,620,111,7,124,141,423
28,Manute Bol,C,26,GSW,80,4,1769,127,344,.369,20,91,.220,107,253,.423,.398,40,66,.606,116,346,462,27,11,345,79,226,314
29,Anthony Bowie,SG,25,SAS,18,5,438,72,144,.500,1,5,.200,71,139,.511,.503,10,15,.667,25,31,56,29,18,4,22,43,155
