Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Tariq Abdul-Wahad,SG,24,SAC,49,49,1205,177,407,.435,6,21,.286,171,386,.443,.442,94,136,.691,72,114,186,50,50,16,70,121,454
2,Shareef Abdur-Rahim,SF,22,VAN,50,50,2021,386,893,.432,11,36,.306,375,857,.438,.438,369,439,.841,114,260,374,172,69,55,186,137,1152
3,Cory Alexander,PG,25,DEN,36,4,778,97,260,.373,30,105,.286,67,155,.432,.431,37,44,.841,7,67,74,119,35,5,69,77,261
4,Ray Allen,SG,23,MIL,50,50,1719,303,673,.450,74,208,.356,229,465,.492,.505,176,195,.903,57,155,212,178,53,7,122,117,856
5,Peter Aluma,C,25,SAC,2,0,5,1,2,.500,0,0,0,1,2,.500,.500,0,0,0,1,1,2,0,1,1,2,4,2
6,Derek Anderson,SG,24,CLE,38,13,978,125,314,.398,21,69,.304,104,245,.424,.432,138,165,.836,20,89,109,145,48,4,82,73,409
7,Kenny Anderson,PG,28,BOS,34,33,1010,161,357,.451,6,24,.250,155,333,.465,.459,84,101,.832,24,79,103,193,33,2,71,78,412
8,Nick Anderson,SF,31,ORL,47,39,1581,253,640,.395,96,277,.347,157,363,.433,.470,99,162,.611,51,226,277,91,64,15,83,72,701
9,Shandon Anderson,SG,25,UTA,50,2,1072,162,363,.446,14,41,.341,148,322,.460,.466,89,125,.712,49,83,132,56,39,10,66,89,427
10,Chris Anstey,C,24,DAL,41,4,470,50,139,.360,0,7,.000,50,132,.379,.360,34,48,.708,35,62,97,27,18,13,26,98,134
11,Greg Anthony,PG,31,POR,50,0,806,104,251,.414,49,125,.392,55,126,.437,.512,62,89,.697,14,49,63,100,66,3,55,75,319
12,B.J. Armstrong,PG,31,TOT,32,1,358,40,88,.455,7,15,.467,33,73,.452,.494,18,21,.857,2,37,39,61,12,0,25,31,105
13,Darrell Armstrong,PG,30,ORL,50,15,1502,230,522,.441,69,189,.365,161,333,.483,.507,161,178,.904,53,127,180,335,108,4,158,90,690
14,Keith Askins,SF,31,MIA,33,13,415,20,62,.323,8,29,.276,12,33,.364,.387,5,8,.625,10,34,44,10,17,3,13,58,53
15,Stacey Augmon,SF,30,POR,48,21,874,78,174,.448,0,2,.000,78,172,.453,.448,52,76,.684,47,78,125,58,57,18,30,81,208
16,Isaac Austin,C,29,ORL,49,49,1259,185,453,.408,2,7,.286,183,446,.410,.411,105,157,.669,83,154,237,89,47,35,114,125,477
17,Anthony Avent,PF,29,UTA,5,0,44,4,13,.308,0,0,0,4,13,.308,.308,1,2,.500,8,4,12,1,2,0,7,6,9
18,Thurl Bailey,PF,37,UTA,43,0,543,78,175,.446,0,2,.000,78,173,.451,.446,25,34,.735,36,58,94,26,9,28,27,78,181
19,Toby Bailey,SG,23,PHO,27,10,249,34,86,.395,1,5,.200,33,81,.407,.401,9,13,.692,24,30,54,13,9,2,11,24,78
20,LaMark Baker,PG,29,TOR,1,0,2,0,1,.000,0,0,0,0,1,.000,.000,0,0,0,0,0,0,0,0,0,1,0,0
21,Vin Baker,PF,27,SEA,34,31,1162,198,437,.453,0,3,.000,198,434,.456,.453,72,160,.450,86,125,211,56,32,34,76,121,468
22,Charles Barkley*,PF,35,HOU,42,40,1526,240,502,.478,4,25,.160,236,477,.495,.482,192,267,.719,167,349,516,192,43,13,100,89,676
23,Dana Barros,PG,31,BOS,50,16,1156,168,371,.453,64,160,.400,104,211,.493,.539,64,73,.877,16,89,105,208,52,5,88,64,464
24,Brent Barry,SG,27,CHI,37,30,1181,141,356,.396,52,172,.302,89,184,.484,.469,78,101,.772,39,105,144,116,42,11,72,98,412
25,Drew Barry,SG,25,SEA,17,0,183,10,32,.313,8,24,.333,2,8,.250,.438,9,13,.692,3,17,20,29,7,1,12,24,37
26,Jon Barry,SG,29,SAC,43,0,736,59,138,.428,24,79,.304,35,59,.593,.514,71,84,.845,25,71,96,112,53,5,47,61,213
27,Tony Battie,C,22,BOS,50,15,1121,147,283,.519,0,3,.000,147,280,.525,.519,41,61,.672,96,204,300,53,29,71,45,159,335
28,Corey Beck,PG,27,TOT,24,0,180,18,39,.462,1,1,1.000,17,38,.447,.474,8,15,.533,6,22,28,20,9,2,13,26,45
29,Benoit Benjamin,C,34,PHI,6,0,33,2,7,.286,0,0,0,2,7,.286,.286,0,0,0,3,5,8,1,0,0,3,6,4
30,Corey Benjamin,PG,20,CHI,31,1,320,44,117,.376,3,14,.214,41,103,.398,.389,27,40,.675,15,25,40,10,11,8,21,46,118
31,Mario Bennett,PF,25,CHI,3,0,19,2,6,.333,0,0,0,2,6,.333,.333,3,4,.750,2,3,5,0,1,0,1,4,7
32,Travis Best,PG,26,IND,49,0,1043,127,305,.416,22,59,.373,105,246,.427,.452,70,83,.843,19,61,80,169,42,4,62,111,346
33,Mike Bibby,PG,20,VAN,50,50,1758,260,605,.430,15,74,.203,245,531,.461,.442,127,169,.751,30,106,136,325,78,5,146,122,662
34,Chauncey Billups,SG,22,DEN,45,41,1488,191,495,.386,85,235,.362,106,260,.408,.472,157,172,.913,24,72,96,173,58,14,98,115,624
35,Mookie Blaylock,PG,31,ATL,48,48,1763,247,651,.379,77,251,.307,170,400,.425,.439,69,91,.758,45,179,224,278,99,9,115,61,640
36,Corie Blount,PF,30,TOT,34,3,530,36,100,.360,0,1,.000,36,99,.364,.360,28,54,.519,58,93,151,12,19,16,21,74,100
37,Muggsy Bogues,PG,34,GSW,36,5,714,76,154,.494,0,6,.000,76,148,.514,.494,31,36,.861,16,57,73,134,43,1,47,44,183
38,Etdrick Bohannon,SF,25,WAS,2,0,4,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
39,Keith Booth,SF,24,CHI,39,4,432,49,151,.325,1,10,.100,48,141,.340,.328,21,42,.500,25,68,93,38,22,11,39,60,120
40,Bruce Bowen,SF,27,BOS,30,1,494,26,93,.280,7,26,.269,19,67,.284,.317,11,24,.458,15,37,52,28,21,9,13,51,70
41,Earl Boykins,PG,22,TOT,22,0,221,30,79,.380,3,18,.167,27,61,.443,.399,2,3,.667,7,10,17,33,6,0,20,20,65
42,Shawn Bradley,C,26,DAL,49,33,1294,167,348,.480,0,4,.000,167,344,.485,.480,86,115,.748,130,262,392,40,35,159,56,153,420
43,Terrell Brandon,PG,28,TOT,36,34,1217,212,507,.418,12,47,.255,200,460,.435,.430,65,78,.833,27,107,134,309,63,10,74,82,501
44,Chucky Brown,PF,30,CHH,48,21,1192,176,373,.472,15,40,.375,161,333,.483,.492,40,59,.678,36,138,174,57,16,19,38,106,407
45,Dee Brown,PG,30,TOR,49,0,1377,187,495,.378,135,349,.387,52,146,.356,.514,40,55,.727,15,88,103,143,56,8,80,75,549
46,Gerald Brown,SG,23,PHO,33,0,236,33,89,.371,3,10,.300,30,79,.380,.388,11,14,.786,5,17,22,31,5,1,22,21,80
47,P.J. Brown,PF,29,MIA,50,50,1611,229,477,.480,0,0,0,229,477,.480,.480,113,146,.774,115,231,346,66,46,48,69,166,571
48,Randy Brown,PG,30,CHI,39,32,1139,132,319,.414,0,10,.000,132,309,.427,.414,78,103,.757,27,105,132,149,68,8,80,93,342
49,Rick Brunson,PG,26,NYK,17,0,95,6,21,.286,0,5,.000,6,16,.375,.286,5,18,.278,3,7,10,19,9,0,12,8,17
50,Kobe Bryant,SG,20,LAL,50,50,1896,362,779,.465,27,101,.267,335,678,.494,.482,245,292,.839,53,211,264,190,72,50,157,153,996
51,Mark Bryant,PF,33,CHI,45,29,1204,168,348,.483,0,1,.000,168,347,.484,.483,71,110,.645,92,140,232,48,34,16,68,149,407
52,Jud Buechler,SF,30,DET,50,0,1056,100,240,.417,61,148,.412,39,92,.424,.544,13,18,.722,29,104,133,57,37,13,21,83,274
