Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kareem Abdul-Jabbar*,C,34,LAL,76,76,2677,753,1301,.579,0,3,.000,753,1298,.580,.579,312,442,.706,172,487,659,225,63,207,230,224,1818
2,Alvan Adams,C,27,PHO,79,75,2393,507,1027,.494,0,1,.000,507,1026,.494,.494,182,233,.781,138,448,586,356,114,78,196,269,1196
3,Mark Aguirre,SF,22,DAL,51,20,1468,381,820,.465,25,71,.352,356,749,.475,.480,168,247,.680,89,160,249,164,37,22,135,152,955
4,Danny Ainge,SG,22,BOS,53,1,564,79,221,.357,5,17,.294,74,204,.363,.369,56,65,.862,25,31,56,87,37,3,53,86,219
5,Tiny Archibald*,PG,33,BOS,68,51,2167,308,652,.472,6,16,.375,302,636,.475,.477,236,316,.747,25,91,116,541,52,3,178,131,858
6,Dennis Awtrey,C,33,POR,10,3,121,5,15,.333,0,0,0,5,15,.333,.333,5,9,.556,7,7,14,8,1,2,6,28,15
7,Carl Bailey,C,23,POR,1,0,7,1,1,1.000,0,0,0,1,1,1.000,1.000,0,0,0,0,0,0,0,0,0,2,2,2
8,James Bailey,PF,24,TOT,77,0,1468,261,505,.517,0,0,0,261,505,.517,.517,137,224,.612,127,264,391,65,42,83,139,270,659
9,Greg Ballard,SF,27,WSB,79,79,2946,621,1307,.475,9,22,.409,612,1285,.476,.479,235,283,.830,136,497,633,250,137,22,119,204,1486
10,Gene Banks,SF,22,SAS,80,4,1700,311,652,.477,0,8,.000,311,644,.483,.477,145,212,.684,157,254,411,147,55,17,106,199,767
11,Mike Bantom,SF,30,TOT,82,38,2016,334,712,.469,2,6,.333,332,706,.470,.471,168,267,.629,174,266,440,114,63,61,149,272,838
12,Billy Ray Bates,SG,25,POR,75,0,1229,327,692,.473,12,41,.293,315,651,.484,.481,166,211,.787,53,55,108,111,41,5,93,100,832
13,Mel Bennett,PF,27,CLE,3,0,23,2,4,.500,0,0,0,2,4,.500,.500,1,6,.167,1,2,3,0,1,0,4,2,5
14,Kent Benson,C,27,DET,75,72,2467,405,802,.505,3,11,.273,402,791,.508,.507,127,158,.804,219,434,653,159,66,98,160,214,940
15,Larry Bird*,PF,25,BOS,77,58,2923,711,1414,.503,11,52,.212,700,1362,.514,.507,328,380,.863,200,637,837,447,143,66,254,244,1761
16,Otis Birdsong,SG,26,NJN,37,22,1025,225,480,.469,0,10,.000,225,470,.479,.469,74,127,.583,30,67,97,124,30,5,64,74,524
17,Rolando Blackman,SG,22,DAL,82,16,1979,439,855,.513,1,4,.250,438,851,.515,.514,212,276,.768,97,157,254,105,46,30,113,122,1091
18,Ray Blume,SG,23,CHI,49,2,546,102,222,.459,4,18,.222,98,204,.480,.468,18,28,.643,14,27,41,68,23,2,54,57,226
19,Alex Bradley,SF,22,NYK,39,0,331,54,103,.524,0,1,.000,54,102,.529,.524,29,48,.604,31,34,65,11,12,5,28,37,137
20,Charles Bradley,SG,22,BOS,51,1,339,55,122,.451,0,1,.000,55,121,.455,.451,42,62,.677,12,26,38,22,14,6,37,61,152
21,Dudley Bradley,SG,24,PHO,64,3,937,125,281,.445,1,4,.250,124,277,.448,.447,74,100,.740,30,57,87,80,78,10,71,115,325
22,Brad Branson,PF,23,CLE,10,3,176,21,52,.404,0,0,0,21,52,.404,.404,11,12,.917,14,19,33,6,5,4,13,17,53
23,Mike Bratz,PG,26,SAS,81,3,1616,230,565,.407,46,138,.333,184,427,.431,.448,119,152,.783,40,126,166,438,65,11,139,183,625
24,Jim Brewer,PF,30,LAL,71,9,966,81,175,.463,1,6,.167,80,169,.473,.466,7,19,.368,106,158,264,42,39,46,37,127,170
25,Ron Brewer,SG,26,TOT,72,45,2319,569,1194,.477,8,31,.258,561,1163,.482,.480,211,260,.812,55,106,161,188,82,30,125,151,1357
26,Junior Bridgeman,SF,28,MIL,41,4,924,209,433,.483,4,9,.444,205,424,.483,.487,89,103,.864,37,88,125,109,28,3,64,91,511
27,Allan Bristow,SF,30,DAL,82,54,2035,218,499,.437,3,18,.167,215,481,.447,.440,134,164,.817,119,220,339,448,65,6,165,222,573
28,Jim Brogan,SG,23,SDC,63,19,1027,165,364,.453,9,32,.281,156,332,.470,.466,61,84,.726,61,59,120,156,49,13,83,123,400
29,Michael Brooks,SF,23,SDC,82,73,2750,537,1066,.504,0,7,.000,537,1059,.507,.504,202,267,.757,207,417,624,236,113,39,197,285,1276
30,Fred Brown,SG,33,SEA,82,2,1785,393,863,.455,25,77,.325,368,786,.468,.470,111,129,.860,42,98,140,238,69,4,96,111,922
31,Rickey Brown,C,23,GSW,82,11,1260,192,418,.459,0,0,0,192,418,.459,.459,86,122,.705,136,228,364,19,36,29,84,243,470
32,Joe Bryant,SF,27,SDC,75,49,1988,341,701,.486,8,30,.267,333,671,.496,.492,194,247,.785,79,195,274,189,78,29,183,250,884
33,Quinn Buckner,PG,27,MIL,70,70,2156,396,822,.482,4,15,.267,392,807,.486,.484,110,168,.655,77,173,250,328,174,3,180,218,906
34,Roger Burkman,SG,23,CHI,6,0,30,0,4,.000,0,1,.000,0,3,.000,.000,5,6,.833,2,4,6,5,6,2,3,6,5
35,David Burns,PG,23,TOT,9,1,87,7,16,.438,0,0,0,7,16,.438,.438,9,15,.600,1,4,5,15,3,0,13,17,23
36,Don Buse,PG,31,IND,82,78,2529,312,685,.455,73,189,.386,239,496,.482,.509,100,123,.813,46,177,223,407,164,27,95,176,797
37,Kenny Carr,PF,26,TOT,74,48,1926,348,692,.503,1,10,.100,347,682,.509,.504,198,302,.656,167,364,531,86,64,22,152,249,895
38,M.L. Carr,SF,31,BOS,56,27,1296,184,409,.450,5,17,.294,179,392,.457,.456,82,116,.707,56,94,150,128,67,21,63,136,455
39,Joe Barry Carroll,C,23,GSW,76,75,2627,527,1016,.519,0,1,.000,527,1015,.519,.519,235,323,.728,210,423,633,64,64,127,206,265,1289
40,Butch Carter,SG,23,IND,75,0,1035,188,402,.468,8,25,.320,180,377,.477,.478,58,70,.829,30,49,79,60,34,11,54,110,442
41,Reggie Carter,SG,24,NYK,75,1,923,119,280,.425,0,0,0,119,280,.425,.425,64,80,.800,35,60,95,130,36,6,78,124,302
42,Bill Cartwright,C,24,NYK,72,50,2060,390,694,.562,0,0,0,390,694,.562,.562,257,337,.763,116,305,421,87,48,65,166,208,1037
43,Harvey Catchings,PF,30,MIL,80,9,1603,94,224,.420,0,0,0,94,224,.420,.420,41,69,.594,129,227,356,97,42,134,94,237,229
44,Bobby Cattage,PF,23,UTA,49,0,337,60,135,.444,0,2,.000,60,133,.451,.444,30,41,.732,22,51,73,7,7,0,18,58,150
45,Tom Chambers,PF,22,SDC,81,58,2682,554,1056,.525,0,2,.000,554,1054,.526,.525,284,458,.620,211,350,561,146,58,46,220,341,1392
46,Maurice Cheeks,PG,25,PHI,79,79,2498,352,676,.521,6,22,.273,346,654,.529,.525,171,220,.777,51,197,248,667,209,33,184,247,881
47,Jim Chones,C,32,WSB,59,13,867,74,171,.433,0,0,0,74,171,.433,.433,36,46,.783,39,146,185,64,15,32,41,114,184
48,Don Collins,SG,23,WSB,79,18,1609,334,653,.511,1,12,.083,333,641,.520,.512,121,169,.716,101,95,196,148,89,24,135,195,790
49,Darwin Cook,PG,23,NJN,82,17,2090,387,803,.482,7,31,.226,380,772,.492,.486,118,162,.728,52,103,155,319,146,24,175,196,899
50,Jeff Cook,PF,25,PHO,76,22,1298,151,358,.422,0,2,.000,151,356,.424,.422,89,134,.664,112,189,301,100,37,23,80,174,391
51,Joe Cooper,C,24,NJN,1,0,11,1,2,.500,0,0,0,1,2,.500,.500,0,0,0,1,1,2,0,0,0,1,2,2
52,Michael Cooper,SG,25,LAL,76,14,2197,383,741,.517,2,17,.118,381,724,.526,.518,139,171,.813,84,185,269,230,120,61,151,216,907
53,Wayne Cooper,C,25,DAL,76,38,1818,281,669,.420,1,8,.125,280,661,.424,.421,119,160,.744,200,350,550,115,37,106,88,285,682
54,Hollis Copeland,SF,26,NYK,18,0,118,16,38,.421,0,0,0,16,38,.421,.421,5,6,.833,3,2,5,9,4,2,4,19,37
55,Dave Corzine,C,25,SAS,82,21,2189,336,648,.519,1,4,.250,335,644,.520,.519,159,213,.746,211,418,629,130,33,126,139,235,832
56,Charlie Criss,PG,33,TOT,55,20,1392,222,498,.446,10,29,.345,212,469,.452,.456,141,159,.887,13,69,82,187,44,6,82,96,595
57,Geoff Crompton,C,26,MIL,35,1,203,11,32,.344,0,0,0,11,32,.344,.344,6,15,.400,10,31,41,13,6,12,17,39,28
58,Pat Cummings,PF,25,MIL,78,7,1132,219,430,.509,0,2,.000,219,428,.512,.509,67,91,.736,61,184,245,99,22,9,108,227,505
